date,close,base_position_v3,market_regime,ret1,ret3,ret5,ret10,ret20,dist_ma20,dist_ma50,dist_ma200,ma50_over_ma200,ma200_slope20,volume_ratio60,breakout20,breakout60,breakdown20,breakdown60,below200,dist_res20,dist_sup20,dist_sup60,future20_return,future20_drawdown,adjustment_label,component_b20_vol_count,component_b60_vol_count,component_vol_down_count,component_bd20_vol_count,weighted_b20_vol,weighted_b60_vol,weighted_vol_down,weighted_bd20_vol,component_above200_breadth,avg_component_vr,regime_bull,regime_range,regime_bear,signal_date,horizon_1d_close_return,horizon_3d_close_return,horizon_5d_close_return,horizon_1d_max_drawdown,horizon_3d_max_drawdown,horizon_5d_max_drawdown,next_signal_primary_adjustment,next_signal_secondary_adjustment,signal_direction,action_type,rating_state,signal_family,sample_source,sample_id,is_replay_outcome_observed,candidate_event_type,candidate_action_label,candidate_stood_1d,candidate_stood_3d,candidate_stood_5d,candidate_future_10d_return,downside_event_type,downside_label,downside_suggested_action,downside_weighted_volume_down_breadth,downside_weighted_breakdown20_breadth,execution_date,market_symbol,etf_symbol,train_policy,primary_model_id,secondary_model_id,primary_adjustment,secondary_adjustment,primary_prob_down,secondary_prob_down,target_position_proxy,planned_action,planned_target_shares,planned_trade_shares,holdings_before_shares,cash_before_cny,cost_price_cny,market_price_cny,position_before_pct,signal_rationale,rating_change_reason,rating_change_review,guidance_for_next_session,execution_status,executed_date,executed_sell_shares,executed_buy_shares,executed_avg_price_cny,holdings_after_shares,cash_after_cny,position_after_pct,review_status,review_horizon,review_price_change_pct,review_note,source_artifacts,created_at,updated_at,replay_label_1d,replay_label_3d,replay_label_5d,continuation_label_version,continuation_label_1d,is_outcome_observed_1d,continuation_label_3d,is_outcome_observed_3d,continuation_label_5d,is_outcome_observed_5d,is_continuation_eligible,source_sample_id,is_real_failure_event,mined_action_direction,mined_failure_reason,failure_label_horizon
2022-06-29,26804.59960938,0.203944,bear,-0.00905271,0.01180089,0.0250501,0.01817354,-0.02379247,-0.00702925,-0.00188434,-0.03820229,-0.03638652,-0.00262832,1.36073039,0.0,0.0,0.0,0.0,1.0,-0.05583531,0.05032749,0.05032749,0.03771296,-0.03592106,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.60214315,0.0,0.38209701,1.39159389,0.0,0.0,1.0,2022-06-29,-0.0153541016421665,-0.0242790070355037,-0.0260011053668605,-0.0153541016421665,-0.0324190803602194,-0.0324190803602194,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-06-29_failure_add,True,,,,,,,volume_down_day,broad_volume_down_risk,tighten_risk,0.60214315,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,premature_add,nikkei_continuation_head_v1,0.0,True,0.0,True,0.0,True,True,historical_55_2022-06-29,True,add,prototype_add_failure,1d
2022-06-30,26393.0390625,0.201444,bear,-0.0153541,-0.01779709,0.00847453,-0.00144375,-0.03723814,-0.02109089,-0.01694052,-0.05267429,-0.03634955,-0.00291696,1.15302205,0.0,0.0,0.0,0.0,1.0,-0.07033211,0.03420065,0.03420065,0.05337019,-0.02088767,1.0,0.0,0.0,19.0,2.0,0.0,0.0,0.61870898,0.1301149,0.3533537,1.32209579,0.0,0.0,1.0,2022-06-30,-0.0173310819112875,0.0011530176781815,0.0036937858557757,-0.0173310819112875,-0.0173310819112875,-0.0173310819112875,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-06-30_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2022-06-30,True,add,prototype_add_failure,1d
2022-07-05,26423.47070312,0.201629,bear,0.01031055,0.00115302,-0.02314278,0.00674991,-0.05441173,-0.01151352,-0.01404759,-0.049839,-0.03630135,-0.00468461,0.83077941,0.0,0.0,0.0,0.0,1.0,-0.06926018,0.03539311,0.03539311,0.04989616,-0.01408904,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03235383,0.0,0.36955018,0.87055237,0.0,0.0,1.0,2022-07-05,-0.0119522645623805,0.0035467993986473,-0.0032853574704609,-0.0119522645623805,-0.0119522645623805,-0.0119522645623805,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-07-05_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2022-07-05,True,add,prototype_add_failure,1d
2022-07-11,26812.30078125,0.203991,bear,0.01112906,0.02699019,0.0251776,-0.00219449,-0.00648964,0.01578173,0.00265198,-0.03316619,-0.03572343,-0.00757253,0.90001314,0.0,0.0,0.0,0.0,1.0,-0.02106662,0.05062926,0.05062926,0.04429535,-0.01991703,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1144208,0.0,0.35320972,0.88504686,0.0,0.0,1.0,2022-07-11,-0.0177396422962933,-0.0062997262945864,0.005571282653761,-0.0177396422962933,-0.0177396422962933,-0.0177396422962933,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2022-07-11_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,inconclusive,acceptable_add,nikkei_continuation_head_v1,0.0,True,,True,1.0,True,True,historical_55_2022-07-11,True,add,prototype_add_failure,1d
2023-01-12,26449.8203125,0.201789,range,0.00014446,0.018325,0.02850118,0.00166445,-0.05001412,-0.00934071,-0.03394521,-0.03040705,0.00366249,0.00221064,1.0724234,0.0,0.0,0.0,0.0,1.0,-0.06191972,0.03070427,0.03070427,0.04289365,-0.02653026,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01254683,0.0,0.57366746,0.8368847,0.0,1.0,0.0,2023-01-12,-0.0124878270380499,-0.0117634305762356,-0.0016858278515006,-0.0124878270380499,-0.0237241687310612,-0.0237241687310612,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2023-01-12_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,0.0,True,1.0,True,True,historical_55_2023-01-12,True,add,prototype_add_failure,1d
2023-03-17,27333.7890625,0.74623,range,0.01196492,0.00410513,-0.02878704,-0.02125798,-0.01309375,-0.01257565,0.00330403,-0.00088752,-0.00417775,0.00396727,1.36144147,0.0,0.0,0.0,0.0,1.0,-0.04875623,0.0263159,0.06515102,0.04320624,-0.01419924,1.0,1.0,1.0,4.0,0.0,0.16661606,0.16661606,0.13997302,0.0,0.62911329,1.44391349,0.0,1.0,0.0,2023-03-17,-0.0141992440101351,0.0031397151819592,0.005234549728647,-0.0141992440101351,-0.0141992440101351,-0.0141992440101351,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2023-03-17_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2023-03-17,True,add,prototype_add_failure,1d
2023-04-05,27813.25976562,0.749509,bull,-0.01676223,-0.00813868,-0.00252905,0.01262079,-0.01751731,0.00310133,0.00808821,0.01647182,0.00831635,0.00183506,0.98864544,0.0,0.0,0.0,0.0,0.0,-0.03207016,0.04431883,0.08140288,0.04086616,-0.01386388,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.06484539,0.0,0.64480739,1.01510406,1.0,0.0,0.0,2023-04-05,-0.0122469969040109,-0.0064573376469881,0.009687446038348,-0.0122469969040109,-0.0122469969040109,-0.0122469969040109,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2023-04-05_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,inconclusive,acceptable_add,nikkei_continuation_head_v1,0.0,True,,True,1.0,True,True,historical_55_2023-04-05,True,add,prototype_add_failure,1d
2023-05-30,31328.16015625,0.800674,bull,0.00302947,0.01711071,0.01196438,0.04976612,0.10086839,0.04767941,0.09100693,0.12758638,0.03352815,0.00996302,0.9343281,0.0,0.0,0.0,0.0,0.0,-0.00735952,0.10928852,0.17629461,0.03862882,-0.01730646,1.0,1.0,1.0,2.0,0.0,0.02514062,0.02514062,0.10107111,0.0,0.91259472,0.98137797,1.0,0.0,0.0,2023-05-30,-0.0140537872212762,0.0062582847474013,0.0376217158860145,-0.0140537872212762,-0.0140537872212762,-0.0140537872212762,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2023-05-30_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,acceptable_add,correct_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2023-05-30,True,add,prototype_add_failure,1d
2023-10-18,32042.25,0.609964,bull,6.12e-05,-0.00847074,0.00331095,0.02574787,-0.03610849,0.00112751,-0.00591132,0.06421604,0.07054437,0.01493693,0.8428446,0.0,0.0,0.0,0.0,0.0,-0.03884487,0.05099045,0.05099045,0.04313555,-0.04693681,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01510409,0.0,0.92352019,0.84383785,1.0,0.0,0.0,2023-10-18,-0.0190882618848551,-0.0325413857875149,-0.0241034908010517,-0.0190882618848551,-0.0325413857875149,-0.0325413857875149,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2023-10-18_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,premature_add,nikkei_continuation_head_v1,0.0,True,0.0,True,0.0,True,True,historical_55_2023-10-18,True,add,prototype_add_failure,1d
2023-10-25,31269.91992188,0.604144,bull,0.00668238,0.00033784,-0.02410349,-0.02087234,-0.03234192,-0.01200722,-0.02702977,0.0342004,0.06293119,0.01515552,0.79998645,0.0,0.0,0.0,0.0,0.0,-0.04207557,0.02565791,0.02565791,0.07533154,-0.02339727,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.04721378,0.0,0.88986425,0.85950477,1.0,0.0,0.0,2023-10-25,-0.0213668799494588,-0.0183230077279185,0.0106086126721383,-0.0213668799494588,-0.0213668799494588,-0.0213668799494588,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2023-10-25_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,correct_add,nikkei_continuation_head_v1,0.0,True,0.0,True,1.0,True,True,historical_55_2023-10-25,True,add,prototype_add_failure,1d
2024-06-14,38814.55859375,0.249688,bull,0.00242998,-0.00818276,0.00337683,0.00848735,0.00070074,0.00110678,0.00395485,0.09057722,0.08628114,0.01820449,1.29690015,0.0,0.0,0.0,0.0,0.0,-0.01578718,0.03183557,0.05666558,0.06121726,-0.02226895,1.0,0.0,0.0,14.0,3.0,0.0,0.0,0.39988826,0.06204399,0.86830598,1.62830879,1.0,0.0,0.0,2024-06-14,-0.0183466517023502,-0.0062810678217851,-0.0056187639806141,-0.0183466517023502,-0.0183466517023502,-0.0183466517023502,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2024-06-14_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,inconclusive,inconclusive,nikkei_continuation_head_v1,0.0,True,,True,,True,True,historical_55_2024-06-14,True,add,prototype_add_failure,1d
2024-09-04,37047.609375,0.345483,bull,-0.04235863,-0.0414032,-0.03450851,-0.02382473,0.06841,-0.00707552,-0.04049611,-0.01000129,0.03178186,0.01535217,1.16710447,0.0,0.0,0.0,0.0,1.0,-0.05202144,0.15494679,0.18909577,0.04286408,-0.04857907,1.0,1.0,0.0,15.0,2.0,0.01188483,0.0,0.73041758,0.12696763,0.58028283,1.37299085,1.0,0.0,0.0,2024-09-04,-0.0105410183771135,-0.0224537936194432,-0.0385406742253527,-0.0105410183771135,-0.0224537936194432,-0.0385406742253527,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2024-09-04_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,premature_add,premature_add,nikkei_continuation_head_v1,0.0,True,0.0,True,0.0,True,True,historical_55_2024-09-04,True,add,prototype_add_failure,1d
2024-09-10,36159.16015625,0.248829,range,-0.00156258,-0.01358345,-0.0653241,-0.05561603,-0.00202447,-0.03949894,-0.05829938,-0.03566809,0.02403236,0.01584812,0.89810063,0.0,0.0,0.0,0.0,1.0,-0.07475518,0.02585373,0.16057972,0.0890986,-0.02504844,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.04922797,0.0,0.54656899,0.94645468,0.0,1.0,0.0,2024-09-10,-0.0149171225954696,0.0116872615590037,0.0061121917045354,-0.0149171225954696,-0.0149171225954696,-0.0149171225954696,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2024-09-10_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,correct_add,acceptable_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2024-09-10,True,add,prototype_add_failure,1d
2024-09-13,36581.76171875,0.251007,range,-0.00682828,0.01168726,0.00522905,-0.05345688,-0.03890715,-0.02725346,-0.04196578,-0.02546517,0.0172234,0.01494406,0.92633542,0.0,0.0,0.0,0.0,1.0,-0.06394161,0.03784315,0.17414372,0.07103373,-0.02059011,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.18518356,0.0,0.63397426,1.23413455,0.0,1.0,0.0,2024-09-13,-0.0103478605448347,0.0156790263590838,0.0371449613456842,-0.0103478605448347,-0.0103478605448347,-0.0103478605448347,1.0,1.0,add,add_risk,risk_add,real_failure_add,real_failure_event_mining,historical_55_2024-09-13_failure_add,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature_add,correct_add,correct_add,nikkei_continuation_head_v1,0.0,True,1.0,True,1.0,True,True,historical_55_2024-09-13,True,add,prototype_add_failure,1d
