group_type,event_type,window,volume_bucket,fallback_state,sample_count,avg_volume_ratio_60d,avg_future_10d_return,positive_rate,avg_max_drawdown_from_close,fallback_rate_3d,fallback_rate_5d,fallback_rate_10d,reclaim_rate_10d_after_fallback
volume_bucket_x_fallback,all_breakouts,10d,high,fallback_True,26,1.318220,-0.00686149,0.346154,-0.03836815,,,,
volume_bucket_x_fallback,all_breakouts,10d,extreme_high,fallback_False,8,1.582358,0.01650539,0.750000,-0.00475949,,,,
volume_bucket_x_fallback,all_breakouts,10d,extreme_high,fallback_True,5,1.846362,-0.01610800,0.000000,-0.02976984,,,,
volume_bucket_x_fallback,breakout_20d,3d,normal_or_low,fallback_False,27,0.913465,0.01990044,0.740741,-0.00991070,,,,
volume_bucket_x_fallback,breakout_20d,3d,normal_or_low,fallback_True,24,0.886799,-0.01369527,0.333333,-0.04062210,,,,
volume_bucket_x_fallback,breakout_20d,3d,mild_high,fallback_False,9,1.122504,0.01528225,0.666667,-0.01408800,,,,
volume_bucket_x_fallback,breakout_20d,3d,mild_high,fallback_True,11,1.119283,-0.00294307,0.454545,-0.03146596,,,,
volume_bucket_x_fallback,breakout_20d,3d,high,fallback_False,21,1.327158,0.01724962,0.666667,-0.01575826,,,,
volume_bucket_x_fallback,breakout_20d,3d,high,fallback_True,9,1.332236,-0.00116106,0.444444,-0.03505624,,,,
volume_bucket_x_fallback,breakout_20d,3d,extreme_high,fallback_False,6,1.675942,0.00869855,0.500000,-0.01095810,,,,
volume_bucket_x_fallback,breakout_20d,5d,normal_or_low,fallback_False,24,0.907552,0.02269532,0.791667,-0.00727128,,,,
volume_bucket_x_fallback,breakout_20d,5d,normal_or_low,fallback_True,27,0.895018,-0.01244675,0.333333,-0.03955588,,,,
volume_bucket_x_fallback,breakout_20d,5d,mild_high,fallback_False,7,1.134577,0.01912302,0.714286,-0.01274411,,,,
volume_bucket_x_fallback,breakout_20d,5d,mild_high,fallback_True,13,1.113277,-0.00220727,0.461538,-0.02951606,,,,
volume_bucket_x_fallback,breakout_20d,5d,high,fallback_False,18,1.337460,0.02227809,0.722222,-0.00861642,,,,
volume_bucket_x_fallback,breakout_20d,5d,high,fallback_True,12,1.315514,-0.00410110,0.416667,-0.04094450,,,,
volume_bucket_x_fallback,breakout_20d,5d,extreme_high,fallback_False,5,1.650763,0.01226701,0.600000,-0.00673360,,,,
volume_bucket_x_fallback,breakout_20d,10d,normal_or_low,fallback_False,20,0.905108,0.02933203,0.900000,-0.00338736,,,,
volume_bucket_x_fallback,breakout_20d,10d,normal_or_low,fallback_True,31,0.898212,-0.01219404,0.322581,-0.03789588,,,,
volume_bucket_x_fallback,breakout_20d,10d,mild_high,fallback_False,5,1.140513,0.03393319,1.000000,-0.00426030,,,,
volume_bucket_x_fallback,breakout_20d,10d,mild_high,fallback_True,15,1.114138,-0.00429996,0.400000,-0.03010774,,,,
volume_bucket_x_fallback,breakout_20d,10d,high,fallback_False,15,1.336173,0.02830343,0.866667,-0.00620946,,,,
volume_bucket_x_fallback,breakout_20d,10d,high,fallback_True,15,1.321190,-0.00485060,0.333333,-0.03688585,,,,
volume_bucket_x_fallback,breakout_20d,10d,extreme_high,fallback_False,4,1.582358,0.01650539,0.750000,-0.00475949,,,,
volume_bucket_x_fallback,breakout_20d,10d,extreme_high,fallback_True,3,1.835197,-0.02223656,0.000000,-0.03404619,,,,
volume_bucket_x_fallback,breakout_60d,3d,normal_or_low,fallback_False,17,0.924766,0.01038820,0.588235,-0.01486750,,,,
volume_bucket_x_fallback,breakout_60d,3d,normal_or_low,fallback_True,9,0.869682,-0.02021071,0.222222,-0.04419872,,,,
volume_bucket_x_fallback,breakout_60d,3d,mild_high,fallback_False,5,1.133656,0.00165021,0.600000,-0.00681546,,,,
volume_bucket_x_fallback,breakout_60d,3d,mild_high,fallback_True,5,1.138740,-0.01066763,0.200000,-0.04179556,,,,
volume_bucket_x_fallback,breakout_60d,3d,high,fallback_False,19,1.316157,0.01746095,0.736842,-0.01652433,,,,
volume_bucket_x_fallback,breakout_60d,3d,high,fallback_True,6,1.357011,-0.01136735,0.333333,-0.04192676,,,,
volume_bucket_x_fallback,breakout_60d,3d,extreme_high,fallback_False,6,1.675942,0.00869855,0.500000,-0.01095810,,,,
volume_bucket_x_fallback,breakout_60d,5d,normal_or_low,fallback_False,14,0.917713,0.01820550,0.714286,-0.00804182,,,,
volume_bucket_x_fallback,breakout_60d,5d,normal_or_low,fallback_True,12,0.891682,-0.02168117,0.166667,-0.04482920,,,,
volume_bucket_x_fallback,breakout_60d,5d,mild_high,fallback_False,5,1.133656,0.00165021,0.600000,-0.00681546,,,,
volume_bucket_x_fallback,breakout_60d,5d,mild_high,fallback_True,5,1.138740,-0.01066763,0.200000,-0.04179556,,,,
volume_bucket_x_fallback,breakout_60d,5d,high,fallback_False,17,1.321686,0.02108804,0.764706,-0.01017054,,,,
volume_bucket_x_fallback,breakout_60d,5d,high,fallback_True,8,1.335050,-0.01186785,0.375000,-0.04907794,,,,
volume_bucket_x_fallback,breakout_60d,5d,extreme_high,fallback_False,5,1.650763,0.01226701,0.600000,-0.00673360,,,,
volume_bucket_x_fallback,breakout_60d,10d,normal_or_low,fallback_False,11,0.929577,0.02833088,0.909091,-0.00399509,,,,
volume_bucket_x_fallback,breakout_60d,10d,normal_or_low,fallback_True,15,0.888187,-0.02112911,0.133333,-0.04043933,,,,
volume_bucket_x_fallback,breakout_60d,10d,mild_high,fallback_False,4,1.136036,0.00569948,0.750000,-0.00313102,,,,
volume_bucket_x_fallback,breakout_60d,10d,mild_high,fallback_True,6,1.136306,-0.01131418,0.166667,-0.03842183,,,,
volume_bucket_x_fallback,breakout_60d,10d,high,fallback_False,14,1.335227,0.02637098,0.857143,-0.00865990,,,,
volume_bucket_x_fallback,breakout_60d,10d,high,fallback_True,11,1.314170,-0.00960362,0.363636,-0.04038948,,,,
volume_bucket_x_fallback,breakout_60d,10d,extreme_high,fallback_False,4,1.582358,0.01650539,0.750000,-0.00475949,,,,
