date,equity,position,close
2023-01-04,9862695.63319782,0.44746340,25716.85937500
2023-01-05,9880532.71509377,0.44846088,25820.80078125
2023-01-06,9906796.97858447,0.44992308,25973.84960938
2023-01-10,9941412.00488921,0.45183840,26175.56054688
2023-01-11,9987821.33152160,0.45438548,26446.00000000
2023-01-12,9988476.92421934,0.45442129,26449.82031250
2023-01-13,9931794.96947186,0.45130761,26119.51953125
2023-01-16,9880793.47742446,0.44847544,25822.32031250
2023-01-17,9935082.98806331,0.45148920,26138.67968750
2023-01-18,10047046.22174851,0.45760175,26791.11914062
2023-01-19,9993698.82248998,0.20303039,26405.23046875
2023-01-20,10024609.45032868,0.45345535,26553.52929688
2023-01-23,10084955.78483689,0.45672577,26906.03906250
2023-01-24,10126793.14608211,0.00000000,27299.18945312
2023-01-25,10164104.13005582,0.45892254,27395.00976562
2023-01-26,10158611.27373290,0.45862997,27362.75000000
2023-01-27,10161984.40697037,0.45880967,27382.56054688
2023-01-30,10163256.52967645,0.04973278,27433.40039062
2023-01-31,10161298.16949392,0.04954964,27327.10937500
2023-02-01,10136467.00580723,0.54757855,27346.88085938
2023-02-02,10147664.67434568,0.54807778,27402.05078125
2023-02-03,10173522.42454246,0.75037118,27509.46093750
2023-02-06,10229918.32344099,0.54982423,27693.65039062
2023-02-07,10228257.00629505,0.54975111,27685.47070312
2023-02-08,10212209.90445534,0.54904361,27606.46093750
2023-02-09,10207719.03258113,0.54884521,27584.34960938
2023-02-10,10225313.99963179,0.54962152,27670.98046875
2023-02-13,10175825.94824101,0.54743120,27427.32031250
2023-02-14,10211460.16964019,0.54901050,27602.76953125
2023-02-15,10205982.94088944,0.32753940,27501.85937500
2023-02-16,10229634.22388821,0.32909415,27696.43945312
2023-02-17,10207352.99413096,0.32762966,27513.13085938
2023-02-20,10209639.18590288,0.32778022,27531.93945312
2023-02-21,10202487.18036591,0.32730899,27473.09960938
2023-02-22,10157661.91562902,0.32434044,27104.32031250
2023-02-24,10200102.46631098,0.32715172,27453.48046875
2023-02-27,10196514.35598482,0.32691495,27423.96093750
2023-02-28,10199139.79677461,0.32708821,27445.56054688
2023-03-01,10207766.07551031,0.32765687,27516.52929688
2023-03-02,10205619.47675623,0.32751545,27498.86914062
2023-03-03,10257716.16078516,0.33093085,27927.47070312
2023-03-06,10295434.28916938,0.33338204,28237.77929688
2023-03-07,10304110.65995740,0.33394335,28309.16015625
2023-03-08,10320523.52269386,0.33500259,28444.18945312
2023-03-09,10342276.29316926,0.33640127,28623.15039062
2023-03-10,10284031.81868074,0.33264292,28143.97070312
2023-03-13,10246228.46258664,0.33018072,27832.96093750
2023-03-14,10135257.21832427,0.74803179,27222.03906250
2023-03-15,10137329.69281647,0.74808331,27229.48046875
2023-03-16,10076372.83283116,0.74655934,27010.60937500
2023-03-17,10166380.23684009,0.74880316,27333.78906250
2023-03-20,10087184.28429809,0.49338836,26945.66992188
2023-03-22,10198869.30815559,0.74468346,27466.60937500
2023-03-23,10185873.10348963,0.74435770,27419.60937500
2023-03-24,10176372.22115571,0.74411903,27385.25000000
2023-03-27,10201706.28717446,0.74475446,27476.86914062
2023-03-28,10213148.71521043,0.74504043,27518.25000000
2023-03-29,10314223.04613785,0.74753891,27883.77929688
2023-03-30,10286336.61711830,0.74685448,27782.92968750
2023-03-31,10357829.78455802,0.74860178,28041.48046875
2023-04-03,10398386.21696284,0.74958230,28188.15039062
2023-04-04,10425835.73069089,0.75024160,28287.41992188
2023-04-05,10294723.33845547,0.74706071,27813.25976562
2023-04-06,10200534.33886474,0.74472514,27472.63085938
2023-04-07,10213165.45732914,0.74504085,27518.31054688
2023-04-10,10247351.16044815,0.49727721,27633.66015625
2023-04-11,10300774.83094463,0.49988451,27923.36914062
2023-04-12,10339063.57092228,0.75089623,28082.69921875
2023-04-13,10359596.19155958,0.75138995,28156.97070312
2023-04-14,10452622.83432288,0.75360254,28493.47070312
2023-04-17,10458513.67217896,0.75374132,28514.77929688
2023-04-18,10498337.03196236,0.75467546,28658.83007812
2023-04-19,10483942.00563395,0.75433861,28606.75976562
2023-04-20,10481054.68722058,0.50637692,28657.57031250
2023-04-21,10463793.88814696,0.50556265,28564.36914062
2023-04-24,10469192.52236339,0.50581762,28593.51953125
2023-04-25,10467204.80481591,0.74949157,28620.07031250
2023-04-26,10405682.80614045,1.00000000,28416.47070312
2023-04-27,10410053.78091759,0.75077227,28457.67968750
2023-04-28,10533173.65379769,1.00000000,28856.43945312
2023-05-01,10630539.13832639,1.00000000,29123.17968750
2023-05-02,10643230.70795376,1.00000000,29157.94921875
2023-05-08,10567281.62335800,1.00000000,28949.88085938
2023-05-09,10674210.34319631,1.00000000,29242.82031250
2023-05-10,10630174.11846068,1.00000000,29122.17968750
2023-05-11,10631831.67937427,1.00000000,29126.72070312
2023-05-12,10727313.60436160,1.00000000,29388.30078125
2023-05-15,10814202.59098701,1.00000000,29626.33984375
2023-05-16,10893284.28747709,1.00000000,29842.99023438
2023-05-17,10984758.12323595,1.00000000,30093.58984375
2023-05-18,11160091.70849256,1.00000000,30573.92968750
2023-05-19,11245659.63689309,1.00000000,30808.34960938
2023-05-22,11347306.97554952,1.00000000,31086.82031250
2023-05-23,11300200.87670900,1.00000000,30957.76953125
2023-05-24,11199787.61888758,1.00000000,30682.67968750
2023-05-25,11243024.64973755,1.00000000,30801.13085938
2023-05-26,11285067.52380032,1.00000000,30916.31054688
2023-05-29,11400862.23397039,1.00000000,31233.53906250
2023-05-30,11435400.81290352,1.00000000,31328.16015625
2023-05-31,11287001.42186968,0.79980066,30887.88085938
2023-06-01,11363027.19440442,0.80114012,31148.00976562
2023-06-02,11472979.32379972,0.80304591,31524.22070312
2023-06-05,11675577.90972728,0.80646353,32217.42968750
2023-06-06,11760143.78094275,0.80785522,32506.77929688
2023-06-07,11586821.04830300,0.80498101,31913.74023438
2023-06-08,11507188.23856729,0.80363142,31641.26953125
2023-06-09,11689530.56209364,0.80669453,32265.16992188
2023-06-12,11738873.16419653,0.80750706,32434.00000000
2023-06-13,11909743.63669777,0.81026878,33018.64843750
2023-06-14,12062721.66451572,1.00000000,33502.42187500
2023-06-15,12056624.63580095,1.00000000,33485.48828125
2023-06-16,12136049.15911163,1.00000000,33706.07812500
2023-06-19,12015194.37631975,1.00000000,33370.42187500
2023-06-20,12021851.17837442,1.00000000,33388.91015625
2023-06-21,12088904.42958012,1.00000000,33575.14062500
2023-06-22,11977193.08016187,1.00000000,33264.87890625
2023-06-23,11803164.04947626,1.00000000,32781.53906250
2023-06-26,11773377.21611161,1.00000000,32698.81054688
2023-06-27,11715595.38665626,1.00000000,32538.33007812
2023-06-28,11951668.54103485,1.00000000,33193.98828125
2023-06-29,11966125.60174053,1.00000000,33234.14062500
2023-06-30,11949886.54902063,1.00000000,33189.03906250
2023-07-03,12153061.76795451,1.00000000,33753.32812500
2023-07-04,12033952.40906920,1.00000000,33422.51953125
2023-07-05,12003772.46854751,1.00000000,33338.69921875
2023-07-06,11800096.54783222,1.00000000,32773.01953125
2023-07-07,11661619.45332598,1.00000000,32388.41992188
