b20_vol_count,date,equity_before,kind,level,price,regime,target_position,type,weighted_b20_vol
7,2019-10-16,10501000.98,,22255.5605,22472.9199,range,0.76,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2811
7,2019-10-24,10599271.56,,,22750.5996,bull,1.00,ETF_D5_ADD_STRONG,0.2811
,2019-10-25,10600206.08,,,22753.2402,,1.00,execute,
3,2019-10-25,10621902.11,,22780.9902,22799.8105,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0541
7,2019-11-05,10832562.12,,23008.4297,23251.9902,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1545
14,2019-12-13,11191804.06,,23608.0605,24023.0996,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.5927
,2020-03-04,9830028.06,,,21100.0605,range,0.75,ETF_REGIME_CAP_REDUCE,
,2020-03-05,9969701.92,,,21399.8691,,0.75,execute,
,2020-03-30,9160858.87,,,19084.9707,bear,0.25,ETF_REGIME_CAP_REDUCE,
,2020-03-31,9194726.84,,,19181.9004,,0.25,execute,
2,2020-04-17,9280452.62,,19705.9902,19897.2598,bear,0.26,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2389
,2020-04-24,9204325.65,,,19262.0000,bear,0.00,ETF_D5_BREAKOUT_FAIL_TRIM,
,2020-04-27,9222162.02,,,19410.8398,,0.00,execute,
0,2020-05-25,9222162.02,,20734.9102,20741.6504,range,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0000
,2020-05-28,9222162.02,,,21916.3105,range,0.15,ETF_D3_TRIAL,
,2020-05-29,9222162.02,,,21807.6309,,0.15,execute,
0,2020-06-01,9238322.20,,,22062.3906,range,0.50,ETF_D5_ADD_NORMAL,0.0000
,2020-06-02,9245498.31,,,22175.5195,,0.50,execute,
0,2020-06-02,9276786.32,,22161.3906,22325.6094,range,0.50,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0000
1,2020-07-13,9372497.57,,22742.2793,22784.7402,range,0.51,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0164
,2020-07-20,9358476.48,,,22717.4805,range,0.38,ETF_D5_BREAKOUT_FAIL_TRIM,
,2020-07-21,9373464.96,,,22789.3809,,0.38,execute,
3,2020-08-13,9445307.88,,23185.8496,23249.6094,bull,0.38,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0408
2,2020-09-03,9479013.57,,23431.0391,23465.5293,bull,0.39,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1836
5,2020-10-08,9507352.61,,23622.7402,23647.0703,bull,0.39,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.3375
7,2020-11-05,9578880.27,,23801.8809,24105.2793,range,0.39,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2752
7,2020-11-12,9799859.51,,,25520.8809,range,0.75,ETF_D5_ADD_STRONG,0.2752
,2020-11-13,9781870.19,,,25405.6406,,0.75,execute,
5,2020-11-16,9926627.75,,25587.9609,25906.9297,range,0.75,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.4622
8,2020-11-25,10039227.99,,26261.7793,26296.8594,bull,0.76,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1502
8,2020-12-02,10184803.35,,,26800.9805,bull,1.00,ETF_D5_ADD_STRONG,0.1502
,2020-12-03,10167280.84,,,26740.3008,,1.00,execute,
1,2020-12-29,10482048.41,,26905.6699,27568.1504,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1515
9,2021-01-08,10699109.77,,27624.7305,28139.0293,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.4376
7,2021-02-08,11174187.43,,28979.5293,29388.5000,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1823
0,2021-06-15,11194263.51,,29241.1992,29441.3008,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0000
,2021-08-03,10510063.13,,,27641.8301,range,0.75,ETF_REGIME_CAP_REDUCE,
,2021-08-04,10499063.39,,,27612.9004,,0.75,execute,
4,2021-09-01,10738067.60,,28279.8008,28451.0195,range,0.76,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0751
12,2021-09-10,11288674.51,,30241.8691,30381.8398,range,0.77,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.4680
6,2021-11-01,11079145.02,,29489.1094,29647.0801,range,0.76,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1918
3,2022-01-04,10980679.29,,29121.0098,29301.7891,range,0.76,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0452
,2022-01-12,10827792.84,,,28765.6602,range,0.57,ETF_D5_BREAKOUT_FAIL_TRIM,
,2022-01-13,10797154.61,,,28658.2207,,0.57,execute,
,2022-01-27,10264565.90,,,26170.3008,bear,0.25,ETF_REGIME_CAP_REDUCE,
,2022-01-27,10264565.90,,,26170.3008,bear,0.25,ETF_BEAR_SUPPORT_REDUCE,
,2022-01-28,10320127.48,,,26429.8496,,0.25,execute,
6,2022-03-22,10397661.62,,27216.1602,27224.1094,bear,0.26,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1081
9,2022-05-30,10411847.51,,27072.5898,27369.4297,bear,0.26,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1542
2,2022-08-05,10490570.60,,28015.6797,28175.8691,range,0.26,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1802
,2022-08-15,10558504.03,,,28871.7793,range,0.00,ETF_D5_BREAKOUT_FAIL_TRIM,
,2022-08-16,10554379.67,,,28829.5293,,0.00,execute,
4,2022-08-17,10554379.67,,28928.1602,29222.7695,range,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1931
2,2022-10-26,10554379.67,,27399.1895,27431.8398,range,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1075
3,2022-11-08,10554379.67,,27692.5508,27872.1094,range,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1133
3,2022-11-24,10554379.67,,28329.5391,28383.0898,range,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0398
0,2023-01-23,10554379.67,,26816.6797,26906.0391,range,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0000
,2023-01-26,10554379.67,,,27362.7500,range,0.15,ETF_D3_TRIAL,
,2023-01-27,10554379.67,,,27428.4102,,0.15,execute,
0,2023-01-30,10554667.70,,,27433.4004,range,0.50,ETF_D5_ADD_NORMAL,0.0000
,2023-01-31,10556119.94,,,27458.5605,,0.50,execute,
2,2023-02-06,10601308.70,,27612.5703,27693.6504,range,0.50,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0346
,2023-02-13,10550114.97,,,27427.3203,range,0.37,ETF_D5_BREAKOUT_FAIL_TRIM,
,2023-02-14,10603561.26,,,27705.3691,,0.37,execute,
5,2023-03-03,10635419.63,,27821.2207,27927.4707,range,0.38,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2267
5,2023-03-10,10666474.49,,,28143.9707,range,0.75,ETF_D5_ADD_STRONG,0.2267
,2023-03-13,10629501.30,,,27886.2109,,0.75,execute,
5,2023-04-14,10803105.07,,28287.4199,28493.4707,bull,0.75,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2092
5,2023-04-21,10823373.56,,,28564.3691,bull,1.00,ETF_D5_ADD_STRONG,0.2092
,2023-04-24,10842644.81,,,28631.7793,,1.00,execute,
9,2023-04-28,10927721.97,,28806.6895,28856.4395,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1715
7,2023-05-12,11129133.95,,29278.8008,29388.3008,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2300
4,2023-05-22,11772350.84,,30924.5703,31086.8203,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0765
6,2023-06-05,12200504.32,,31560.4297,32217.4297,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1162
9,2023-06-13,12503919.98,,32708.5293,33018.6484,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.3840
1,2023-09-01,12387271.55,,32692.7598,32710.6191,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0201
4,2023-09-15,12698735.17,,33322.4492,33533.0898,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0963
6,2023-11-06,12386461.65,,32533.0801,32708.4805,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1399
6,2023-11-15,12693664.24,,32913.3086,33519.6992,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.5121
3,2024-01-10,13042826.27,,33990.2812,34441.7188,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0542
2,2024-01-22,13840061.61,,36239.2188,36546.9492,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2810
7,2024-02-13,14376676.51,,37287.2617,37963.9688,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.4374
3,2024-02-22,14806383.22,,38865.0586,39098.6797,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1803
3,2024-03-04,15189071.39,,39990.2305,40109.2305,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1572
4,2024-03-21,15456591.13,,40472.1094,40815.6602,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0541
1,2024-05-20,14795401.13,,38949.3789,39069.6797,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0201
5,2024-06-26,15021628.58,,39336.6602,39667.0703,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2442
2,2024-07-04,15493698.57,,40694.2109,40913.6484,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1139
,2024-08-08,13190300.44,,,34831.1484,range,0.75,ETF_REGIME_CAP_REDUCE,
,2024-08-09,13357376.39,,,35272.3398,,0.75,execute,
1,2024-09-02,14331146.11,,38669.7891,38700.8711,bull,0.77,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0251
7,2024-09-27,14651715.37,,39080.6406,39829.5586,range,0.77,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.3896
,2024-10-04,14312613.84,,,38635.6211,range,0.58,ETF_D5_BREAKOUT_FAIL_TRIM,
,2024-10-07,14484247.05,,,39239.9219,,0.58,execute,
2,2024-10-15,14626587.53,,39829.5586,39910.5508,range,0.58,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1139
,2024-10-22,14308512.96,,,38411.9609,range,0.43,ETF_D5_BREAKOUT_FAIL_TRIM,
,2024-10-23,14305397.21,,,38397.2812,,0.43,execute,
1,2024-12-12,14536552.26,,39632.3008,39849.1406,bull,0.44,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0164
2,2024-12-27,14605335.44,,40257.3398,40281.1602,bull,0.44,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0319
,2025-03-26,14246489.60,,,38027.2891,bear,0.25,ETF_REGIME_CAP_REDUCE,
,2025-03-27,14202446.65,,,37750.6602,,0.25,execute,
5,2025-05-02,14115919.64,,36544.1484,36830.6914,bear,0.25,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2579
4,2025-06-17,14276380.67,,38529.6406,38536.7383,range,0.25,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2817
,2025-06-24,14300253.56,,,38790.5586,range,0.00,ETF_D5_BREAKOUT_FAIL_TRIM,
,2025-06-25,14310940.12,,,38904.1797,,0.00,execute,
3,2025-06-26,14310940.12,,38990.1094,39584.5781,range,0.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2155
,2025-07-01,14310940.12,,,39986.3281,range,0.25,ETF_D3_TRIAL,
,2025-07-02,14310940.12,,,39631.1719,,0.25,execute,
3,2025-07-03,14324908.18,,,39785.8984,range,0.75,ETF_D5_ADD_STRONG,0.2155
,2025-07-04,14343752.54,,,39994.6406,,0.75,execute,
10,2025-07-23,14660257.49,,40852.5391,41171.3203,bull,0.76,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1947
8,2025-08-12,15076331.79,,42065.8281,42718.1719,bull,0.76,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2084
8,2025-08-19,15299079.91,,,43546.2891,bull,1.00,ETF_D5_ADD_STRONG,0.2084
,2025-08-20,15259908.44,,,43400.6602,,1.00,execute,
2,2025-09-11,15601612.62,,44185.7305,44372.5000,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1025
10,2025-10-06,16857639.29,,45852.7500,47944.7617,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.5219
1,2025-10-20,17293889.63,,48597.0781,49185.5000,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0874
5,2025-10-29,18040048.58,,50549.6016,51307.6484,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.3079
2,2026-01-05,18224695.00,,51127.6914,51832.8008,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1327
5,2026-01-14,19106672.54,,53814.7891,54341.2305,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1998
1,2026-02-03,19240082.08,,54487.3203,54720.6602,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0195
3,2026-02-25,20598144.38,,58015.0781,58583.1211,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.0711
3,2026-04-08,19798347.75,,55745.3789,56308.4219,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.1803
4,2026-04-16,20926972.39,,59332.4297,59518.3398,bull,1.00,ETF_D0_NIKKEI_BREAKOUT_WATCH,0.2512
