Date of Data,Code,Company Name,Nikkei Industrial Classification,Sector,Weight
"2026/03/31","6472","NTN CORP.","Machinery","Capital Goods/Others","0.0209%"
"2026/03/31","6473","JTEKT CORP.","Machinery","Capital Goods/Others","0.1071%"
"2026/03/31","6479","MINEBEA MITSUMI INC.","Electric Machinery","Technology","0.1659%"
"2026/03/31","6501","HITACHI, LTD.","Electric Machinery","Technology","0.2922%"
"2026/03/31","6503","MITSUBISHI ELECTRIC CORP.","Electric Machinery","Technology","0.3265%"
"2026/03/31","6504","FUJI ELECTRIC CO., LTD.","Electric Machinery","Technology","0.1385%"
"2026/03/31","6506","YASKAWA ELECTRIC CORP.","Electric Machinery","Technology","0.2631%"
"2026/03/31","6526","SOCIONEXT INC.","Electric Machinery","Technology","0.1223%"
"2026/03/31","6532","BAYCURRENT, INC.","Services","Consumer Goods","0.2971%"
"2026/03/31","6645","OMRON CORP.","Electric Machinery","Technology","0.2901%"
"2026/03/31","6674","GS YUASA CORP.","Electric Machinery","Technology","0.0691%"
"2026/03/31","6701","NEC CORP.","Electric Machinery","Technology","0.1259%"
"2026/03/31","6702","FUJITSU LTD.","Electric Machinery","Technology","0.2076%"
"2026/03/31","6723","RENESAS ELECTRONICS CORP.","Electric Machinery","Technology","0.1408%"
"2026/03/31","6724","SEIKO EPSON CORP.","Electric Machinery","Technology","0.2511%"
"2026/03/31","6752","PANASONIC HOLDINGS CORP.","Electric Machinery","Technology","0.1692%"
"2026/03/31","6753","SHARP CORP.","Electric Machinery","Technology","0.0377%"
"2026/03/31","6758","SONY GROUP CORP.","Electric Machinery","Technology","1.0503%"
"2026/03/31","6762","TDK CORP.","Electric Machinery","Technology","1.9304%"
"2026/03/31","6770","ALPS ALPINE CO., LTD.","Electric Machinery","Technology","0.1363%"
"2026/03/31","6841","YOKOGAWA ELECTRIC CORP.","Electric Machinery","Technology","0.3105%"
"2026/03/31","6857","ADVANTEST CORP.","Electric Machinery","Technology","10.6462%"
"2026/03/31","6861","KEYENCE CORP.","Electric Machinery","Technology","0.3591%"
"2026/03/31","6902","DENSO CORP.","Electric Machinery","Technology","0.5099%"
"2026/03/31","6920","LASERTEC CORP.","Electric Machinery","Technology","0.8732%"
"2026/03/31","6952","CASIO COMPUTER CO., LTD.","Electric Machinery","Technology","0.0917%"
"2026/03/31","6954","FANUC CORP.","Electric Machinery","Technology","1.7353%"
"2026/03/31","6963","ROHM CO., LTD.","Electric Machinery","Technology","0.1998%"
"2026/03/31","6971","KYOCERA CORP.","Electric Machinery","Technology","1.2453%"
"2026/03/31","6976","TAIYO YUDEN CO., LTD.","Electric Machinery","Technology","0.2418%"
"2026/03/31","6981","MURATA MANUFACTURING CO., LTD.","Electric Machinery","Technology","0.5356%"
"2026/03/31","6988","NITTO DENKO CORP.","Chemicals","Materials","1.0028%"
"2026/03/31","7004","KANADEVIA CORP.","Machinery","Capital Goods/Others","0.0132%"
"2026/03/31","7011","MITSUBISHI HEAVY IND., LTD.","Machinery","Capital Goods/Others","0.2764%"
"2026/03/31","7012","KAWASAKI HEAVY IND., LTD.","Shipbuilding","Capital Goods/Others","0.0948%"
"2026/03/31","7013","IHI CORP.","Machinery","Capital Goods/Others","0.1438%"
"2026/03/31","7186","YOKOHAMA FINANCIAL GROUP, INC.","Banking","Financials","0.0899%"
"2026/03/31","7201","NISSAN MOTOR CO., LTD.","Automobiles & Auto parts","Technology","0.0218%"
"2026/03/31","7202","ISUZU MOTORS LTD.","Automobiles & Auto parts","Technology","0.0727%"
"2026/03/31","7203","TOYOTA MOTOR CORP.","Automobiles & Auto parts","Technology","1.0349%"
"2026/03/31","7211","MITSUBISHI MOTORS CORP.","Automobiles & Auto parts","Technology","0.0020%"
"2026/03/31","7261","MAZDA MOTOR CORP.","Automobiles & Auto parts","Technology","0.0136%"
"2026/03/31","7267","HONDA MOTOR CO., LTD.","Automobiles & Auto parts","Technology","0.4939%"
"2026/03/31","7269","SUZUKI MOTOR CORP.","Automobiles & Auto parts","Technology","0.4911%"
"2026/03/31","7270","SUBARU CORP.","Automobiles & Auto parts","Technology","0.1626%"
"2026/03/31","7272","YAMAHA MOTOR CO., LTD.","Automobiles & Auto parts","Technology","0.2210%"
"2026/03/31","7453","RYOHIN KEIKAKU CO., LTD.","Retail","Consumer Goods","0.4365%"
"2026/03/31","7731","NIKON CORP.","Precision Instruments","Technology","0.1236%"
"2026/03/31","7733","OLYMPUS CORP.","Precision Instruments","Technology","0.3897%"
"2026/03/31","7735","SCREEN HOLDINGS CO., LTD.","Electric Machinery","Technology","0.4682%"
"2026/03/31","7741","HOYA CORP.","Precision Instruments","Technology","0.8690%"
"2026/03/31","7751","CANON INC.","Electric Machinery","Technology","0.4278%"
"2026/03/31","7752","RICOH CO., LTD.","Electric Machinery","Technology","0.0860%"
"2026/03/31","7832","BANDAI NAMCO HOLDINGS INC.","Other Manufacturing","Capital Goods/Others","0.7594%"
"2026/03/31","7911","TOPPAN HOLDINGS INC.","Other Manufacturing","Capital Goods/Others","0.1344%"
"2026/03/31","7912","DAI NIPPON PRINTING CO., LTD.","Other Manufacturing","Capital Goods/Others","0.1851%"
"2026/03/31","7951","YAMAHA CORP.","Other Manufacturing","Capital Goods/Others","0.2166%"
"2026/03/31","7974","NINTENDO CO., LTD.","Services","Consumer Goods","0.5744%"
"2026/03/31","8001","ITOCHU CORP.","Trading Companies","Materials","0.6462%"
"2026/03/31","8002","MARUBENI CORP.","Trading Companies","Materials","0.3677%"
"2026/03/31","8015","TOYOTA TSUSHO CORP.","Trading Companies","Materials","1.1684%"
"2026/03/31","8031","MITSUI & CO., LTD.","Trading Companies","Materials","0.7801%"
"2026/03/31","8035","TOKYO ELECTRON LTD.","Electric Machinery","Technology","7.3111%"
"2026/03/31","8053","SUMITOMO CORP.","Trading Companies","Materials","0.3784%"
"2026/03/31","8058","MITSUBISHI CORP.","Trading Companies","Materials","1.0441%"
"2026/03/31","8233","TAKASHIMAYA CO., LTD.","Retail","Consumer Goods","0.1229%"
"2026/03/31","8252","MARUI GROUP CO., LTD.","Retail","Consumer Goods","0.1998%"
"2026/03/31","8253","CREDIT SAISON CO., LTD.","Other Financial Services","Financials","0.2626%"
"2026/03/31","8267","AEON CO., LTD.","Retail","Consumer Goods","0.3701%"
"2026/03/31","8304","AOZORA BANK, LTD.","Banking","Financials","0.0163%"
"2026/03/31","8306","MITSUBISHI UFJ FINANCIAL GROUP, INC.","Banking","Financials","0.1702%"
"2026/03/31","8308","RESONA HOLDINGS, INC.","Banking","Financials","0.0113%"
"2026/03/31","8309","SUMITOMO MITSUI TRUST GROUP, INC.","Banking","Financials","0.0642%"
"2026/03/31","8316","SUMITOMO MITSUI FINANCIAL GROUP, INC.","Banking","Financials","0.0983%"
"2026/03/31","8331","THE CHIBA BANK, LTD.","Banking","Financials","0.1307%"
"2026/03/31","8354","FUKUOKA FINANCIAL GROUP, INC.","Banking","Financials","0.0771%"
"2026/03/31","8411","MIZUHO FINANCIAL GROUP, INC.","Banking","Financials","0.0398%"
"2026/03/31","8591","ORIX CORP.","Other Financial Services","Financials","0.3016%"
"2026/03/31","8601","DAIWA SECURITIES GROUP INC.","Securities","Financials","0.0956%"
"2026/03/31","8604","NOMURA HOLDINGS, INC.","Securities","Financials","0.0788%"
"2026/03/31","8630","SOMPO HOLDINGS, INC.","Insurance","Financials","0.2361%"
"2026/03/31","8697","JAPAN EXCHANGE GROUP, INC.","Other Financial Services","Financials","0.2365%"
"2026/03/31","8725","MS&AD INSURANCE GROUP HOLDINGS, INC.","Insurance","Financials","0.2375%"
"2026/03/31","8750","DAI-ICHI LIFE HOLDINGS, INC.","Insurance","Financials","0.0372%"
"2026/03/31","8766","TOKIO MARINE HOLDINGS, INC.","Insurance","Financials","0.7176%"
"2026/03/31","8795","T&D HOLDINGS, INC.","Insurance","Financials","0.0518%"
"2026/03/31","8801","MITSUI FUDOSAN CO., LTD.","Real Estate","Capital Goods/Others","0.3251%"
"2026/03/31","8802","MITSUBISHI ESTATE CO., LTD.","Real Estate","Capital Goods/Others","0.2828%"
"2026/03/31","8804","TOKYO TATEMONO CO., LTD.","Real Estate","Capital Goods/Others","0.1174%"
"2026/03/31","8830","SUMITOMO REALTY & DEVELOPMENT CO., LTD.","Real Estate","Capital Goods/Others","0.5750%"
"2026/03/31","9001","TOBU RAILWAY CO., LTD.","Railway & Bus","Transportation and Utilities","0.0373%"
"2026/03/31","9005","TOKYU CORP.","Railway & Bus","Transportation and Utilities","0.0609%"
"2026/03/31","9007","ODAKYU ELECTRIC RAILWAY CO., LTD.","Railway & Bus","Transportation and Utilities","0.0538%"
"2026/03/31","9008","KEIO CORP.","Railway & Bus","Transportation and Utilities","0.0505%"
"2026/03/31","9009","KEISEI ELECTRIC RAILWAY CO., LTD.","Railway & Bus","Transportation and Utilities","0.1154%"
"2026/03/31","9020","EAST JAPAN RAILWAY CO.","Railway & Bus","Transportation and Utilities","0.0712%"
"2026/03/31","9021","WEST JAPAN RAILWAY CO.","Railway & Bus","Transportation and Utilities","0.0410%"
"2026/03/31","9022","CENTRAL JAPAN RAILWAY CO., LTD.","Railway & Bus","Transportation and Utilities","0.1337%"
"2026/03/31","9064","YAMATO HOLDINGS CO., LTD.","Land Transport","Transportation and Utilities","0.1142%"
"2026/03/31","9101","NIPPON YUSEN K.K.","Marine Transport","Transportation and Utilities","0.1133%"
"2026/03/31","9104","MITSUI O.S.K.LINES, LTD.","Marine Transport","Transportation and Utilities","0.1276%"
"2026/03/31","9107","KAWASAKI KISEN KAISHA, LTD.","Marine Transport","Transportation and Utilities","0.1555%"
"2026/03/31","9147","NIPPON EXPRESS HOLDINGS, INC.","Land Transport","Transportation and Utilities","0.0696%"
"2026/03/31","9201","JAPAN AIRLINES CO., LTD.","Air Transport","Transportation and Utilities","0.1675%"
"2026/03/31","9202","ANA HOLDINGS INC.","Air Transport","Transportation and Utilities","0.0184%"
"2026/03/31","9432","NTT, INC.","Communications","Technology","0.1029%"
"2026/03/31","9433","KDDI CORP.","Communications","Technology","2.1393%"
"2026/03/31","9434","SOFTBANK CORP.","Communications","Technology","0.1382%"
"2026/03/31","9501","TOKYO ELECTRIC POWER COMPANY HOLDINGS, I","Electric Power","Transportation and Utilities","0.0042%"
"2026/03/31","9502","CHUBU ELECTRIC POWER CO., INC.","Electric Power","Transportation and Utilities","0.0169%"
"2026/03/31","9503","THE KANSAI ELECTRIC POWER CO., INC.","Electric Power","Transportation and Utilities","0.0169%"
"2026/03/31","9531","TOKYO GAS CO., LTD.","Gas","Transportation and Utilities","0.0971%"
"2026/03/31","9532","OSAKA GAS CO., LTD.","Gas","Transportation and Utilities","0.0835%"
"2026/03/31","9602","TOHO CO., LTD","Services","Consumer Goods","0.0546%"
"2026/03/31","9735","SECOM CO., LTD.","Services","Consumer Goods","0.7902%"
"2026/03/31","9766","KONAMI GROUP CORP.","Services","Consumer Goods","1.2656%"
"2026/03/31","9843","NITORI HOLDINGS CO., LTD.","Retail","Consumer Goods","0.4120%"
"2026/03/31","9983","FAST RETAILING CO., LTD.","Retail","Consumer Goods","9.6821%"
"2026/03/31","9984","SOFTBANK GROUP CORP.","Communications","Technology","5.5849%"
"This material is a copyrightable work of Nikkei. It is prohibited to copy, reproduce, reprint, or circulate all or part of this material in any form without NikkeiÅfs permission."
