b20_vol_count,date,equity_before,price,regime,ret1,ret3,ret5,target_position,type,weighted_b20_vol
,2018-10-15,10131091.92,22271.3008,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2018-10-16,10137202.74,22298.1992,,,,,0.10,execute,
5,2019-02-13,10084752.40,21144.4805,bear,,,,0.10,V6_D0_BREAKOUT_WATCH,0.4022
,2019-02-20,10097800.44,21431.4902,bear,,,,0.00,V6_D5_BREAKOUT_FAIL_TRIM,
,2019-02-21,10097383.11,21422.3105,,,,,0.00,execute,
1,2019-04-05,10097383.11,21807.5000,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0157
5,2019-04-15,10097383.11,22169.1094,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.2968
,2019-04-18,10097383.11,22090.1191,range,,,,0.25,V6_D3_TRIAL,
,2019-04-19,10097383.11,22238.0703,,,,,0.25,execute,
,2019-04-22,10095093.53,22217.9004,range,,,,0.75,V6_D5_ADD_STRONG,
,2019-04-23,10097799.70,22241.7402,,,,,0.75,execute,
,2019-05-08,9880167.92,21602.5898,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2019-05-09,9842821.80,21492.9102,,,,,0.10,execute,
1,2019-06-20,9841445.61,21462.8594,range,,,,0.10,V6_D0_BREAKOUT_WATCH,0.0157
,2019-06-27,9835735.37,21338.1699,range,,,,0.00,V6_D5_BREAKOUT_FAIL_TRIM,
,2019-06-28,9833173.14,21282.2207,,,,,0.00,execute,
8,2019-07-01,9833173.14,21729.9707,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.1590
,2019-07-04,9833173.14,21702.4492,range,,,,0.25,V6_D3_TRIAL,
,2019-07-05,9833173.14,21703.6094,,,,,0.25,execute,
,2019-07-08,9814001.67,21534.3496,range,,,,0.75,V6_D5_ADD_STRONG,
,2019-07-09,9821228.16,21598.1504,,,,,0.75,execute,
,2019-07-09,9809973.71,21565.1504,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2019-07-10,9787570.71,21499.4609,,,,,0.10,execute,
15,2019-09-05,9768745.26,21085.9395,range,,,,0.10,V6_D0_BREAKOUT_WATCH,0.5266
,2019-09-10,9782683.12,21392.0996,range,,,,0.25,V6_D3_TRIAL,
,2019-09-11,9786077.46,21466.6602,,,,,0.25,execute,
,2019-09-12,9819464.40,21759.6094,range,,,,0.75,V6_D5_ADD_STRONG,
,2019-09-13,9836356.86,21907.8301,,,,,0.75,execute,
11,2019-09-13,9863450.71,21988.2891,range,,,,0.75,V6_D0_BREAKOUT_WATCH,0.1867
7,2019-10-16,10026645.86,22472.9199,range,,,,0.75,V6_D0_BREAKOUT_WATCH,0.2811
,2019-10-24,10120152.03,22750.5996,bull,,,,1.00,V6_D5_ADD_STRONG,
,2019-10-25,10121041.24,22753.2402,,,,,1.00,execute,
3,2019-10-25,10141756.53,22799.8105,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0541
7,2019-11-05,10342894.01,23251.9902,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1545
14,2019-12-13,10685897.01,24023.0996,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.5927
,2020-02-25,10055283.82,22605.4102,bull,-0.0334,-0.0340,-0.0390,0.50,V6_NIKKEI_SHOCK_REDUCE,
,2020-02-26,9952411.07,22374.1406,,,,,0.50,execute,
,2020-02-27,9857684.91,21948.2305,bull,,,,0.35,V6_STRUCTURAL_BREAK_REDUCE,
,2020-02-28,9762000.04,21518.0098,,,,,0.35,execute,
,2020-02-28,9702448.56,21142.9609,bull,,,,0.35,V6_STRUCTURAL_BREAK_REDUCE,
,2020-03-02,9655897.77,20849.7891,,,,,0.35,execute,
,2020-03-04,9696464.54,21100.0605,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2020-03-05,9745060.83,21399.8691,,,,,0.10,execute,
2,2020-04-17,9676635.09,19897.2598,bear,,,,0.09,V6_D0_BREAKOUT_WATCH,0.2389
,2020-04-24,9647706.66,19262.0000,bear,,,,0.00,V6_D5_BREAKOUT_FAIL_TRIM,
,2020-04-27,9654484.52,19410.8398,,,,,0.00,execute,
0,2020-05-25,9654484.52,20741.6504,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0000
,2020-05-28,9654484.52,21916.3105,range,,,,0.15,V6_D3_TRIAL,
,2020-05-29,9654484.52,21807.6309,,,,,0.15,execute,
,2020-06-01,9671402.28,22062.3906,range,,,,0.50,V6_D5_ADD_NORMAL,
,2020-06-02,9678914.79,22175.5195,,,,,0.50,execute,
0,2020-06-02,9711669.53,22325.6094,range,,,,0.50,V6_D0_BREAKOUT_WATCH,0.0000
,2020-06-15,9538247.49,21530.9492,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2020-06-16,9621468.89,21912.2891,,,,,0.10,execute,
1,2020-07-13,9659777.36,22784.7402,range,,,,0.10,V6_D0_BREAKOUT_WATCH,0.0164
,2020-07-20,9656824.05,22717.4805,range,,,,0.00,V6_D5_BREAKOUT_FAIL_TRIM,
,2020-07-21,9659981.12,22789.3809,,,,,0.00,execute,
3,2020-08-13,9659981.12,23249.6094,bull,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0408
2,2020-09-03,9659981.12,23465.5293,bull,,,,0.00,V6_D0_BREAKOUT_WATCH,0.1836
5,2020-10-08,9659981.12,23647.0703,bull,,,,0.00,V6_D0_BREAKOUT_WATCH,0.3375
7,2020-11-05,9659981.12,24105.2793,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.2752
,2020-11-10,9659981.12,24905.5898,range,,,,0.25,V6_D3_TRIAL,
,2020-11-11,9659981.12,25145.6602,,,,,0.25,execute,
,2020-11-12,9696017.41,25520.8809,range,,,,0.75,V6_D5_ADD_STRONG,
,2020-11-13,9684949.71,25405.6406,,,,,0.75,execute,
5,2020-11-16,9828272.98,25906.9297,range,,,,0.75,V6_D0_BREAKOUT_WATCH,0.4622
8,2020-11-25,9939757.56,26296.8594,bull,,,,0.76,V6_D0_BREAKOUT_WATCH,0.1502
,2020-12-02,10083890.53,26800.9805,bull,,,,1.00,V6_D5_ADD_STRONG,
,2020-12-03,10066541.64,26740.3008,,,,,1.00,execute,
1,2020-12-29,10378190.44,27568.1504,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1515
9,2021-01-08,10593101.12,28139.0293,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.4376
7,2021-02-08,11063471.63,29388.5000,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1823
,2021-02-26,10904422.72,28966.0098,bull,-0.0399,-0.0395,-0.0420,0.50,V6_NIKKEI_SHOCK_REDUCE,
,2021-03-01,11075122.64,29419.4492,,,,,0.50,execute,
0,2021-06-15,11079235.71,29441.3008,bull,,,,0.50,V6_D0_BREAKOUT_WATCH,0.0000
,2021-07-30,10673094.30,27283.5898,bull,,,,0.35,V6_STRUCTURAL_BREAK_REDUCE,
,2021-08-02,10712571.43,27493.3203,,,,,0.35,execute,
,2021-08-03,10732824.44,27641.8301,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2021-08-04,10728879.16,27612.9004,,,,,0.10,execute,
4,2021-09-01,10761443.93,28451.0195,range,,,,0.10,V6_D0_BREAKOUT_WATCH,0.0751
,2021-09-06,10808414.12,29659.8906,range,,,,0.15,V6_D3_TRIAL,
,2021-09-07,10817118.69,29883.9199,,,,,0.15,execute,
,2021-09-08,10833260.31,30181.2109,range,,,,0.50,V6_D5_ADD_NORMAL,
,2021-09-09,10821206.66,29959.2109,,,,,0.50,execute,
12,2021-09-10,10897533.02,30381.8398,range,,,,0.50,V6_D0_BREAKOUT_WATCH,0.4680
,2021-09-17,10918881.80,30500.0508,range,,,,0.75,V6_D5_ADD_STRONG,
,2021-09-21,10832410.86,30021.2500,,,,,0.75,execute,
,2021-10-04,10405818.72,28444.8906,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2021-10-05,10299059.68,28050.3906,,,,,0.10,execute,
6,2021-11-01,10357684.18,29647.0801,range,,,,0.11,V6_D0_BREAKOUT_WATCH,0.1918
,2021-11-05,10356380.39,29611.5703,range,,,,0.25,V6_D3_TRIAL,
,2021-11-08,10360928.77,29735.4492,,,,,0.25,execute,
,2021-11-09,10321730.63,29285.4609,bull,,,,0.00,V6_D5_BREAKOUT_FAIL_TRIM,
,2021-11-10,10315075.45,29209.0605,,,,,0.00,execute,
3,2022-01-04,10315075.45,29301.7891,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0452
6,2022-03-22,10315075.45,27224.1094,bear,,,,0.00,V6_D0_BREAKOUT_WATCH,0.1081
,2022-03-29,10315075.45,28252.4199,bear,,,,0.25,V6_D5_ADD_STRONG,
,2022-03-30,10315075.45,28250.8008,,,,,0.25,execute,
9,2022-05-30,10234622.78,27369.4297,bear,,,,0.24,V6_D0_BREAKOUT_WATCH,0.1542
,2022-06-06,10284504.43,27915.8906,bear,,,,0.25,V6_D5_ADD_STRONG,
,2022-06-07,10290793.57,27984.7891,,,,,0.25,execute,
2,2022-08-05,10308359.94,28175.8691,range,,,,0.25,V6_D0_BREAKOUT_WATCH,0.1802
,2022-08-15,10372336.38,28871.7793,range,,,,0.00,V6_D5_BREAKOUT_FAIL_TRIM,
,2022-08-16,10368452.25,28829.5293,,,,,0.00,execute,
4,2022-08-17,10368452.25,29222.7695,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.1931
2,2022-10-26,10368452.25,27431.8398,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.1075
3,2022-11-08,10368452.25,27872.1094,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.1133
3,2022-11-24,10368452.25,28383.0898,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0398
0,2023-01-23,10368452.25,26906.0391,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0000
,2023-01-26,10368452.25,27362.7500,range,,,,0.15,V6_D3_TRIAL,
,2023-01-27,10368452.25,27428.4102,,,,,0.15,execute,
,2023-01-30,10368735.21,27433.4004,range,,,,0.50,V6_D5_ADD_NORMAL,
,2023-01-31,10370161.86,27458.5605,,,,,0.50,execute,
2,2023-02-06,10414554.57,27693.6504,range,,,,0.50,V6_D0_BREAKOUT_WATCH,0.0346
,2023-02-13,10364262.67,27427.3203,range,,,,0.37,V6_D5_BREAKOUT_FAIL_TRIM,
,2023-02-14,10416767.45,27705.3691,,,,,0.37,execute,
,2023-02-22,10332071.48,27104.3203,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2023-02-24,10337764.44,27144.7207,,,,,0.10,execute,
5,2023-04-14,10389130.08,28493.4707,bull,,,,0.10,V6_D0_BREAKOUT_WATCH,0.2092
,2023-04-19,10393444.57,28606.7598,bull,,,,0.50,V6_D3_TRIAL,
,2023-04-20,10388312.40,28472.0000,,,,,0.50,execute,
,2023-04-21,10405163.33,28564.3691,bull,,,,1.00,V6_D5_ADD_STRONG,
,2023-04-24,10417460.98,28631.7793,,,,,1.00,execute,
9,2023-04-28,10499201.92,28856.4395,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1715
7,2023-05-12,10692715.73,29388.3008,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.2300
,2023-05-19,11209389.98,30808.3496,bull,,,,1.00,V6_D5_ADD_STRONG,
,2023-05-22,11182960.94,30735.7109,,,,,1.00,execute,
4,2023-05-22,11310709.49,31086.8203,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0765
6,2023-06-05,11722073.34,32217.4297,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1162
,2023-06-12,11800870.85,32434.0000,bull,,,,1.00,V6_D5_ADD_STRONG,
,2023-06-13,11886355.38,32668.9492,,,,,1.00,execute,
9,2023-06-13,12013590.85,33018.6484,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.3840
1,2023-09-01,11901516.67,32710.6191,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0201
4,2023-09-15,12200766.55,33533.0898,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0963
6,2023-11-06,11900738.53,32708.4805,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1399
6,2023-11-15,12195894.47,33519.6992,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.5121
3,2024-01-10,12531364.45,34441.7188,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0542
2,2024-01-22,13297336.98,36546.9492,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.2810
7,2024-02-13,13812909.05,37963.9688,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.4374
3,2024-02-22,14225765.22,39098.6797,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1803
3,2024-03-04,14593446.65,40109.2305,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1572
4,2024-03-21,14850475.86,40815.6602,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0541
1,2024-05-20,14215213.79,39069.6797,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0201
5,2024-06-26,14432569.95,39667.0703,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.2442
2,2024-07-04,14886128.17,40913.6484,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1139
,2024-07-25,13778541.56,37869.5117,bull,-0.0328,-0.0437,-0.0562,0.50,V6_NIKKEI_SHOCK_REDUCE,
,2024-07-26,13750656.43,37792.8711,,,,,0.50,execute,
,2024-08-02,13408067.36,35909.6992,bull,,,,0.35,V6_STRUCTURAL_BREAK_REDUCE,
,2024-08-05,13287937.47,35249.3594,,,,,0.35,execute,
,2024-08-05,12787763.33,31458.4199,bull,,,,0.35,V6_STRUCTURAL_BREAK_REDUCE,
,2024-08-06,12869421.94,32077.3301,,,,,0.35,execute,
,2024-08-08,13256113.03,34831.1484,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2024-08-09,13318065.11,35272.3398,,,,,0.10,execute,
1,2024-09-02,13447518.96,38700.8711,bull,,,,0.11,V6_D0_BREAKOUT_WATCH,0.0251
,2024-09-09,13353686.22,36215.7500,bull,,,,0.00,V6_D5_BREAKOUT_FAIL_TRIM,
,2024-09-10,13360119.06,36386.1211,,,,,0.00,execute,
7,2024-09-27,13360119.06,39829.5586,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.3896
2,2024-10-15,13360119.06,39910.5508,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.1139
1,2024-12-12,13360119.06,39849.1406,bull,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0164
2,2024-12-27,13360119.06,40281.1602,bull,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0319
5,2025-05-02,13360119.06,36830.6914,bear,,,,0.00,V6_D0_BREAKOUT_WATCH,0.2579
,2025-05-13,13360119.06,38183.2617,bear,,,,0.25,V6_D5_ADD_STRONG,
,2025-05-14,13360119.06,38199.0312,,,,,0.25,execute,
4,2025-06-17,13389647.33,38536.7383,range,,,,0.25,V6_D0_BREAKOUT_WATCH,0.2817
,2025-06-24,13411840.76,38790.5586,range,,,,0.00,V6_D5_BREAKOUT_FAIL_TRIM,
,2025-06-25,13421775.51,38904.1797,,,,,0.00,execute,
3,2025-06-26,13421775.51,39584.5781,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.2155
,2025-07-01,13421775.51,39986.3281,range,,,,0.25,V6_D3_TRIAL,
,2025-07-02,13421775.51,39631.1719,,,,,0.25,execute,
,2025-07-03,13434875.71,39785.8984,range,,,,0.75,V6_D5_ADD_STRONG,
,2025-07-04,13452549.24,39994.6406,,,,,0.75,execute,
10,2025-07-23,13749389.17,41171.3203,bull,,,,0.76,V6_D0_BREAKOUT_WATCH,0.1947
8,2025-08-12,14139612.01,42718.1719,bull,,,,0.76,V6_D0_BREAKOUT_WATCH,0.2084
,2025-08-19,14348520.39,43546.2891,bull,,,,1.00,V6_D5_ADD_STRONG,
,2025-08-20,14311782.72,43400.6602,,,,,1.00,execute,
2,2025-09-11,14632256.20,44372.5000,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1025
10,2025-10-06,15810243.66,47944.7617,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.5219
1,2025-10-20,16219388.98,49185.5000,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0874
5,2025-10-29,16919187.72,51307.6484,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.3079
2,2026-01-05,17092361.72,51832.8008,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1327
5,2026-01-14,17919540.40,54341.2305,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.1998
1,2026-02-03,18044660.97,54720.6602,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0195
3,2026-02-25,19318344.40,58583.1211,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0711
,2026-03-03,18558555.18,56279.0508,bull,-0.0306,-0.0421,-0.0182,0.50,V6_NIKKEI_SHOCK_REDUCE,
,2026-03-04,18292052.78,55470.8789,,,,,0.50,execute,
3,2026-04-08,18430146.68,56308.4219,bull,,,,0.50,V6_D0_BREAKOUT_WATCH,0.1803
,2026-04-15,18731186.89,58134.2383,bull,,,,0.80,V6_D5_ADD_NORMAL,
,2026-04-16,18788167.67,58479.8281,,,,,0.80,execute,
4,2026-04-16,19055086.81,59518.3398,bull,,,,0.80,V6_D0_BREAKOUT_WATCH,0.2512
