date,equity,position,close
2022-11-28,9903661.93875365,0.24330515,28162.83007812
2022-11-29,9892112.17335498,0.24242165,28027.83984375
2022-11-30,9887077.00036464,0.24203584,27968.99023438
2022-12-01,9909073.60919669,0.24371840,28226.08007812
2022-12-02,9870727.35199488,0.24078037,27777.90039062
2022-12-05,9874363.65229257,0.24105995,27820.40039062
2022-12-06,9879965.15900115,0.24149024,27885.86914062
2022-12-07,9862898.61135396,0.24017773,27686.40039062
2022-12-08,9853318.39721027,0.23943897,27574.42968750
2022-12-09,9881260.59098221,0.24158968,27901.00976562
2022-12-12,9876239.95650868,0.24120414,27842.33007812
2022-12-13,9885867.12839058,0.24194308,27954.84960938
2022-12-14,9903095.60503541,0.24326187,28156.21093750
2022-12-15,9894153.58164710,0.24257796,28051.69921875
2022-12-16,9849270.50648825,0.23912639,27527.11914062
2022-12-19,9824502.72266370,0.23720821,27237.64062500
2022-12-20,9767210.77273897,0.23273387,26568.02929688
2022-12-21,9751783.56819473,0.23152007,26387.72070312
2022-12-22,9762063.46934882,0.23232931,26507.86914062
2022-12-23,9738738.17376736,0.23049066,26235.25000000
2022-12-26,9753336.34863435,0.23164241,26405.86914062
2022-12-27,9756929.86892854,0.23192540,26447.86914062
2022-12-28,9747743.36450459,0.23120155,26340.50000000
2022-12-29,9726624.58129127,0.22953231,26093.66992188
2022-12-30,9726695.60278146,0.22953793,26094.50000000
2023-01-04,9694384.66826124,0.22697002,25716.85937500
2023-01-05,9703277.89570806,0.22767851,25820.80078125
2023-01-06,9716372.75451448,0.22871938,25973.84960938
2023-01-10,9733631.14373988,0.23008691,26175.56054688
2023-01-11,9756769.94524358,0.23191281,26446.00000000
2023-01-12,9757096.81120783,0.23193854,26449.82031250
2023-01-13,9728836.27405046,0.22970746,26119.51953125
2023-01-16,9703407.90681245,0.22768886,25822.32031250
2023-01-17,9730475.61715342,0.22983724,26138.67968750
2023-01-18,9786298.34133287,0.23423038,26791.11914062
2023-01-19,9753281.70386425,0.23163811,26405.23046875
2023-01-20,9765970.15263740,0.23263640,26553.52929688
2023-01-23,9796130.89065346,0.23499899,26906.03906250
2023-01-24,9829768.84082920,0.23761686,27299.18945312
2023-01-25,9837967.22743788,0.23825219,27395.00976562
2023-01-26,9835207.08166504,0.23803841,27362.75000000
2023-01-27,9836902.07219443,0.23816971,27382.56054688
2023-01-30,9841251.92958179,0.23850644,27433.40039062
2023-01-31,9832157.66954039,0.23780209,27327.10937500
2023-02-01,9818688.57420067,0.54757855,27346.88085938
2023-02-02,9829535.19561946,0.54807778,27402.05078125
2023-02-03,9850652.45048920,0.54904659,27509.46093750
2023-02-06,9886864.81402867,0.55069828,27693.65039062
2023-02-07,9885256.65562240,0.55062519,27685.47070312
2023-02-08,9869723.02811312,0.54991793,27606.46093750
2023-02-09,9865375.85492368,0.54971961,27584.34960938
2023-02-10,9882407.81913336,0.55049565,27670.98046875
2023-02-13,9834503.28383826,0.54830608,27427.32031250
2023-02-14,9868997.28327362,0.54988484,27602.76953125
2023-02-15,9863729.70961985,0.32753940,27501.85937500
2023-02-16,9886587.85705521,0.32909415,27696.43945312
2023-02-17,9865053.81871746,0.32762966,27513.13085938
2023-02-20,9867263.34403543,0.32778022,27531.93945312
2023-02-21,9860351.17791611,0.32730899,27473.09960938
2023-02-22,9817029.10907790,0.32434044,27104.32031250
2023-02-24,9858046.43421736,0.32715172,27453.48046875
2023-02-27,9854578.64962174,0.32691495,27423.96093750
2023-02-28,9857116.04738824,0.32708821,27445.56054688
2023-03-01,9865453.04759111,0.32765687,27516.52929688
2023-03-02,9863378.43409942,0.32751545,27498.86914062
2023-03-03,9913728.07832330,0.33093085,27927.47070312
2023-03-06,9950181.34555778,0.33338204,28237.77929688
2023-03-07,9958566.75799762,0.33394335,28309.16015625
2023-03-08,9974429.22246883,0.33500259,28444.18945312
2023-03-09,9995452.52317856,0.33640127,28623.15039062
2023-03-10,9939161.25199371,0.33264292,28143.97070312
2023-03-13,9902625.61512381,0.33018072,27832.96093750
2023-03-14,9795375.74362355,0.74803179,27222.03906250
2023-03-15,9797378.71857848,0.74808331,27229.48046875
2023-03-16,9738466.02057335,0.74655934,27010.60937500
2023-03-17,9825455.06515148,0.74880316,27333.78906250
2023-03-20,9720986.51551389,0.74610362,26945.66992188
2023-03-22,9861205.80237856,0.74971385,27466.60937500
2023-03-23,9848554.99153460,0.74939235,27419.60937500
2023-03-24,9839306.60953797,0.74915679,27385.25000000
2023-03-27,9863967.38438335,0.74978392,27476.86914062
2023-03-28,9875105.71256449,0.75006614,27518.25000000
2023-03-29,9973493.84006855,0.75253173,27883.77929688
2023-03-30,9946348.53513471,0.75185635,27782.92968750
2023-03-31,10015941.66337198,0.75358051,28041.48046875
2023-04-03,10055420.24716216,0.75454798,28188.15039062
2023-04-04,10082140.24849008,0.75519848,28287.41992188
2023-04-05,9954512.36665050,0.75205985,27813.25976562
2023-04-06,9862826.58237490,0.74975498,27472.63085938
2023-04-07,9875122.00973604,0.75006656,27518.31054688
2023-04-10,9906170.22439833,0.75084990,27633.66015625
2023-04-11,9984150.08740095,0.75279586,27923.36914062
2023-04-12,10027036.35719058,0.75385317,28082.69921875
2023-04-13,10047027.72952948,0.75434294,28156.97070312
2023-04-14,10137602.15184845,0.75653777,28493.47070312
2023-04-17,10143337.70480339,0.75667543,28514.77929688
2023-04-18,10182111.30449527,0.75760202,28658.83007812
2023-04-19,10168095.73696286,0.75726790,28606.75976562
2023-04-20,10181772.21818400,0.75759394,28657.57031250
2023-04-21,10156685.61401749,0.75699521,28564.36914062
2023-04-24,10164531.91354567,0.75718279,28593.51953125
2023-04-25,10164999.39218904,1.00000000,28620.07031250
2023-04-26,10092686.85476516,1.00000000,28416.47070312
2023-04-27,10107323.06273219,1.00000000,28457.67968750
2023-04-28,10248950.69435395,1.00000000,28856.43945312
2023-05-01,10343688.90745715,1.00000000,29123.17968750
2023-05-02,10356038.01282844,1.00000000,29157.94921875
2023-05-08,10282138.30805878,1.00000000,28949.88085938
2023-05-09,10386181.70594181,1.00000000,29242.82031250
2023-05-10,10343333.73714201,1.00000000,29122.17968750
2023-05-11,10344946.57109259,1.00000000,29126.72070312
2023-05-12,10437852.04987431,1.00000000,29388.30078125
2023-05-15,10522396.45871782,1.00000000,29626.33984375
2023-05-16,10599344.24623107,1.00000000,29842.99023438
2023-05-17,10688349.78846648,1.00000000,30093.58984375
2023-05-18,10858952.24214495,1.00000000,30573.92968750
2023-05-19,10942211.23967214,1.00000000,30808.34960938
2023-05-22,11041115.76705801,1.00000000,31086.82031250
2023-05-23,10995280.76041252,1.00000000,30957.76953125
2023-05-24,10897577.01391631,1.00000000,30682.67968750
2023-05-25,10939647.35395973,1.00000000,30801.13085938
2023-05-26,10980555.75986671,1.00000000,30916.31054688
2023-05-29,11093225.91173230,1.00000000,31233.53906250
2023-05-30,11126832.51541828,1.00000000,31328.16015625
2023-05-31,10982437.47440140,0.79980066,30887.88085938
2023-06-01,11056411.79779327,0.80114012,31148.00976562
2023-06-02,11163397.02275491,0.80304591,31524.22070312
2023-06-05,11360528.76919381,0.80646353,32217.42968750
