nikkei_event_date,nikkei_event_type,code,ticker,company,sector,normalized_top30_weight,component_breakdown20,component_breakdown60,component_volume_down,component_breakdown20_volume_confirmed,component_breakdown60_volume_confirmed,component_near_support20,component_low_volume_pullback,component_volume_ratio_60d,component_1d_return
2022-06-15,near_support_20d,6857,6857.T,ADVANTEST CORP.,Technology,0.16661606,False,False,False,False,False,False,False,0.992606,-0.01150895
2022-06-15,near_support_20d,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.15152762,False,False,False,False,False,False,False,0.927479,0.00134228
2022-06-15,near_support_20d,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.11442080,False,False,False,False,False,True,True,0.887541,-0.01373038
2022-06-15,near_support_20d,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.08740528,False,False,False,False,False,False,False,1.019609,-0.00099344
2022-06-15,near_support_20d,9433,9433.T,KDDI CORP.,Technology,0.03348065,True,False,False,False,False,False,False,1.071719,-0.01113130
2022-06-15,near_support_20d,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.03205961,False,False,False,False,False,True,True,0.949883,-0.00230681
2022-06-15,near_support_20d,6762,6762.T,TDK CORP.,Technology,0.03021131,False,False,False,False,False,False,False,0.804557,-0.02120536
2022-06-15,near_support_20d,6954,6954.T,FANUC CORP.,Technology,0.02715794,False,False,False,False,False,False,False,0.678806,-0.01788777
2022-06-15,near_support_20d,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.02646463,True,True,False,False,False,False,False,1.064306,-0.02283897
2022-06-15,near_support_20d,5803,5803.T,FUJIKURA LTD.,Materials,0.02514062,False,False,False,False,False,False,False,0.944389,-0.02424239
2022-06-15,near_support_20d,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.02005584,True,True,True,True,True,False,False,1.250661,-0.03715244
2022-06-15,near_support_20d,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01980700,True,False,True,True,False,False,False,1.460486,-0.03921569
2022-06-15,near_support_20d,6971,6971.T,KYOCERA CORP.,Technology,0.01948930,False,False,False,False,False,False,False,0.899881,-0.00360011
2022-06-15,near_support_20d,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01914186,False,False,False,False,False,False,False,0.835162,-0.02356985
2022-06-15,near_support_20d,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01828579,False,False,False,False,False,False,False,0.707511,0.00104600
2022-06-15,near_support_20d,4543,4543.T,TERUMO CORP.,Technology,0.01727635,True,False,False,False,False,False,False,0.832851,-0.01997439
