adjustment,base_position,date,equity_before,price,regime,target_position,type
,,2022-05-16,9964488.72,26753.3691,,0.20,execute
0,0.35,2022-06-07,,,bear,0.35,signal
,,2022-06-08,10066390.27,28100.2598,,0.35,execute
-1,0.35,2022-06-10,,,bear,0.10,signal
,,2022-06-13,9974873.91,27369.6602,,0.10,execute
0,0.34,2022-06-13,,,bear,0.34,signal
,,2022-06-14,9945598.64,26555.7500,,0.34,execute
-1,0.34,2022-06-15,,,bear,0.09,signal
,,2022-06-16,9966050.17,26715.5195,,0.09,execute
1,0.34,2022-06-16,,,bear,0.35,signal
,,2022-06-17,9942653.79,25988.1992,,0.35,execute
-1,0.33,2022-06-17,,,bear,0.08,signal
,,2022-06-20,9965205.92,26156.6191,,0.08,execute
1,0.20,2022-06-20,,,bear,0.35,signal
,,2022-06-21,9962491.48,26070.9199,,0.35,execute
-1,0.20,2022-06-21,,,bear,0.00,signal
,,2022-06-22,10012084.47,26441.7207,,0.00,execute
0,0.20,2022-06-22,,,bear,0.20,signal
,,2022-06-23,10012084.47,26134.8906,,0.20,execute
1,0.20,2022-07-04,,,bear,0.35,signal
,,2022-07-05,10031337.62,26386.2305,,0.35,execute
0,0.20,2022-07-05,,,bear,0.20,signal
,,2022-07-06,10005280.35,26190.4004,,0.20,execute
-1,0.20,2022-07-12,,,bear,0.00,signal
,,2022-07-13,10021716.93,26403.7891,,0.00,execute
0,0.20,2022-07-15,,,bear,0.20,signal
,,2022-07-19,10021716.93,27003.8301,,0.20,execute
-1,0.21,2022-07-20,,,bear,0.00,signal
,,2022-07-21,10068927.46,27627.8809,,0.00,execute
0,0.22,2022-08-19,,,range,0.22,signal
,,2022-08-22,10068927.46,28654.0703,,0.22,execute
-1,0.22,2022-08-22,,,range,0.00,signal
,,2022-08-23,10063304.59,28580.1992,,0.00,execute
0,0.21,2022-09-01,,,range,0.21,signal
,,2022-09-02,10063304.59,27755.5996,,0.21,execute
-1,0.21,2022-09-02,,,range,0.00,signal
,,2022-09-05,10049028.19,27567.2891,,0.00,execute
0,0.21,2022-09-14,,,range,0.21,signal
,,2022-09-15,10049028.19,27873.9609,,0.21,execute
-1,0.21,2022-09-15,,,range,0.00,signal
,,2022-09-16,10030660.14,27631.3906,,0.00,execute
0,0.21,2022-09-16,,,range,0.21,signal
,,2022-09-20,10030660.14,27788.6797,,0.21,execute
-1,0.21,2022-09-20,,,range,0.00,signal
,,2022-09-21,10004476.61,27440.8398,,0.00,execute
0,0.21,2022-09-21,,,range,0.21,signal
,,2022-09-22,10004476.61,27053.5801,,0.21,execute
-1,0.21,2022-09-22,,,range,0.00,signal
,,2022-09-26,9983490.18,26779.4395,,0.00,execute
0,0.20,2022-09-26,,,range,0.20,signal
,,2022-09-27,9983490.18,26585.3809,,0.20,execute
-1,0.20,2022-09-27,,,range,0.00,signal
,,2022-09-28,9971181.58,26422.8594,,0.00,execute
0,0.20,2022-09-28,,,range,0.20,signal
,,2022-09-29,9971181.58,26280.5000,,0.20,execute
-1,0.21,2022-10-04,,,range,0.00,signal
,,2022-10-05,10041852.21,27211.3203,,0.00,execute
0,0.20,2022-10-11,,,range,0.20,signal
