b20_vol_count,date,equity_before,level,price,regime,target_position,type,weighted_b20_vol
4,2017-10-11,10626502.05,,20881.2695,bull,1.00,V4_D5_STRONG_ADD,0.3582
,2017-10-12,10661806.82,,20958.1797,,1.00,execute,
5,2017-10-12,10660047.17,20898.4102,20954.7207,bull,1.00,V4_D0_BREAKOUT_WATCH,0.2755
9,2017-10-23,11037480.29,21503.8496,21696.6504,bull,1.00,V4_D0_BREAKOUT_WATCH,0.2697
11,2017-11-01,11405502.11,22086.8809,22420.0801,bull,1.00,V4_D0_BREAKOUT_WATCH,0.4809
13,2018-01-04,11958097.23,23382.1504,23506.3301,bull,1.00,V4_D0_BREAKOUT_WATCH,0.3783
2,2018-01-23,12272393.64,24084.4199,24124.1504,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0485
,2018-02-05,11538786.27,,22682.0801,bull,0.50,V4_SYSTEMIC_DOWN_REDUCE,
,2018-02-06,11327627.50,,22267.0000,,0.50,execute,
,2018-03-28,11013318.66,,21031.3105,bull,0.90,V4_D3_SUPPORT_RECLAIM_RESTORE,
,2018-03-29,11069188.73,,21250.9609,,0.90,execute,
1,2018-04-18,11494494.32,21933.9902,22158.1992,bull,0.90,V4_D0_BREAKOUT_WATCH,0.1666
5,2018-04-27,11639664.95,22381.6602,22467.8691,bull,0.90,V4_D0_BREAKOUT_WATCH,0.2999
5,2018-05-09,11612011.75,,22408.8809,bull,1.00,V4_D5_STRONG_ADD,0.2999
,2018-05-10,11646528.35,,22482.5098,,1.00,execute,
3,2018-05-11,11789488.40,22568.1895,22758.4805,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0773
1,2018-05-21,11915829.11,22954.1895,23002.3691,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0251
,2018-06-22,11664307.17,,22516.8301,range,0.75,V4_REGIME_CAP_REDUCE,
,2018-06-25,11678154.25,,22543.5605,,0.75,execute,
5,2018-09-14,11892271.06,23032.1699,23094.6699,range,0.75,V4_D0_BREAKOUT_WATCH,0.2157
4,2018-09-26,12257137.28,23971.4102,24033.7891,bull,0.76,V4_D0_BREAKOUT_WATCH,0.0751
,2018-10-15,11572375.99,,22271.3008,range,0.40,V4_BROAD_BREAKDOWN_REDUCE,
,2018-10-16,11582826.56,,22298.1992,,0.40,execute,
,2018-12-19,11310576.10,,20987.9199,bear,0.20,V4_BEAR_BREAKDOWN_REDUCE,
,2018-12-20,11267359.79,,20779.9297,,0.20,execute,
5,2019-02-13,11306893.36,20981.2305,21144.4805,bear,0.20,V4_D0_BREAKOUT_WATCH,0.4022
,2019-02-20,11338018.03,,21431.4902,bear,0.00,V4_D5_FALLBACK_TRIM,
,2019-02-21,11337022.55,,21422.3105,,0.00,execute,
1,2019-04-05,11337022.55,21787.5996,21807.5000,range,0.00,V4_D0_BREAKOUT_WATCH,0.0157
5,2019-04-15,11337022.55,21900.5508,22169.1094,range,0.00,V4_D0_BREAKOUT_WATCH,0.2968
,2019-04-18,11337022.55,,22090.1191,range,0.30,V4_D3_TRIAL,
,2019-04-19,11337022.55,,22238.0703,,0.30,execute,
5,2019-04-22,11333937.74,,22217.9004,range,0.75,V4_D5_STRONG_ADD,0.2968
,2019-04-23,11337583.83,,22241.7402,,0.75,execute,
,2019-05-09,11016594.72,,21402.1309,range,0.40,V4_BROAD_BREAKDOWN_REDUCE,
,2019-05-10,11027941.49,,21431.8105,,0.40,execute,
1,2019-06-20,11034332.08,21358.7207,21462.8594,range,0.40,V4_D0_BREAKOUT_WATCH,0.0157
,2019-06-27,11008668.03,,21338.1699,range,0.25,V4_D5_FALLBACK_TRIM,
,2019-06-28,10997152.35,,21282.2207,,0.25,execute,
8,2019-07-01,11054993.76,21497.8203,21729.9707,range,0.25,V4_D0_BREAKOUT_WATCH,0.1590
,2019-07-04,11051438.47,,21702.4492,range,0.30,V4_D3_TRIAL,
,2019-07-05,11051588.34,,21703.6094,,0.30,execute,
8,2019-07-08,11025731.96,,21534.3496,range,0.75,V4_D5_STRONG_ADD,0.1590
,2019-07-09,11035478.26,,21598.1504,,0.75,execute,
15,2019-09-05,10839194.35,20782.0605,21085.9395,range,0.75,V4_D0_BREAKOUT_WATCH,0.5266
11,2019-09-13,11184982.97,21825.9199,21988.2891,range,0.75,V4_D0_BREAKOUT_WATCH,0.1867
7,2019-10-16,11370697.95,22255.5605,22472.9199,range,0.76,V4_D0_BREAKOUT_WATCH,0.2811
7,2019-10-24,11477107.34,,22750.5996,bull,1.00,V4_D5_STRONG_ADD,0.2811
,2019-10-25,11478119.25,,22753.2402,,1.00,execute,
3,2019-10-25,11501612.15,22780.9902,22799.8105,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0541
7,2019-11-05,11729719.11,23008.4297,23251.9902,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1545
14,2019-12-13,12118713.61,23608.0605,24023.0996,bull,1.00,V4_D0_BREAKOUT_WATCH,0.5927
14,2019-12-20,12014558.21,,23816.6309,bull,1.00,V4_D5_STRONG_ADD,0.5927
,2019-12-23,12067354.18,,23921.2891,,1.00,execute,
,2020-02-25,11403544.76,,22605.4102,bull,0.50,V4_SYSTEMIC_DOWN_REDUCE,
,2020-02-26,11286878.34,,22374.1406,,0.50,execute,
,2020-03-30,10457249.58,,19084.9707,bear,0.35,V4_REGIME_CAP_REDUCE,
,2020-03-31,10481698.20,,19181.9004,,0.35,execute,
2,2020-04-17,10618512.77,19705.9902,19897.2598,bear,0.36,V4_D0_BREAKOUT_WATCH,0.2389
,2020-04-24,10497017.49,,19262.0000,bear,0.00,V4_D5_FALLBACK_TRIM,
,2020-04-27,10525483.54,,19410.8398,,0.00,execute,
0,2020-05-25,10525483.54,20734.9102,20741.6504,range,0.00,V4_D0_BREAKOUT_WATCH,0.0000
,2020-05-28,10525483.54,,21916.3105,range,0.30,V4_D3_TRIAL,
,2020-05-29,10525483.54,,21807.6309,,0.30,execute,
0,2020-06-01,10562371.59,,22062.3906,range,0.55,V4_D5_NORMAL_ADD,0.0000
,2020-06-02,10578752.13,,22175.5195,,0.55,execute,
0,2020-06-02,10618132.04,22161.3906,22325.6094,range,0.55,V4_D0_BREAKOUT_WATCH,0.0000
1,2020-07-13,10738596.74,22742.2793,22784.7402,range,0.56,V4_D0_BREAKOUT_WATCH,0.0164
,2020-07-20,10720949.42,,22717.4805,range,0.33,V4_D5_FALLBACK_TRIM,
,2020-07-21,10739814.32,,22789.3809,,0.33,execute,
3,2020-08-13,10812164.45,23185.8496,23249.6094,bull,0.34,V4_D0_BREAKOUT_WATCH,0.0408
2,2020-09-03,10846108.09,23431.0391,23465.5293,bull,0.34,V4_D0_BREAKOUT_WATCH,0.1836
5,2020-10-08,10874647.20,23622.7402,23647.0703,bull,0.34,V4_D0_BREAKOUT_WATCH,0.3375
7,2020-11-05,10946679.85,23801.8809,24105.2793,range,0.35,V4_D0_BREAKOUT_WATCH,0.2752
7,2020-11-12,11169219.18,,25520.8809,range,0.75,V4_D5_STRONG_ADD,0.2752
,2020-11-13,11151102.86,,25405.6406,,0.75,execute,
5,2020-11-16,11316123.08,25587.9609,25906.9297,range,0.75,V4_D0_BREAKOUT_WATCH,0.4622
8,2020-11-25,11444484.71,26261.7793,26296.8594,bull,0.76,V4_D0_BREAKOUT_WATCH,0.1502
8,2020-12-02,11610437.22,,26800.9805,bull,1.00,V4_D5_STRONG_ADD,0.1502
,2020-12-03,11590461.96,,26740.3008,,1.00,execute,
1,2020-12-29,11949289.62,26905.6699,27568.1504,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1515
9,2021-01-08,12196734.49,27624.7305,28139.0293,bull,1.00,V4_D0_BREAKOUT_WATCH,0.4376
7,2021-02-08,12738311.89,28979.5293,29388.5000,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1823
,2021-05-12,12200410.31,,28147.5098,bull,0.70,V4_BROAD_BREAKDOWN_REDUCE,
,2021-05-13,12105702.48,,27929.0098,,0.70,execute,
0,2021-06-15,12564549.45,29241.1992,29441.3008,bull,0.71,V4_D0_BREAKOUT_WATCH,0.0000
,2021-06-21,12130557.95,,28010.9297,bull,0.50,V4_SYSTEMIC_DOWN_REDUCE,
,2021-06-22,12282913.35,,28513.0703,,0.50,execute,
4,2021-09-01,12269548.18,28279.8008,28451.0195,range,0.50,V4_D0_BREAKOUT_WATCH,0.0751
4,2021-09-08,12642215.71,,30181.2109,range,0.55,V4_D5_NORMAL_ADD,0.0751
,2021-09-09,12594398.92,,29959.2109,,0.55,execute,
12,2021-09-10,12692115.66,30241.8691,30381.8398,range,0.55,V4_D0_BREAKOUT_WATCH,0.4680
12,2021-09-17,12719447.41,,30500.0508,range,0.75,V4_D5_STRONG_ADD,0.4680
,2021-09-21,12608743.08,,30021.2500,,0.75,execute,
,2021-10-05,11916026.85,,27822.1191,range,0.20,V4_SYSTEMIC_DOWN_REDUCE,
,2021-10-06,11982740.06,,28033.9102,,0.20,execute,
6,2021-11-01,12120645.87,29489.1094,29647.0801,range,0.21,V4_D0_BREAKOUT_WATCH,0.1918
,2021-11-05,12117610.23,,29611.5703,range,0.30,V4_D3_TRIAL,
,2021-11-08,12128200.33,,29735.4492,,0.30,execute,
3,2022-01-04,12075137.22,29121.0098,29301.7891,range,0.30,V4_D0_BREAKOUT_WATCH,0.0452
,2022-01-12,12009535.94,,28765.6602,range,0.25,V4_D5_FALLBACK_TRIM,
,2022-01-13,11996389.54,,28658.2207,,0.25,execute,
,2022-01-27,11736027.45,,26170.3008,bear,0.20,V4_BEAR_BREAKDOWN_REDUCE,
,2022-01-28,11763189.37,,26429.8496,,0.20,execute,
6,2022-03-22,11833889.95,27216.1602,27224.1094,bear,0.20,V4_D0_BREAKOUT_WATCH,0.1081
6,2022-03-29,11925424.42,,28252.4199,bear,0.35,V4_D5_STRONG_ADD,0.1081
,2022-03-30,11925280.29,,28250.8008,,0.35,execute,
,2022-05-12,11555616.36,,25748.7207,bear,0.20,V4_BEAR_BREAKDOWN_REDUCE,
,2022-05-13,11580744.44,,25918.8008,,0.20,execute,
9,2022-05-30,11710375.15,27072.5898,27369.4297,bear,0.21,V4_D0_BREAKOUT_WATCH,0.1542
9,2022-06-06,11759207.84,,27915.8906,bear,0.35,V4_D5_STRONG_ADD,0.1542
,2022-06-07,11765364.73,,27984.7891,,0.35,execute,
,2022-06-17,11467864.54,,25963.0000,bear,0.20,V4_BEAR_BREAKDOWN_REDUCE,
,2022-06-20,11496355.01,,26156.6191,,0.20,execute,
2,2022-08-05,11673855.13,28015.6797,28175.8691,range,0.21,V4_D0_BREAKOUT_WATCH,0.1802
4,2022-08-17,11765881.84,28928.1602,29222.7695,range,0.22,V4_D0_BREAKOUT_WATCH,0.1931
2,2022-10-26,11608451.99,27399.1895,27431.8398,range,0.21,V4_D0_BREAKOUT_WATCH,0.1075
3,2022-11-08,11647153.44,27692.5508,27872.1094,range,0.21,V4_D0_BREAKOUT_WATCH,0.1133
3,2022-11-24,11692070.66,28329.5391,28383.0898,range,0.21,V4_D0_BREAKOUT_WATCH,0.0398
0,2023-01-23,11562232.01,26816.6797,26906.0391,range,0.20,V4_D0_BREAKOUT_WATCH,0.0000
,2023-01-26,11602378.72,,27362.7500,range,0.30,V4_D3_TRIAL,
,2023-01-27,11608150.51,,27428.4102,,0.30,execute,
0,2023-01-30,11608784.09,,27433.4004,range,0.55,V4_D5_NORMAL_ADD,0.0000
,2023-01-31,11611978.55,,27458.5605,,0.55,execute,
2,2023-02-06,11666658.11,27612.5703,27693.6504,range,0.55,V4_D0_BREAKOUT_WATCH,0.0346
,2023-02-13,11604712.38,,27427.3203,range,0.33,V4_D5_FALLBACK_TRIM,
,2023-02-14,11669383.77,,27705.3691,,0.33,execute,
5,2023-03-03,11700238.88,27821.2207,27927.4707,range,0.33,V4_D0_BREAKOUT_WATCH,0.2267
5,2023-03-10,11730315.79,,28143.9707,range,0.75,V4_D5_STRONG_ADD,0.2267
,2023-03-13,11694506.93,,27886.2109,,0.75,execute,
5,2023-04-14,11885504.65,28287.4199,28493.4707,bull,0.75,V4_D0_BREAKOUT_WATCH,0.2092
5,2023-04-21,11907803.90,,28564.3691,bull,1.00,V4_D5_STRONG_ADD,0.2092
,2023-04-24,11929006.01,,28631.7793,,1.00,execute,
9,2023-04-28,12022607.33,28806.6895,28856.4395,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1715
7,2023-05-12,12244199.46,29278.8008,29388.3008,bull,1.00,V4_D0_BREAKOUT_WATCH,0.2300
4,2023-05-22,12951862.42,30924.5703,31086.8203,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0765
6,2023-06-05,13422914.04,31560.4297,32217.4297,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1162
9,2023-06-13,13756729.94,32708.5293,33018.6484,bull,1.00,V4_D0_BREAKOUT_WATCH,0.3840
1,2023-09-01,13628394.11,32692.7598,32710.6191,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0201
4,2023-09-15,13971064.32,33322.4492,33533.0898,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0963
,2023-10-04,12718571.96,,30526.8809,bull,0.70,V4_BROAD_BREAKDOWN_REDUCE,
,2023-10-05,12804719.41,,30733.6504,,0.70,execute,
6,2023-11-06,13380667.97,32533.0801,32708.4805,bull,0.71,V4_D0_BREAKOUT_WATCH,0.1399
6,2023-11-15,13617255.55,32913.3086,33519.6992,bull,0.72,V4_D0_BREAKOUT_WATCH,0.5121
6,2023-11-22,13597461.31,,33451.8281,bull,1.00,V4_D5_STRONG_ADD,0.5121
,2023-11-24,13685019.63,,33752.0508,,1.00,execute,
3,2024-01-10,13964650.63,33990.2812,34441.7188,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0542
2,2024-01-22,14818231.95,36239.2188,36546.9492,bull,1.00,V4_D0_BREAKOUT_WATCH,0.2810
7,2024-02-13,15392773.05,37287.2617,37963.9688,bull,1.00,V4_D0_BREAKOUT_WATCH,0.4374
3,2024-02-22,15852850.02,38865.0586,39098.6797,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1803
3,2024-03-04,16262585.34,39990.2305,40109.2305,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1572
4,2024-03-21,16549012.50,40472.1094,40815.6602,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0541
,2024-04-19,15029638.41,,37068.3516,bull,0.70,V4_BROAD_BREAKDOWN_REDUCE,
,2024-04-22,15099611.49,,37240.9297,,0.70,execute,
1,2024-05-20,15618647.68,38949.3789,39069.6797,bull,0.71,V4_D0_BREAKOUT_WATCH,0.0201
5,2024-06-26,15788199.20,39336.6602,39667.0703,bull,0.71,V4_D0_BREAKOUT_WATCH,0.2442
5,2024-07-03,16047523.28,,40580.7617,bull,1.00,V4_D5_STRONG_ADD,0.2442
,2024-07-04,16094872.47,,40747.5898,,1.00,execute,
2,2024-07-04,16160463.88,40694.2109,40913.6484,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1139
,2024-07-25,14958061.66,,37869.5117,bull,0.50,V4_SYSTEMIC_DOWN_REDUCE,
,2024-07-26,14927789.42,,37792.8711,,0.50,execute,
1,2024-09-02,15107114.68,38669.7891,38700.8711,bull,0.51,V4_D0_BREAKOUT_WATCH,0.0251
7,2024-09-27,15330024.57,39080.6406,39829.5586,range,0.51,V4_D0_BREAKOUT_WATCH,0.3896
,2024-10-04,15094228.14,,38635.6211,range,0.30,V4_D5_FALLBACK_TRIM,
,2024-10-07,15213574.39,,39239.9219,,0.30,execute,
2,2024-10-15,15292436.66,39829.5586,39910.5508,range,0.31,V4_D0_BREAKOUT_WATCH,0.1139
,2024-10-22,15116210.74,,38411.9609,range,0.25,V4_D5_FALLBACK_TRIM,
,2024-10-23,15114484.49,,38397.2812,,0.25,execute,
1,2024-12-12,15257359.88,39632.3008,39849.1406,bull,0.26,V4_D0_BREAKOUT_WATCH,0.0164
2,2024-12-27,15299874.30,40257.3398,40281.1602,bull,0.26,V4_D0_BREAKOUT_WATCH,0.0319
,2025-03-31,14840935.99,,35617.5586,bear,0.20,V4_BEAR_BREAKDOWN_REDUCE,
,2025-04-01,14874752.40,,35961.1914,,0.20,execute,
5,2025-05-02,14946683.26,36544.1484,36830.6914,bear,0.20,V4_D0_BREAKOUT_WATCH,0.2579
5,2025-05-13,15058576.93,,38183.2617,bear,0.35,V4_D5_STRONG_ADD,0.2579
,2025-05-14,15059881.50,,38199.0312,,0.35,execute,
4,2025-06-17,15106480.58,38529.6406,38536.7383,range,0.35,V4_D0_BREAKOUT_WATCH,0.2817
,2025-06-24,15141504.41,,38790.5586,range,0.25,V4_D5_FALLBACK_TRIM,
,2025-06-25,15157182.61,,38904.1797,,0.25,execute,
3,2025-06-26,15223453.91,38990.1094,39584.5781,range,0.25,V4_D0_BREAKOUT_WATCH,0.2155
,2025-07-01,15262584.66,,39986.3281,range,0.30,V4_D3_TRIAL,
,2025-07-02,15227992.18,,39631.1719,,0.30,execute,
3,2025-07-03,15245827.95,,39785.8984,range,0.75,V4_D5_STRONG_ADD,0.2155
,2025-07-04,15269890.25,,39994.6406,,0.75,execute,
10,2025-07-23,15606831.08,40852.5391,41171.3203,bull,0.76,V4_D0_BREAKOUT_WATCH,0.1947
8,2025-08-12,16049770.18,42065.8281,42718.1719,bull,0.76,V4_D0_BREAKOUT_WATCH,0.2084
8,2025-08-19,16286900.55,,43546.2891,bull,1.00,V4_D5_STRONG_ADD,0.2084
,2025-08-20,16245199.89,,43400.6602,,1.00,execute,
2,2025-09-11,16608966.99,44185.7305,44372.5000,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1025
10,2025-10-06,17946091.95,45852.7500,47944.7617,bull,1.00,V4_D0_BREAKOUT_WATCH,0.5219
1,2025-10-20,18410509.80,48597.0781,49185.5000,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0874
5,2025-10-29,19204846.23,50549.6016,51307.6484,bull,1.00,V4_D0_BREAKOUT_WATCH,0.3079
2,2026-01-05,19401414.78,51127.6914,51832.8008,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1327
5,2026-01-14,20340339.25,53814.7891,54341.2305,bull,1.00,V4_D0_BREAKOUT_WATCH,0.1998
1,2026-02-03,20482362.69,54487.3203,54720.6602,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0195
3,2026-02-25,21928111.43,58015.0781,58583.1211,bull,1.00,V4_D0_BREAKOUT_WATCH,0.0711
,2026-03-09,19736763.75,,52728.7188,bull,0.50,V4_SYSTEMIC_DOWN_REDUCE,
,2026-03-10,20034477.24,,53524.0898,,0.50,execute,
3,2026-04-08,20555575.66,55745.3789,56308.4219,bull,0.51,V4_D0_BREAKOUT_WATCH,0.1803
,2026-04-13,20591948.57,,56502.7695,bull,0.60,V4_D3_TRIAL,
,2026-04-14,20701036.59,,57085.6484,,0.60,execute,
3,2026-04-15,20929187.42,,58134.2383,bull,0.90,V4_D5_NORMAL_ADD,0.1803
,2026-04-16,21004380.41,,58479.8281,,0.90,execute,
4,2026-04-16,21340085.33,59332.4297,59518.3398,bull,0.90,V4_D0_BREAKOUT_WATCH,0.2512
