symbol,source,trade_date,open,high,low,close,adj_close,volume
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-14,36606.78125,37154.390625,36594.0390625,37053.1015625,37053.1015625,134800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-17,37453.828125,37563.26953125,37377.55078125,37396.51953125,37396.51953125,120300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-18,37868.5703125,38004.19921875,37822.87109375,37845.421875,37845.421875,133500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-19,37839.390625,38128.578125,37751.87890625,37751.87890625,37751.87890625,116800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-21,37619.37109375,37968.01953125,37619.37109375,37677.05859375,37677.05859375,181800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-24,37841.6796875,37841.6796875,37608.48828125,37608.48828125,37608.48828125,101600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-25,37953.1484375,38115.6484375,37686.26171875,37780.5390625,37780.5390625,107300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-26,38106.66015625,38220.69140625,37873.28125,38027.2890625,38027.2890625,117100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-27,37750.66015625,37859.05859375,37556.75,37799.96875,37799.96875,140000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-28,37357.51953125,37359.94921875,36864.9296875,37120.328125,37120.328125,133200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-03-31,36440.1796875,36440.1796875,35541.71875,35617.55859375,35617.55859375,168400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-01,35961.19140625,36052.5390625,35537.859375,35624.48046875,35624.48046875,123600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-02,35751.01953125,35778.8984375,35426.328125,35725.87109375,35725.87109375,128700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-03,35041.671875,35044.73046875,34102.0,34735.9296875,34735.9296875,195800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-04,34304.66015625,34320.109375,33259.76171875,33780.578125,33780.578125,227600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-07,33154.96875,33158.87109375,30792.740234375,31136.580078125,31136.580078125,266700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-08,31729.109375,33257.16015625,31703.689453125,33012.578125,33012.578125,191900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-09,32529.23046875,32565.83984375,31258.1796875,31714.029296875,31714.029296875,199300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-10,32321.2109375,34639.390625,32320.66015625,34609.0,34609.0,201600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-11,33951.25,33953.2890625,32626.580078125,33585.578125,33585.578125,182600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-14,34006.37109375,34325.58984375,33887.69921875,33982.359375,33982.359375,118800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-15,34349.01171875,34459.0,34266.30859375,34267.5390625,34267.5390625,113800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-16,34249.8203125,34329.26953125,33658.46875,33920.3984375,33920.3984375,115600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-17,33987.01171875,34379.12890625,33931.53125,34377.6015625,34377.6015625,111200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-18,34353.87890625,34758.96875,34224.5703125,34730.28125,34730.28125,102000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-21,34556.23046875,34610.6015625,34216.98046875,34279.921875,34279.921875,96400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-22,34111.140625,34340.5703125,34109.8515625,34220.6015625,34220.6015625,99400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-23,34787.9296875,35142.12109375,34682.28125,34868.62890625,34868.62890625,133400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-24,35194.7109375,35287.94921875,34960.6484375,35039.1484375,35039.1484375,137100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-25,35387.671875,35835.28125,35337.98046875,35705.73828125,35705.73828125,134700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-28,35962.80078125,36075.26171875,35773.48828125,35839.98828125,35839.98828125,132400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-04-30,35946.87890625,36056.51953125,35793.328125,36045.37890625,36045.37890625,167100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-01,36197.0390625,36544.1484375,36040.05078125,36452.30078125,36452.30078125,131600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-02,36636.55078125,36976.51171875,36606.578125,36830.69140625,36830.69140625,141000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-07,36903.66015625,36942.37890625,36731.390625,36779.66015625,36779.66015625,156300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-08,36863.37890625,36977.3515625,36606.7109375,36928.62890625,36928.62890625,137300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-09,37332.5703125,37557.41015625,37219.03125,37503.328125,37503.328125,201400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-12,37697.28125,37726.44140625,37417.390625,37644.26171875,37644.26171875,142900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-13,38149.53125,38494.05859375,38124.19921875,38183.26171875,38183.26171875,177400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-14,38199.03125,38325.87890625,37851.80078125,38128.12890625,38128.12890625,152100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-15,37832.359375,37876.83984375,37633.359375,37755.51171875,37755.51171875,134800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-16,37748.578125,37786.4296875,37479.2109375,37753.71875,37753.71875,128100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-19,37572.359375,37656.23046875,37445.9296875,37498.62890625,37498.62890625,107600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-20,37723.6015625,37921.80859375,37455.69921875,37529.48828125,37529.48828125,125800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-21,37590.1484375,37659.94140625,37298.98046875,37298.98046875,37298.98046875,121300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-22,36931.890625,37100.44921875,36855.828125,36985.87109375,36985.87109375,110900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-23,37161.73828125,37373.91015625,37111.62890625,37160.46875,37160.46875,105300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-26,37209.26171875,37531.53125,37167.01171875,37531.53125,37531.53125,89900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-27,37523.37109375,37769.05078125,37411.6796875,37724.109375,37724.109375,86200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-28,38094.7890625,38178.73046875,37709.7109375,37722.3984375,37722.3984375,122600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-29,38046.96875,38454.0703125,38035.3203125,38432.98046875,38432.98046875,133200000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-05-30,37912.48828125,38114.46875,37748.171875,37965.1015625,37965.1015625,204300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-02,37651.1796875,37651.1796875,37320.71875,37470.671875,37470.671875,109600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-03,37598.30859375,37729.44921875,37446.80859375,37446.80859375,37446.80859375,109300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-04,37686.66015625,37868.421875,37672.46875,37747.44921875,37747.44921875,106700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-05,37590.390625,37732.87890625,37527.87890625,37554.48828125,37554.48828125,113800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-06,37590.44140625,37756.1484375,37590.421875,37741.609375,37741.609375,98100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-09,38028.7109375,38178.01171875,38018.21875,38088.5703125,38088.5703125,85700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-10,38278.171875,38495.69921875,38139.1015625,38211.51171875,38211.51171875,106000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-11,38431.1015625,38529.640625,38288.28125,38421.19140625,38421.19140625,109300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-12,38324.9296875,38407.5703125,38102.05078125,38173.08984375,38173.08984375,104500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-13,38130.25,38141.58984375,37540.19921875,37834.25,37834.25,143500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-16,38056.859375,38342.51953125,38055.51953125,38311.328125,38311.328125,104700000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-17,38366.6796875,38581.25,38333.3515625,38536.73828125,38536.73828125,103600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-18,38364.16015625,38885.1484375,38364.16015625,38885.1484375,38885.1484375,110000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-19,38858.51953125,38870.55078125,38488.33984375,38488.33984375,38488.33984375,89300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-20,38472.25,38646.16015625,38362.5390625,38403.23046875,38403.23046875,183900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-23,38260.69140625,38368.21875,38026.3203125,38354.08984375,38354.08984375,95800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-24,38779.1796875,38990.109375,38665.609375,38790.55859375,38790.55859375,100800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-25,38904.1796875,38944.76953125,38711.109375,38942.0703125,38942.0703125,102900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-26,39072.140625,39615.58984375,39056.140625,39584.578125,39584.578125,123600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-27,39866.359375,40267.83984375,39847.30859375,40150.7890625,40150.7890625,156100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-06-30,40550.7890625,40852.5390625,40322.5390625,40487.390625,40487.390625,143900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-01,40340.640625,40345.87109375,39885.37890625,39986.328125,39986.328125,124000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-02,39631.171875,39943.62109375,39444.69921875,39762.48046875,39762.48046875,127600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-03,39796.75,39865.890625,39667.8203125,39785.8984375,39785.8984375,135400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-04,39994.640625,40012.66015625,39693.3984375,39810.87890625,39810.87890625,96600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-07,39729.55859375,39829.37890625,39524.25,39587.6796875,39587.6796875,93400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-08,39542.0703125,39816.26953125,39510.48046875,39688.80859375,39688.80859375,136600000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-09,39942.80078125,39971.05859375,39573.33984375,39821.28125,39821.28125,129000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-10,39795.75,39795.75,39530.94921875,39646.359375,39646.359375,129300000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-11,39886.5390625,39957.80078125,39497.69921875,39569.6796875,39569.6796875,115900000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-14,39416.1015625,39608.01953125,39288.8984375,39459.62109375,39459.62109375,91500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-15,39525.828125,39678.01953125,39379.3203125,39678.01953125,39678.01953125,98800000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-16,39734.73828125,39923.609375,39520.9609375,39663.3984375,39663.3984375,96400000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-17,39492.01953125,39910.9609375,39370.4296875,39901.19140625,39901.19140625,101500000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-18,40072.390625,40087.58984375,39745.421875,39819.109375,39819.109375,92000000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-22,39864.62890625,40275.890625,39586.53125,39774.921875,39774.921875,112100000
NK225_VOL.PROXY,existing_yfinance_n225_volume_proxy_20241001_20260401,2025-07-23,40189.1796875,41342.58984375,40087.859375,41171.3203125,41171.3203125,221100000
