symbol,policy_name,rebound_check_day,hold_days,signal_date,entry_date,trigger_date,exit_date,entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_calendar_days
518800.SH,fail_to_rebound_d5_hold_10d,5,10,2025-06-27,2025-06-30,,2025-07-14,7.230000019073486,7.335999965667725,time_exit,0.014661126737842256,1385082.577378684,1405389.4485880102,14
518800.SH,fail_to_rebound_d5_hold_10d,5,10,2025-10-28,2025-10-29,,2025-11-12,8.562000274658203,8.954999923706055,time_exit,0.04590044807765903,1405389.4485880102,1469897.454001814,14
518800.SH,fail_to_rebound_d5_hold_10d,5,10,2026-02-02,2026-02-03,,2026-02-25,10.232000350952148,10.82699966430664,time_exit,0.05815083003775734,1469897.454001814,1555373.2110224057,22
518800.SH,fail_to_rebound_d5_hold_10d,5,10,2026-03-17,2026-03-18,2026-03-24,2026-03-25,10.508000373840332,9.60200023651123,fail_to_rebound_d5,-0.08622003284131863,1555373.2110224057,1421268.8816875466,7
518800.SH,fail_to_rebound_d5_hold_10d,5,10,2026-03-25,2026-03-26,,2026-04-10,9.517999649047852,9.857000350952148,time_exit,0.035616801261198816,1421268.8816875466,1471889.9329853381,15
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-01-08,2021-01-11,,2021-02-01,3.690000057220459,3.74399995803833,time_exit,0.01463411923590785,1000000.0,1014634.1192359078,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-02-04,2021-02-05,2021-02-18,2021-02-19,3.641999959945679,3.586999893188477,fail_to_rebound_d5,-0.01510161102748131,1014634.1192359078,999311.509431996,14
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,3.624000072479248,3.5420000553131104,fail_to_rebound_d5,-0.022626935851587815,999311.509431996,976700.1520123249,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-03-01,2021-03-02,2021-03-08,2021-03-09,3.500999927520752,3.486999988555908,fail_to_rebound_d5,-0.003998840118445202,976700.1520123249,972794.4842607665,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-03-30,2021-03-31,,2021-04-22,3.470000028610229,3.651000022888184,time_exit,0.05216138120622649,972794.4842607665,1023536.7881896069,22
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-06-17,2021-06-18,2021-06-24,2021-06-25,3.5999999046325684,3.58899998664856,fail_to_rebound_d5,-0.003055532854279619,1023536.7881896069,1020409.3379057297,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-08-06,2021-08-09,,2021-08-30,3.526000022888184,3.6679999828338623,time_exit,0.04027225156662495,1020409.3379057297,1061503.5194628024,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-09-16,2021-09-17,,2021-10-19,3.555999994277954,3.5450000762939453,time_exit,-0.0030933402704468316,1061503.5194628024,1058219.927878827,32
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2021-11-23,2021-11-24,,2021-12-15,3.565999984741211,3.549999952316284,time_exit,-0.004486829078348409,1058219.927878827,1053471.8759351326,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-01-28,2022-02-07,,2022-02-28,3.5789999961853027,3.750999927520752,time_exit,0.04805809765822189,1053471.8759351326,1104099.7302290134,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-03-16,2022-03-17,,2022-04-11,3.7820000648498535,3.838000059127808,time_exit,0.014806978666769943,1104099.7302290134,1120448.1113805007,25
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-04-25,2022-04-26,,2022-05-20,3.848999977111816,3.825999975204468,time_exit,-0.005975578603304221,1120448.1113805007,1113752.7856200228,24
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-06-14,2022-06-15,,2022-07-06,3.8010001182556152,3.697999954223633,time_exit,-0.027098174382391815,1113752.7856200228,1083572.1184164167,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-07-06,2022-07-07,2022-07-13,2022-07-14,3.634999990463257,3.61299991607666,fail_to_rebound_d5,-0.006052290080967193,1083572.1184164167,1077014.0256321125,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-07-15,2022-07-18,,2022-08-08,3.595000028610229,3.733000040054321,time_exit,0.03838665100023397,1077014.0256321125,1118356.9871564095,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-08-22,2022-08-23,,2022-09-14,3.7160000801086426,3.7279999256134033,time_exit,0.0032292371491040583,1118356.9871564095,1121968.427085295,22
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-09-15,2022-09-16,,2022-10-14,3.688999891281128,3.7699999809265137,time_exit,0.02195719491259074,1121968.427085295,1146603.7065245798,28
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-10-14,2022-10-17,2022-10-21,2022-10-24,3.759999990463257,3.775000095367432,fail_to_rebound_d5,0.003989389612292893,1146603.7065245798,1151177.9554408055,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2022-11-03,2022-11-04,,2022-11-25,3.763000011444092,3.9040000438690186,time_exit,0.03747011214353324,1151177.9554408055,1194312.7225283359,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2023-02-03,2023-02-06,2023-02-10,2023-02-13,3.990000009536743,3.950000047683716,fail_to_rebound_d5,-0.010025053072035384,1194312.7225283359,1182339.6741003823,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2023-02-15,2023-02-16,,2023-03-09,3.950999975204468,3.983000040054321,time_exit,0.008099231852866984,1182339.6741003823,1191915.7172497644,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2023-05-18,2023-05-19,,2023-06-09,4.277999877929688,4.309999942779541,time_exit,0.007480146274650767,1191915.7172497644,1200831.421161848,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2023-09-27,2023-09-28,2023-10-12,2023-10-13,4.418000221252441,4.328999996185303,fail_to_rebound_d5,-0.020144911862840176,1200831.421161848,1176640.7780204134,15
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2023-11-10,2023-11-13,,2023-12-04,4.46999979019165,4.699999809265137,time_exit,0.05145414538456272,1176640.7780204134,1237183.8236780807,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2024-06-13,2024-06-14,,2024-07-05,5.189000129699707,5.308000087738037,time_exit,0.02293311911040874,1237183.8236780807,1265556.307667961,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2024-11-06,2024-11-07,2024-11-13,2024-11-14,5.800000190734863,5.689000129699707,fail_to_rebound_d5,-0.019137940928428243,1265556.307667961,1241336.165810212,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2024-11-14,2024-11-15,,2024-12-06,5.638000011444092,5.798999786376953,time_exit,0.02855618563427842,1241336.165810212,1276783.9917956318,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2024-12-19,2024-12-20,,2025-01-13,5.804999828338623,6.0320000648498535,time_exit,0.039104262398608425,1276783.9917956318,1326711.688037151,24
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2025-02-28,2025-03-03,,2025-03-24,6.368000030517578,6.693999767303467,time_exit,0.0511934257574731,1326711.688037151,1394630.6043402527,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2025-04-07,2025-04-08,,2025-04-29,6.7829999923706055,7.465000152587891,time_exit,0.10054550508394322,1394630.6043402527,1534854.4428591684,21
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2025-05-12,2025-05-13,2025-05-19,2025-05-20,7.197999954223633,7.135000228881836,fail_to_rebound_d5,-0.008752393128987124,1534854.4428591684,1521420.7933794924,7
518800.SH,fail_to_rebound_d5_hold_15d,5,15,2025-06-27,2025-06-30,,2025-07-21,7.230000019073486,7.327000141143799,time_exit,0.013416337733667572,1521420.7933794924,1541832.688578496,21
