etf_code,strategy,signal_date,etf_execute_date,execution_date_shift_days,signal_adjustment,signal_base_position,signal_regime,old_position_ratio_open,target_position,new_position_ratio_open,action,execution_reason,etf_open,etf_close,etf_nav,premium_open_proxy_pct,premium_close_pct,cash_before,equity_before_open,trade_gross_value,trade_fee,trade_shares,shares_after,cash_after,equity_after_open
513520,next_open_no_cost,2022-04-28,2022-04-29,1,0.0,0.34,bear,0.08072526532957951,0.34,0.34,buy,buy_to_target,1.02400004863739,1.031000018119812,1.0181,0.5795156308211258,1.2670678832935822,638816.1543384856,967903.2641492207,250952.86199892312,0.0,245071.14265556875,321374.1154100946,638816.1543384856,967903.2641492207
513520,next_open_no_cost,2022-05-13,2022-05-16,3,0.0,0.2,bear,0.3456488694239122,0.2,0.19999999999999998,sell,sell_to_target,1.0499999523162842,1.0410000085830688,1.0447,0.5073181120210712,-0.3541678392774083,781007.1681558184,976258.9601947729,142191.01381733277,0.0,-135420.01930920238,185954.09610089223,781007.1681558184,976258.9601947729
513520,next_open_no_cost,2022-06-07,2022-06-08,1,0.0,0.35,bear,0.20152091116876872,0.35,0.35,buy,buy_to_target,1.059999942779541,1.0579999685287476,1.0557,0.4073072633836272,0.2178619426681294,635777.0245985505,978118.4993823854,145230.14355726782,0.0,137009.57678964027,322963.6728905325,635777.0245985505,978118.4993823854
513520,next_open_no_cost,2022-06-10,2022-06-13,3,-1.0,0.35,bear,0.3410797350953271,0.1,0.10000000000000003,sell,sell_to_target,1.0190000534057615,1.0190000534057615,1.0062,1.2721182076884885,1.2721182076885107,868389.3220699116,964877.0245221241,232612.2974713611,0.0,-228275.0591561901,94688.61373434242,868389.3220699116,964877.0245221241
513520,next_open_no_cost,2022-06-13,2022-06-14,1,0.0,0.34,bear,0.09920439482630072,0.34,0.34,buy,buy_to_target,1.0099999904632568,1.0080000162124634,0.9945,1.5585711878588926,1.3574676935609098,636256.3818854606,964024.8210385765,232132.9401844512,0.0,229834.5964122027,324523.2101465451,636256.3818854605,964024.8210385765
513520,next_open_no_cost,2022-06-15,2022-06-16,1,-1.0,0.34,bear,0.34155158456582685,0.09,0.09000000000000001,sell,sell_to_target,1.0169999599456787,1.0019999742507937,0.9855,3.1963429675980315,1.6742744039364157,879329.7909814053,966296.4736059399,243073.40909594484,0.0,-239010.24451262335,85512.96563392173,879329.7909814053,966296.4736059399
513520,next_open_no_cost,2022-06-16,2022-06-17,1,1.0,0.34,bear,0.08806314376901823,0.35,0.35000000000000003,buy,buy_to_target,0.9929999709129332,0.99099999666214,0.9688,2.497932588040186,2.2914942879995737,626758.7061895693,964244.1633685683,252571.08479183592,0.0,254351.5530616078,339864.51869552955,626758.7061895693,964244.1633685683
513520,next_open_no_cost,2022-06-17,2022-06-20,3,-1.0,0.33,bear,0.3481619974208982,0.08,0.08000000000000006,sell,sell_to_target,0.9850000143051147,0.9890000224113464,0.9517,3.499003289388969,3.919304656020439,884603.2410091495,961525.2619664669,257844.53481958015,0.0,-261771.09753798431,78093.42115754524,884603.2410091495,961525.2619664669
513520,next_open_no_cost,2022-06-20,2022-06-21,1,1.0,0.2,bear,0.08059737510639148,0.35,0.35000000000000003,buy,buy_to_target,0.9929999709129332,0.9929999709129332,0.9721,2.1499815772999975,2.14998157730002,625397.5038656042,962150.0059470834,259205.7371435453,0.0,261032.9755651852,339126.3967227304,625397.5038656042,962150.0059470834
513520,next_open_no_cost,2022-06-21,2022-06-22,1,-1.0,0.2,bear,0.35000000000000003,0.0,0.0,sell,sell_to_target,0.9929999709129332,0.9850000143051147,0.9638,3.0296711883101457,2.1996279627635174,962150.0059470834,962150.0059470834,336752.5020814792,0.0,-339126.3967227304,0.0,962150.0059470834,962150.0059470834
513520,next_open_no_cost,2022-06-22,2022-06-23,1,0.0,0.2,bear,0.0,0.2,0.19999999999999998,buy,buy_to_target,0.9879999756813048,0.984000027179718,0.9667,2.2033697818666376,1.7895962738924132,769720.0047576667,962150.0059470834,192430.00118941668,0.0,194767.21247560845,194767.21247560845,769720.0047576667,962150.0059470835
513520,next_open_no_cost,2022-07-04,2022-07-05,1,1.0,0.2,bear,0.1977263501565572,0.35,0.35,buy,buy_to_target,0.9739999771118164,0.9729999899864196,0.9694,0.47451796078155084,0.3713626971755257,623625.122413177,959423.2652510416,146094.88234448963,0.0,149994.74925831312,344761.96173392155,623625.122413177,959423.2652510416
