strategy,date,cash,shares_159866,shares_513520,equity,position_ratio,premium_open_159866,premium_open_513520
dual_low_premium_buy_no_deadband_3bp,2025-05-15,908329.9467318766,0.0,339204.23959314555,1398480.0907359424,0.35048775256151626,1.0485280364256777,-0.12466882731316797
dual_low_premium_buy_no_deadband_3bp,2025-05-16,908329.9467318766,0.0,339204.23959314555,1399836.890225835,0.3511172958262757,0.221480774060967,-0.35218845438820257
dual_low_premium_buy_no_deadband_3bp,2025-05-19,908329.9467318766,0.0,339204.23959314555,1396105.6309741857,0.349383079202929,0.39825798063637396,0.457884988457935
dual_low_premium_buy_no_deadband_3bp,2025-05-20,908329.9467318766,0.0,339204.23959314555,1400176.1103164563,0.3512745003722544,0.6754935808094498,-0.03446758471451483
dual_low_premium_buy_no_deadband_3bp,2025-05-21,908329.9467318766,0.0,339204.23959314555,1399158.4904808886,0.3508026768149154,0.6475540358749088,0.06211080558387039
dual_low_premium_buy_no_deadband_3bp,2025-05-22,908329.9467318766,0.0,339204.23959314555,1396784.0711554284,0.34969909416242095,0.32603837303302186,0.00695206623382294
dual_low_premium_buy_no_deadband_3bp,2025-05-23,908329.9467318766,0.0,339204.23959314555,1397462.4709003747,0.3500147834763345,0.5555523766411552,0.33978411364543604
dual_low_premium_buy_no_deadband_3bp,2025-05-26,908329.9467318766,0.0,339204.23959314555,1404924.9489673765,0.3534672813665232,-0.45661795629213797,-0.6364181253329715
dual_low_premium_buy_no_deadband_3bp,2025-05-27,908329.9467318766,0.0,339204.23959314555,1406281.7888935655,0.35409108337630363,-0.4619167546584202,-0.07502671177948006
dual_low_premium_buy_no_deadband_3bp,2025-05-28,908329.9467318766,0.0,339204.23959314555,1401872.12989697,0.35205934452906634,1.1071478702064486,1.002468836238779
dual_low_premium_buy_no_deadband_3bp,2025-05-29,908329.9467318766,0.0,339204.23959314555,1406620.9685478904,0.35424683191693,-0.2536735493196107,-0.17728169585711218
dual_low_premium_buy_no_deadband_3bp,2025-05-30,908329.9467318766,0.0,339204.23959314555,1405603.3487123228,0.35377932361643827,-0.46359161801386994,-0.5983129998799464
dual_low_premium_buy_no_deadband_3bp,2025-06-03,908329.9467318766,0.0,339204.23959314555,1403568.149477484,0.3528422919328663,0.42949621783938685,0.4660060923350473
dual_low_premium_buy_no_deadband_3bp,2025-06-04,908329.9467318766,0.0,339204.23959314555,1402550.5296419163,0.3523727469813288,0.2648205269897286,0.35694758359183787
dual_low_premium_buy_no_deadband_3bp,2025-06-05,908329.9467318766,0.0,339204.23959314555,1402211.309551295,0.3522160743215368,0.018235125913834693,0.23325779827967352
dual_low_premium_buy_no_deadband_3bp,2025-06-06,908329.9467318766,0.0,339204.23959314555,1402550.5296419163,0.3523727469813288,-0.1551536113728158,0.15789053455970148
dual_low_premium_buy_no_deadband_3bp,2025-06-09,908329.9467318766,0.0,339204.23959314555,1405603.3487123228,0.35377932361643827,-0.14577659156509437,-0.3068522060848289
dual_low_premium_buy_no_deadband_3bp,2025-06-10,908329.9467318766,0.0,339204.23959314555,1405942.568802944,0.3539352411064327,0.21786241316674726,0.027235590370966456
dual_low_premium_buy_no_deadband_3bp,2025-06-11,908329.9467318766,0.0,339204.23959314555,1406620.9685478904,0.35424683191693,-0.1630731932731,-0.21736300229669991
dual_low_premium_buy_no_deadband_3bp,2025-06-12,908329.9467318766,0.0,339204.23959314555,1407299.3682928365,0.35455812231781825,0.054430771289259994,-0.2646021704166168
dual_low_premium_buy_no_deadband_3bp,2025-06-13,908329.9467318766,0.0,339204.23959314555,1403568.149477484,0.3528422919328663,-0.3646258560222382,-0.2597763592472657
dual_low_premium_buy_no_deadband_3bp,2025-06-16,908329.9467318766,0.0,339204.23959314555,1409334.6079639718,0.3554902138931246,-0.6334796750167904,-0.8935833571243279
dual_low_premium_buy_no_deadband_3bp,2025-06-17,908329.9467318766,0.0,339204.23959314555,1408316.9881284041,0.35502450486022324,-0.37864956063050625,-0.10813430503562316
dual_low_premium_buy_no_deadband_3bp,2025-06-18,908329.9467318766,0.0,339204.23959314555,1414422.6667055134,0.35780868893485196,-0.5470390480608711,-0.7320810784677945
dual_low_premium_buy_no_deadband_3bp,2025-06-19,908329.9467318766,0.0,339204.23959314555,1407977.8084740792,0.35486913127111347,0.19859309488308163,0.23720585180919684
dual_low_premium_buy_no_deadband_3bp,2025-06-20,908329.9467318766,0.0,339204.23959314555,1405942.568802944,0.3539352411064327,0.4810740967849503,0.5860672865346972
dual_low_premium_buy_no_deadband_3bp,2025-06-23,908329.9467318766,0.0,339204.23959314555,1401193.6897157275,0.35174561989630604,-0.5853290289220769,0.5590459773716416
dual_low_premium_buy_no_deadband_3bp,2025-06-24,908329.9467318766,0.0,339204.23959314555,1411709.027289432,0.3565742449944336,0.2896488101304495,-0.6282539937187415
dual_low_premium_buy_no_deadband_3bp,2025-06-25,908329.9467318766,0.0,339204.23959314555,1412387.4270343783,0.3568832960803698,-0.5816606867233287,-0.4032262550887289
dual_low_premium_buy_no_deadband_3bp,2025-06-26,1417661.8604388009,0.0,0.0,1417661.8604388009,0.0,-0.6616632792199817,-0.903874496879753
