holding_days,sample_count,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,ret_5d_bucket,ma20_gap_bucket,resonance_regime,failure_risk_share
3,3,1.0,0.0035315940221080457,0.001409403501624551,-0.0017628859498015625,0.011946126164495233,0.0011771980073693486,0.34464669377393387,ret5_extreme,ma20_gap_deep,usd_up_oil_up,0.3333333333333333
5,3,1.0,0.0028587193753727056,0.002640363761312603,-0.0017628859498015625,0.012096448774295757,0.0005717438750745411,0.15473849467031453,ret5_extreme,ma20_gap_deep,usd_up_oil_up,0.3333333333333333
10,3,1.0,0.007460282825426656,0.00831492220650154,-0.007296994328258366,0.014203458990708592,0.0007460282825426656,0.20599063413834773,ret5_extreme,ma20_gap_deep,usd_up_oil_up,0.3333333333333333
15,3,1.0,0.02074651420123641,0.020563250254288734,-0.007296994328258366,0.026395213144452628,0.001383100946749094,0.41195485952526,ret5_extreme,ma20_gap_deep,usd_up_oil_up,0.3333333333333333
20,3,1.0,0.029610031853814018,0.023078186658962663,-0.007296994328258366,0.03865508824156527,0.001480501592690701,0.4443646276545343,ret5_extreme,ma20_gap_deep,usd_up_oil_up,0.3333333333333333
30,3,0.6666666666666666,0.006034646832844455,0.02187390105409337,-0.018418792912836657,0.041748909955103754,0.0002011548944281485,0.051837563127569375,ret5_extreme,ma20_gap_deep,usd_up_oil_up,0.3333333333333333
3,1,1.0,0.06908816418876573,0.06908816418876573,0.004913089065870402,0.07308641873181387,0.023029388062921912,272.61242050420685,ret5_extreme,ma20_gap_moderate,usd_down_oil_down,0.0
5,1,1.0,0.08589435022056047,0.08589435022056047,0.004913089065870402,0.09612711228210213,0.017178870044112095,62.634656916090954,ret5_extreme,ma20_gap_moderate,usd_down_oil_down,0.0
10,1,1.0,0.1523057610419798,0.1523057610419798,0.004913089065870402,0.18103887777871996,0.01523057610419798,34.604662722116956,ret5_extreme,ma20_gap_moderate,usd_down_oil_down,0.0
15,1,1.0,0.1245213952901616,0.1245213952901616,0.004913089065870402,0.18103887777871996,0.00830142635267744,6.182204106930282,ret5_extreme,ma20_gap_moderate,usd_down_oil_down,0.0
20,1,1.0,0.15589734893214846,0.15589734893214846,0.004913089065870402,0.18103887777871996,0.007794867446607423,5.205585628828132,ret5_extreme,ma20_gap_moderate,usd_down_oil_down,0.0
30,1,1.0,0.11147629673595416,0.11147629673595416,0.004913089065870402,0.18103887777871996,0.0037158765578651385,1.42975075287015,ret5_extreme,ma20_gap_moderate,usd_down_oil_down,0.0
3,1,1.0,0.006935869801994565,0.006935869801994565,-0.004516384915210114,0.006935869801994565,0.002311956600664855,0.7871137589202606,ret5_extreme,ma20_gap_moderate,usd_up_oil_down,1.0
5,1,1.0,0.01483949417906616,0.01483949417906616,-0.004516384915210114,0.021398960285701873,0.002967898835813232,1.1010043561864111,ret5_extreme,ma20_gap_moderate,usd_up_oil_down,1.0
10,1,1.0,0.012742594150640718,0.012742594150640718,-0.004516384915210114,0.031238225078383586,0.001274259415064072,0.3758678279130534,ret5_extreme,ma20_gap_moderate,usd_up_oil_down,1.0
15,1,1.0,0.0222592740849632,0.0222592740849632,-0.004516384915210114,0.03720627467257298,0.0014839516056642133,0.44752407311547926,ret5_extreme,ma20_gap_moderate,usd_up_oil_down,1.0
20,1,1.0,0.03478678978578853,0.03478678978578853,-0.004516384915210114,0.03720627467257298,0.0017393394892894266,0.5385833749072895,ret5_extreme,ma20_gap_moderate,usd_up_oil_down,1.0
30,1,1.0,0.018656890540558413,0.018656890540558413,-0.004516384915210114,0.03720627467257298,0.0006218963513519471,0.16797780201873103,ret5_extreme,ma20_gap_moderate,usd_up_oil_down,1.0
3,1,1.0,0.05168196913872358,0.05168196913872358,0.011206015075716502,0.0994483927122769,0.017227323046241194,67.91154075642993,ret5_extreme,ma20_gap_moderate,usd_up_oil_up,1.0
5,1,1.0,0.09267710164277987,0.09267710164277987,0.007030827474310497,0.0994483927122769,0.018535420328555974,86.0941203924812,ret5_extreme,ma20_gap_moderate,usd_up_oil_up,1.0
10,1,1.0,0.056333131929421354,0.056333131929421354,0.007030827474310497,0.10574360296106011,0.005633313192942135,2.9790804691916994,ret5_extreme,ma20_gap_moderate,usd_up_oil_up,1.0
15,1,1.0,0.11537042827203892,0.11537042827203892,0.007030827474310497,0.12744188159140069,0.007691361884802595,5.260965562225778,ret5_extreme,ma20_gap_moderate,usd_up_oil_up,1.0
20,1,1.0,0.1048999247904272,0.1048999247904272,0.007030827474310497,0.16928069226608988,0.00524499623952136,2.5145448882584693,ret5_extreme,ma20_gap_moderate,usd_up_oil_up,1.0
30,1,1.0,0.08188209843158467,0.08188209843158467,0.007030827474310497,0.16928069226608988,0.0027294032810528225,0.9369189655552004,ret5_extreme,ma20_gap_moderate,usd_up_oil_up,1.0
3,10,0.7,0.005149456650932094,0.007174413354275488,-0.009418974680696034,0.012696255113126598,0.001716485550310698,0.5394796309561929,ret5_moderate,ma20_gap_deep,usd_up_oil_down,0.7
5,10,0.8,0.01701986838637983,0.019491234888333264,-0.011153969422282573,0.022881759857190452,0.0034039736772759665,1.341012009404511,ret5_moderate,ma20_gap_deep,usd_up_oil_down,0.7
10,10,0.9,0.026061171322443132,0.023594432983042313,-0.012385179061462493,0.039119667106822575,0.0026061171322443134,0.9123438318024915,ret5_moderate,ma20_gap_deep,usd_up_oil_down,0.7
15,10,1.0,0.03311241314573545,0.02014490319952389,-0.012385179061462493,0.047173129909305736,0.0022074942097156966,0.7285396252517877,ret5_moderate,ma20_gap_deep,usd_up_oil_down,0.7
20,10,0.8,0.03378887274792434,0.03311728510323653,-0.012385179061462493,0.052936382284681116,0.0016894436373962169,0.5199921729296222,ret5_moderate,ma20_gap_deep,usd_up_oil_down,0.7
30,10,1.0,0.030388666424457235,0.019753528223490302,-0.012669694196763703,0.056866791651678336,0.0010129555474819077,0.28590538202937843,ret5_moderate,ma20_gap_deep,usd_up_oil_down,0.7
3,7,0.5714285714285714,-2.9764381283627272e-05,0.00016884915249004706,-0.004000402740396021,0.009497502246389964,-9.921460427875758e-06,-0.0024971222273210136,ret5_moderate,ma20_gap_deep,usd_up_oil_up,0.7142857142857143
5,7,0.42857142857142855,-0.0012914938573807147,-0.001234747548488624,-0.008836944104424482,0.009497502246389964,-0.00025829877147614296,-0.06305749479918998,ret5_moderate,ma20_gap_deep,usd_up_oil_up,0.7142857142857143
10,7,0.7142857142857143,0.005223223456069673,0.00970651758057639,-0.013004253466925273,0.018710687136039596,0.0005223223456069673,0.14029006090062301,ret5_moderate,ma20_gap_deep,usd_up_oil_up,0.7142857142857143
15,7,0.7142857142857143,0.009363142396523487,0.01809590451128429,-0.019104885423448854,0.025994478997448285,0.0006242094931015658,0.169491386772036,ret5_moderate,ma20_gap_deep,usd_up_oil_up,0.7142857142857143
20,7,0.7142857142857143,0.01294941192543513,0.014974933769486887,-0.019104885423448854,0.03432231029141202,0.0006474705962717565,0.17599569986658703,ret5_moderate,ma20_gap_deep,usd_up_oil_up,0.7142857142857143
30,7,0.8571428571428571,0.016463451454267326,0.01588277358978929,-0.02398919188827702,0.03835404108025675,0.0005487817151422442,0.14701962116930023,ret5_moderate,ma20_gap_deep,usd_up_oil_up,0.7142857142857143
3,3,0.3333333333333333,0.0002530694743840452,-0.00612344848220403,-0.004098184973265677,0.010151990769089458,8.43564914613484e-05,0.021482646059383326,ret5_moderate,ma20_gap_moderate,usd_down_oil_down,0.3333333333333333
5,3,0.6666666666666666,0.007791361799198075,0.0011429639842759354,-0.004098184973265677,0.013466894061871773,0.001558272359839615,0.47869916767183884,ret5_moderate,ma20_gap_moderate,usd_down_oil_down,0.3333333333333333
10,3,1.0,0.021184971483195758,0.020546230062678417,-0.004098184973265677,0.030158992695999382,0.002118497148319576,0.6960211057351073,ret5_moderate,ma20_gap_moderate,usd_down_oil_down,0.3333333333333333
15,3,1.0,0.02428607470092999,0.023889155179881882,-0.004098184973265677,0.032662185927577525,0.001619071646728666,0.49650202992208037,ret5_moderate,ma20_gap_moderate,usd_down_oil_down,0.3333333333333333
20,3,1.0,0.03507585707379124,0.041011046741235235,-0.004098184973265677,0.04131010961932454,0.0017537928536895619,0.5440076715619095,ret5_moderate,ma20_gap_moderate,usd_down_oil_down,0.3333333333333333
30,3,1.0,0.01575683966981319,0.015839240341565697,-0.005344827391189577,0.049305278285611896,0.000525227988993773,0.14033891447038638,ret5_moderate,ma20_gap_moderate,usd_down_oil_down,0.3333333333333333
3,2,1.0,0.01686692362923936,0.01686692362923936,0.002219338466132814,0.029265301281186207,0.00562230787641312,3.075549383884253,ret5_moderate,ma20_gap_moderate,usd_down_oil_up,0.5
5,2,0.5,0.002408841473185208,0.002408841473185208,-0.01613857047043399,0.030249648869165036,0.00048176829463704164,0.12891796537245304,ret5_moderate,ma20_gap_moderate,usd_down_oil_up,0.5
10,2,0.5,-0.0011145356440839804,-0.0011145356440839804,-0.025655421438658177,0.032218380457936124,-0.00011145356440839805,-0.02771077428233293,ret5_moderate,ma20_gap_moderate,usd_down_oil_up,0.5
15,2,0.5,0.012873680786638309,0.012873680786638309,-0.028837099701248037,0.04188310583613786,0.0008582453857758872,0.23973484880028617,ret5_moderate,ma20_gap_moderate,usd_down_oil_up,0.5
20,2,0.5,0.023812622721700705,0.023812622721700705,-0.028837099701248037,0.04632769026762096,0.0011906311360850353,0.3451726989948809,ret5_moderate,ma20_gap_moderate,usd_down_oil_up,0.5
30,2,0.5,0.027931361852274517,0.027931361852274517,-0.028837099701248037,0.05283050898351582,0.0009310453950758172,0.26037151148984794,ret5_moderate,ma20_gap_moderate,usd_down_oil_up,0.5
3,20,0.5,0.0028260278839336017,0.0002804210139532026,-0.01063301952976673,0.0105646170135901,0.0009420092946445339,0.26750644674487756,ret5_moderate,ma20_gap_moderate,usd_up_oil_down,0.65
5,20,0.6,0.005251435657384557,0.008909244836740826,-0.013531554569036496,0.015163201847257524,0.0010502871314769114,0.30210192700217786,ret5_moderate,ma20_gap_moderate,usd_up_oil_down,0.65
10,20,0.75,0.013675561916756585,0.01688174809594245,-0.015952540310808665,0.02675881780224309,0.0013675561916756584,0.408167145235371,ret5_moderate,ma20_gap_moderate,usd_up_oil_down,0.65
15,20,0.85,0.016188825187752366,0.01601071254564368,-0.017959547635821804,0.03416149051690209,0.0010792550125168245,0.3096949951479464,ret5_moderate,ma20_gap_moderate,usd_up_oil_down,0.65
