trade_date,selected_flag,premium_proxy,premium_filter,symbol
2025-10-30,1,-0.005320882698369722,no_filter,159812.SZ
2025-10-31,1,0.010986471768582584,no_filter,159812.SZ
2026-02-02,1,-0.0005285458246403474,no_filter,159812.SZ
2026-03-17,1,-0.005460253911609536,no_filter,159812.SZ
2026-03-18,1,0.015887706707942373,no_filter,159812.SZ
2026-03-19,1,0.02749395629547169,no_filter,159812.SZ
2026-03-20,1,0.013554080759619946,no_filter,159812.SZ
2026-03-23,1,-0.049987577520061444,no_filter,159812.SZ
2026-03-24,1,-0.011539707395781917,no_filter,159812.SZ
2026-03-25,1,-0.0062143447594215084,no_filter,159812.SZ
2026-03-26,1,0.0115787129877154,no_filter,159812.SZ
2021-01-08,1,,light_filter,159812.SZ
2021-01-11,1,,light_filter,159812.SZ
2021-01-12,1,,light_filter,159812.SZ
