symbol,policy_name,sample_count,years_covered,events_per_year,win_rate,avg_return,median_return,avg_hold_calendar_days,terminal_capital,total_return,max_drawdown,cagr,strategy_name,premium_filter
518860.SH,fail_to_rebound_d3_hold_20d,34,6,5.666666666666667,0.6764705882352942,0.014007565977551347,0.011052587962067206,22.294117647058822,1566364.1847641766,0.5663641847641767,-0.12672963831045014,0.08878121698880403,fail_to_rebound_d3_hold_20d,no_filter
518680.SH,fail_to_rebound_d3_hold_20d,38,6,6.333333333333333,0.5263157894736842,0.012523323211059414,0.005465116621455324,20.605263157894736,1558902.5268792391,0.5589025268792391,-0.14076448896323568,0.08779622731734538,fail_to_rebound_d3_hold_20d,no_filter
518680.SH,fail_to_rebound_d5_hold_20d,36,6,6.0,0.5555555555555556,0.012979870170016568,0.00416562547361965,20.833333333333332,1553462.2192246332,0.5534622192246332,-0.1884129869615322,0.08698156048946504,fail_to_rebound_d5_hold_20d,no_filter
159812.SZ,fail_to_rebound_d5_hold_20d,32,6,5.333333333333333,0.5625,0.014593827500459292,0.011729206797735259,23.0,1552421.9616348613,0.5524219616348613,-0.18836116807344572,0.08684370048756196,fail_to_rebound_d5_hold_20d,no_filter
159812.SZ,hold_15d_baseline,30,6,5.0,0.7666666666666667,0.01482150351069053,0.014549802163846492,22.833333333333332,1532311.7587599803,0.5323117587599804,-0.18806537582679594,0.08485058441002358,hold_15d_baseline,no_filter
518660.SH,fail_to_rebound_d5_hold_20d,35,6,5.833333333333333,0.5714285714285714,0.012762719566496225,0.005293496303002909,21.82857142857143,1519838.268431764,0.5198382684317642,-0.18748548313621982,0.08248715953651353,fail_to_rebound_d5_hold_20d,no_filter
518600.SH,hold_15d_baseline,30,6,5.0,0.7,0.014015631313061772,0.016683944912902593,22.833333333333332,1495322.7195279344,0.4953227195279344,-0.18814682578083386,0.07980365468078832,hold_15d_baseline,no_filter
518660.SH,fail_to_rebound_d3_hold_20d,37,6,6.166666666666667,0.5945945945945946,0.011752933149635419,0.00667440361057392,20.405405405405407,1494816.417780997,0.49481641778099705,-0.14080690842269705,0.0791752198966531,fail_to_rebound_d3_hold_20d,no_filter
518860.SH,hold_15d_baseline,29,6,4.833333333333333,0.7241379310344828,0.01433588430257547,0.016470578555555004,22.93103448275862,1489632.1138467768,0.48963211384677674,-0.18844817270322267,0.07901826291114289,hold_15d_baseline,no_filter
518850.SH,hold_15d_baseline,29,6,4.833333333333333,0.7241379310344828,0.014187286908515635,0.014908571674223436,22.93103448275862,1482131.2074534802,0.48213120745348026,-0.18991128250318268,0.07797930402316133,hold_15d_baseline,no_filter
518800.SH,fail_to_rebound_d3_hold_20d,20,6,3.3333333333333335,0.6,0.020017927178683392,0.013594535245321837,23.15,1452426.6382538048,0.4524266382538047,-0.1396310891916298,0.07330678733610752,fail_to_rebound_d3_hold_20d,light_filter
518680.SH,hold_15d_baseline,30,6,5.0,0.6666666666666666,0.012365521595734442,0.01421992712003961,22.833333333333332,1423208.9144927107,0.4232089144927107,-0.1894702239106325,0.06966643424078645,hold_15d_baseline,no_filter
518890.SH,hold_15d_baseline,30,6,5.0,0.6666666666666666,0.012307413277950171,0.010322536098704371,22.833333333333332,1420758.693215783,0.42075869321578296,-0.19438923876843495,0.06931476367266831,hold_15d_baseline,no_filter
518850.SH,fail_to_rebound_d3_hold_20d,23,6,3.8333333333333335,0.5652173913043478,0.015716063048100803,0.011599350075123915,19.73913043478261,1404140.0553882709,0.4041400553882708,-0.14390912829082103,0.0664504055532591,fail_to_rebound_d3_hold_20d,light_filter
518800.SH,fail_to_rebound_d5_hold_20d,19,6,3.1666666666666665,0.5789473684210527,0.018828373020331315,0.009833809036751351,22.05263157894737,1403422.7579231076,0.40342275792310756,-0.18854812557435707,0.06627610286750807,fail_to_rebound_d5_hold_20d,light_filter
518660.SH,hold_15d_baseline,30,6,5.0,0.6666666666666666,0.011824645749649516,0.01243425998738501,22.833333333333332,1399310.0662087856,0.3993100662087856,-0.18917667240287017,0.06621519096964623,hold_15d_baseline,no_filter
159812.SZ,fail_to_rebound_d3_hold_20d,20,6,3.3333333333333335,0.6,0.01734406535023315,0.012891052191766117,22.0,1384334.2579497087,0.38433425794970866,-0.13954085251645332,0.06358274594959057,fail_to_rebound_d3_hold_20d,light_filter
518680.SH,fail_to_rebound_d3_hold_20d,23,6,3.8333333333333335,0.5217391304347826,0.014703224543713967,0.014607193231936932,19.695652173913043,1372594.3908001778,0.37259439080017787,-0.1407644889632358,0.0618672109578402,fail_to_rebound_d3_hold_20d,light_filter
518880.SH,fail_to_rebound_d3_hold_20d,20,6,3.3333333333333335,0.6,0.016661991099669583,0.014084912439572328,23.15,1367763.5398971825,0.3677635398971826,-0.13864793317521107,0.06115782856945606,fail_to_rebound_d3_hold_20d,light_filter
518600.SH,fail_to_rebound_d3_hold_20d,22,6,3.6666666666666665,0.5454545454545454,0.014872050002025839,0.010662645543776827,20.363636363636363,1357710.8100532063,0.35771081005320626,-0.13488260411960007,0.05967510981517732,fail_to_rebound_d3_hold_20d,light_filter
159937.SZ,fail_to_rebound_d3_hold_20d,20,6,3.3333333333333335,0.6,0.016288753615179452,0.01359649672282559,23.15,1357651.0049716718,0.3576510049716719,-0.1399913707791749,0.059666262330756226,fail_to_rebound_d3_hold_20d,light_filter
518880.SH,fail_to_rebound_d5_hold_20d,19,6,3.1666666666666665,0.6842105263157895,0.016850432099544486,0.02351315018609501,22.05263157894737,1355557.2913660477,0.35555729136604763,-0.18830639919295022,0.05929299138041477,fail_to_rebound_d5_hold_20d,light_filter
159934.SZ,fail_to_rebound_d3_hold_20d,20,6,3.3333333333333335,0.6,0.015849946306076675,0.013163191273483421,23.15,1346225.3454151002,0.3462253454151003,-0.13810670348279763,0.05797014126342015,fail_to_rebound_d3_hold_20d,light_filter
518850.SH,fail_to_rebound_d5_hold_20d,19,6,3.1666666666666665,0.5789473684210527,0.015690331033622357,0.011599350075123915,21.0,1326777.3627233084,0.3267773627233084,-0.18823167840912602,0.05499747411115985,fail_to_rebound_d5_hold_20d,light_filter
159934.SZ,fail_to_rebound_d5_hold_20d,19,6,3.1666666666666665,0.631578947368421,0.015588536662679372,0.018916006472651015,22.05263157894737,1324132.3291784711,0.324132329178471,-0.1860670851023255,0.05459891406506512,fail_to_rebound_d5_hold_20d,light_filter
518660.SH,fail_to_rebound_d3_hold_20d,21,6,3.5,0.6190476190476191,0.014328665472181125,0.014705885848609768,21.095238095238095,1322292.6164448338,0.32229261644483387,-0.14080690842269716,0.054379206021790916,fail_to_rebound_d3_hold_20d,light_filter
518600.SH,fail_to_rebound_d5_hold_20d,20,6,3.3333333333333335,0.55,0.014004640489259906,0.011927023079810084,19.2,1302178.6637478399,0.30217866374783986,-0.18828813028003033,0.051265731562239125,fail_to_rebound_d5_hold_20d,light_filter
159937.SZ,fail_to_rebound_d5_hold_20d,19,6,3.1666666666666665,0.5789473684210527,0.014601241906125936,0.012646048992903447,20.94736842105263,1299951.4847986994,0.2999514847986995,-0.18690916090932352,0.05092504396459496,fail_to_rebound_d5_hold_20d,light_filter
518890.SH,fail_to_rebound_d3_hold_20d,21,6,3.5,0.5714285714285714,0.01313593457035976,0.01175505274017108,22.285714285714285,1291349.1152574804,0.2913491152574803,-0.14393707890552332,0.049657436678624434,fail_to_rebound_d3_hold_20d,light_filter
