exit_rule,holding_days,exit_day,realized_return,realized_drawdown,realized_runup,trade_date
break_ma5,1,1,-0.019660835344643912,-0.04196079515784257,0.035231263804447854,2020-03-13
break_ma10,1,1,-0.019660835344643912,-0.04196079515784257,0.035231263804447854,2020-03-13
hold_10d,10,10,0.03836317074129392,-0.03534659554797592,0.10531836383676851,2020-03-17
hold_15d,15,15,0.09174373544116032,-0.03534659554797592,0.13082824893825884,2020-03-17
break_event_low,15,15,0.13653350924821295,-0.03534659554797592,0.2646730730698357,2020-03-17
break_ma5,1,1,-0.03121514502719791,-0.03121514502719791,0.011213833898722658,2020-03-17
break_ma10,1,1,-0.03121514502719791,-0.03121514502719791,0.011213833898722658,2020-03-17
hold_10d,10,10,0.06830020917131185,-0.004264569566028609,0.14093274506897258,2020-03-18
hold_15d,15,15,0.12732685938455668,-0.004264569566028609,0.16726458229115382,2020-03-18
break_event_low,15,15,0.16110471285821015,-0.004264569566028609,0.30542201059953356,2020-03-18
break_ma5,1,1,0.0008799344269339038,-0.004264569566028609,0.009679771677540083,2020-03-18
break_ma10,1,1,0.0008799344269339038,-0.004264569566028609,0.009679771677540083,2020-03-18
hold_10d,10,10,0.09948598540159237,0.003313962190565345,0.1399296820169853,2020-03-19
hold_15d,15,15,0.17421884203931226,0.003313962190565345,0.17421884203931226,2020-03-19
break_event_low,15,15,0.1498714859144017,0.003313962190565345,0.3042743350755006,2020-03-19
break_ma5,1,1,0.003652119912907814,0.003313962190565345,0.003652119912907814,2020-03-19
break_ma10,1,1,0.003652119912907814,0.003313962190565345,0.003652119912907814,2020-03-19
hold_10d,10,10,0.04158219500809457,-0.00017893256565415516,0.04444577148920392,2020-06-05
hold_15d,15,15,0.05745140892099365,-0.00017893256565415516,0.06377522224560739,2020-06-05
break_event_low,15,15,0.05470712056996252,0.014318100779889598,0.15051906465677645,2020-06-05
break_ma5,1,1,0.14055608202554293,0.14055608202554293,0.15051906465677645,2020-06-05
break_ma10,1,1,0.14055608202554293,0.14055608202554293,0.15051906465677645,2020-06-05
hold_10d,10,10,0.01720886154591139,-0.004550723412482638,0.03896851035528859,2020-08-25
hold_15d,15,15,0.025316403968823842,-0.004550723412482638,0.03896851035528859,2020-08-25
break_event_low,3,3,-0.02829798956291829,-0.03154098090178792,-0.018987366827600938,2020-08-25
break_ma5,1,1,-0.027147203422208332,-0.027147203422208332,-0.018987366827600938,2020-08-25
break_ma10,1,1,-0.027147203422208332,-0.027147203422208332,-0.018987366827600938,2020-08-25
hold_10d,10,10,0.0011838851776584391,-0.012233663685218499,0.01093691611778147,2021-06-17
hold_15d,15,15,0.020408135176110065,-0.012233663685218499,0.025200107081633227,2021-06-17
break_event_low,5,5,-0.007779934856379178,-0.008681939567145136,0.014826883779403666,2021-06-17
break_ma5,1,1,-0.003326206260972242,-0.003326206260972242,0.010485948054947514,2021-06-17
break_ma10,1,1,-0.003326206260972242,-0.003326206260972242,0.010485948054947514,2021-06-17
hold_10d,10,10,0.00831492220650154,-0.008937184574880908,0.014310722556948763,2021-06-18
hold_15d,15,15,0.02126815717331043,-0.008937184574880908,0.02862151416209624,2021-06-18
break_event_low,4,4,-0.004468592287440454,-0.0053736072644781085,0.018213672233309497,2021-06-18
break_ma5,1,1,0.007862449456407683,-0.0006221932229607541,0.009785579697399127,2021-06-18
break_ma10,1,1,0.007862449456407683,-0.0006221932229607541,0.009785579697399127,2021-06-18
hold_10d,10,10,0.006566365950865238,-0.016668578083001484,0.01571444563514035,2021-06-21
hold_15d,15,15,0.015489939852729062,-0.016668578083001484,0.020597120982240646,2021-06-21
break_event_low,3,3,-0.012234845791177729,-0.013132800643660847,0.010270471809623372,2021-06-21
break_ma5,1,1,-0.003086766010441111,-0.003311272121698128,0.002862260092106883,2021-06-21
break_ma10,1,1,-0.003086766010441111,-0.003311272121698128,0.002862260092106883,2021-06-21
hold_10d,10,10,0.01418676489284576,-0.013623865662872103,0.018859426380188893,2021-06-22
hold_15d,15,15,0.027022461679076626,-0.013623865662872103,0.029668383563150158,2021-06-22
break_event_low,2,2,-0.009176405100522644,-0.010077140311927635,0.013398596249308392,2021-06-22
break_ma5,2,2,-0.009176405100522644,-0.010077140311927635,0.013398596249308392,2021-06-22
break_ma10,1,1,0.0033778078066446504,0.002420721192183617,0.009514103308742472,2021-06-22
hold_10d,10,10,0.01193181818181821,-0.03829546841708098,0.019431790438565244,2021-08-06
hold_15d,15,15,0.032159077037464456,-0.03829546841708098,0.032159077037464456,2021-08-06
break_event_low,13,13,-0.05017048238636357,-0.06153411874999992,0.07988635,2021-08-06
break_ma5,1,1,-0.020795440909090912,-0.03829546818181817,-0.003522699431818266,2021-08-06
break_ma10,1,1,-0.020795440909090912,-0.03829546818181817,-0.003522699431818266,2021-08-06
hold_10d,10,10,0.046303774879510984,-0.0019148478480769393,0.04723222888530332,2021-08-09
hold_15d,15,15,0.049669243572768584,-0.0019148478480769393,0.056226078125423795,2021-08-09
break_event_low,11,11,-0.013867949446146888,-0.013867949446146888,0.10281997741422999,2021-08-09
break_ma5,1,1,0.0031333552915397966,-0.0019148476078179044,0.006846887790865175,2021-08-09
break_ma10,1,1,0.0031333552915397966,-0.0019148476078179044,0.006846887790865175,2021-08-09
hold_10d,10,10,0.044423834213720426,-0.0008676538394458699,0.044423834213720426,2021-08-10
hold_15d,15,15,0.04986114572955147,-0.0008676538394458699,0.05292688420620051,2021-08-10
break_event_low,9,9,-0.0031813973118830496,-0.0031813973118830496,0.09937524428480349,2021-08-10
break_ma5,1,1,0.01249420092654252,-0.0008676537400272855,0.01353534330805739,2021-08-10
break_ma10,1,1,0.01249420092654252,-0.0008676537400272855,0.01353534330805739,2021-08-10
hold_10d,10,10,-0.0176573775900295,-0.024391536881331777,0.017127062060380283,2022-04-27
hold_15d,15,15,-0.03711755612376566,-0.05244181724043939,0.017127062060380283,2022-04-27
break_event_low,2,2,-0.0416246881583513,-0.0416246881583513,-0.018028527479671652,2022-04-27
break_ma5,1,1,-0.032928561753084784,-0.03377701500049224,-0.018028527479671652,2022-04-27
break_ma10,1,1,-0.032928561753084784,-0.03377701500049224,-0.018028527479671652,2022-04-27
hold_10d,10,10,0.0021446452822337925,-0.021829044525839225,0.03802851205766933,2024-11-11
hold_15d,15,15,0.012829350730098499,-0.021829044525839225,0.03802851205766933,2024-11-11
break_event_low,2,2,-0.011642119615631885,-0.011642119615631885,0.00022981688087719832,2024-11-11
break_ma5,1,1,-0.004289197066983941,-0.00704653129440258,-0.002182885753087116,2024-11-11
break_ma10,1,1,-0.004289197066983941,-0.00704653129440258,-0.002182885753087116,2024-11-11
hold_10d,10,10,0.0078077110877403655,-0.01761540339543266,0.04249999999999998,2024-11-12
hold_15d,15,15,0.02069232647235575,-0.01761540339543266,0.04249999999999998,2024-11-12
break_event_low,2,2,-0.012230788076923016,-0.017615403461538448,0.004538480384615351,2024-11-12
break_ma5,1,1,-0.007384596538461574,-0.007384596538461574,0.004538480384615351,2024-11-12
break_ma10,1,1,-0.007384596538461574,-0.007384596538461574,0.004538480384615351,2024-11-12
hold_10d,10,10,0.02289981881489056,-0.010306919231626854,0.050255714785331085,2024-11-13
hold_15d,15,15,0.017746453797891748,-0.010306919231626854,0.050255714785331085,2024-11-13
break_event_low,11,11,0.7629416145841856,-0.01030691929822436,0.8815094982677536,2024-11-13
break_ma5,1,1,-0.004882244881329045,-0.01030691929822436,-0.001782430928817469,2024-11-13
break_ma10,1,1,-0.004882244881329045,-0.01030691929822436,-0.001782430928817469,2024-11-13
hold_10d,10,10,0.034576766029298156,-0.0009734444542992549,0.055408477351303276,2024-11-14
hold_15d,15,15,0.02741225287082938,-0.0009734444542992549,0.055408477351303276,2024-11-14
break_event_low,10,10,0.7715909553397182,-0.0009734445212236098,0.8907405565459527,2024-11-14
break_ma5,1,1,-0.0009734445212236098,-0.0009734445212236098,-0.0009734445212236098,2024-11-14
break_ma10,1,1,-0.0009734445212236098,-0.0009734445212236098,-0.0009734445212236098,2024-11-14
hold_10d,10,10,0.026971178426482778,0.009237226340925053,0.056436859953942875,2024-11-15
hold_15d,15,15,0.038663894087290096,0.009237226340925053,0.056436859953942875,2024-11-15
break_event_low,9,9,0.7733171811153887,0.1496667603913444,0.8925828808556235,2024-11-15
break_ma5,1,1,0.15029041008945865,0.1496667603913444,0.1890712503644696,2024-11-15
break_ma10,1,1,0.15029041008945865,0.1496667603913444,0.1890712503644696,2024-11-15
hold_10d,10,10,0.1523057610419798,0.004913089065870402,0.18103887777871996,2025-04-07
hold_15d,15,15,0.1245213952901616,0.004913089065870402,0.18103887777871996,2025-04-07
break_event_low,8,8,0.5416256326789248,0.07542433825400541,0.6453087536552224,2025-04-07
