symbol,signal_date,entry_date,exit_date,entry_layers,layer_entry_dates,layer_entry_prices,layer_weights,total_weight,weighted_entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_calendar_days,hold_trading_days,repair_days,repair_date,ret_5d,close_vs_ma20
518800.SH,2018-11-12,2018-11-13,2018-12-11,1,2018-11-13,2.6760,0.50,0.5,2.6760001182556152,2.746000051498413,time_exit,0.013079209669173752,1161270.6224596044,1176459.1244134055,28,21,3.0,2018-11-15,-0.0231744989985629,-0.0186860237717689
518800.SH,2019-03-01,2019-03-04,2019-04-01,1,2019-03-04,2.7790,0.50,0.5,2.7790000438690186,2.7660000324249268,time_exit,-0.00233897287493251,1176459.1244134055,1173707.4184329356,28,21,5.0,2019-03-08,-0.0246764429451676,-0.0158993861040442
518800.SH,2019-04-16,2019-04-17,2019-04-24,1,2019-04-17,2.7500,0.50,0.5,2.75,2.733999967575073,fail_to_rebound_d5,-0.0029090968045322185,1173707.4184329356,1170292.9899325166,7,6,4.0,2019-04-22,-0.0237054272451572,-0.0189299113864139
518800.SH,2019-09-10,2019-09-11,2019-10-17,1,2019-09-11,3.3680,0.50,0.5,3.368000030517578,3.3329999446868896,time_exit,-0.005195974690254068,1170292.9899325166,1164212.1771766455,36,21,1.0,2019-09-11,-0.0359660875269158,-0.0177526584668639
518800.SH,2019-11-07,2019-11-08,2019-12-06,1,2019-11-08,3.2370,0.50,0.5,3.236999988555908,3.2909998893737797,time_exit,0.008341041243247305,1164212.1771766455,1173922.9189623664,28,21,1.0,2019-11-08,-0.0312293717611166,-0.0175033905815117
518800.SH,2020-02-28,2020-03-02,2020-03-30,2,2020-03-02|2020-03-18,3.5180|3.3300,0.50|0.40,0.9,3.434444348017375,3.575999975204468,time_exit,0.037094811142282545,1173922.9189623664,1217469.3679368726,28,21,1.0,2020-03-02,-0.0489480732062637,-0.0193607551390274
518800.SH,2020-06-05,2020-06-08,2020-07-08,2,2020-06-08|2021-03-03,3.7380|3.5260,0.50|0.40,0.9,3.6437777413262267,3.890000104904175,time_exit,0.06081603845011063,1217469.3679368726,1291511.0318291534,30,21,1.0,2020-06-08,-0.0349473616149349,-0.0259719866157518
518800.SH,2020-08-24,2020-08-25,2020-09-22,2,2020-08-25|2020-11-24,4.0210|3.7360,0.50|0.40,0.9,3.8943333095974393,3.9660000801086426,time_exit,0.016562550848209436,1291511.0318291534,1312901.7489648473,28,21,1.0,2020-08-25,-0.0288665233391057,-0.0211739833725221
518800.SH,2020-09-22,2020-09-23,2020-10-29,2,2020-09-23|2020-11-25,3.9470|3.6960,0.50|0.40,0.9,3.835444503360324,3.880000114440918,time_exit,0.01045512454616453,1312901.7489648473,1326628.300267152,36,21,1.0,2020-09-23,-0.0294944905188503,-0.0211282913156627
518800.SH,2020-11-23,2020-11-24,2020-12-01,2,2020-11-24|2021-03-03,3.7360|3.5260,0.50|0.40,0.9,3.642666710747613,3.5999999046325684,fail_to_rebound_d5,-0.010541761998219934,1326628.300267152,1312643.3004656327,7,6,1.0,2020-11-24,-0.0262279440043123,-0.024561098242838
518800.SH,2021-01-08,2021-01-11,2021-02-08,2,2021-01-11|2021-03-03,3.6900|3.5260,0.50|0.40,0.9,3.6171111530727815,3.6659998893737793,time_exit,0.012164365652274611,1312643.3004656327,1328610.773543505,28,21,1.0,2021-01-11,-0.0311658130901083,-0.023778795512458
518800.SH,2021-02-18,2021-02-19,2021-03-19,1,2021-02-19,3.5870,0.50,0.5,3.586999893188477,3.5390000343322754,time_exit,-0.006690808514846991,1328610.773543505,1319721.2932669627,28,21,1.0,2021-02-19,-0.0365098077057631,-0.0302930782505242
518800.SH,2021-03-30,2021-03-31,2021-04-29,1,2021-03-31,3.4700,0.50,0.5,3.470000028610229,3.624000072479248,time_exit,0.022190207867332168,1319721.2932669627,1349006.183091501,29,21,2.0,2021-04-01,-0.0236562462532049,-0.0204045873767433
518800.SH,2021-06-17,2021-06-18,2021-06-25,1,2021-06-18,3.6000,0.50,0.5,3.5999999046325684,3.58899998664856,fail_to_rebound_d5,-0.0015277664271398095,1349006.183091501,1346945.2167349698,7,6,3.0,2021-06-22,-0.063562403889443,-0.0569332781480346
518800.SH,2021-08-06,2021-08-09,2021-09-06,1,2021-08-09,3.5260,0.50,0.5,3.526000022888184,3.6649999618530273,time_exit,0.01971071158005655,1346945.2167349698,1373494.4654161695,28,21,1.0,2021-08-09,-0.0290190755237841,-0.0264490539323712
518800.SH,2021-09-16,2021-09-17,2021-10-26,1,2021-09-17,3.5560,0.50,0.5,3.555999994277954,3.5829999446868896,time_exit,0.0037963934831808377,1373494.4654161695,1378708.7908538603,39,21,1.0,2021-09-17,-0.0238121999815135,-0.0241650713528496
518800.SH,2021-11-23,2021-11-24,2021-12-22,1,2021-11-24,3.5660,0.50,0.5,3.565999984741211,3.561000108718872,time_exit,-0.0007010482394466111,1378708.7908538603,1377742.2494833227,28,21,1.0,2021-11-24,-0.0378182868521986,-0.0218473213488423
518800.SH,2022-01-28,2022-02-07,2022-03-07,1,2022-02-07,3.5790,0.50,0.5,3.5789999961853027,3.888000011444092,time_exit,0.04316848499415182,1377742.2494833227,1437217.2951059525,28,21,1.0,2022-02-07,-0.0256032444392969,-0.0183498950873648
518800.SH,2022-03-16,2022-03-17,2022-04-18,2,2022-03-17|2022-07-18,3.7820|3.5950,0.50|0.40,0.9,3.6988889376322427,3.928999900817871,time_exit,0.05598974999223301,1437217.2951059525,1517686.7321434482,32,21,1.0,2022-03-17,-0.0392265589689223,-0.0153630147966244
518800.SH,2022-04-25,2022-04-26,2022-05-27,2,2022-04-26|2022-07-08,3.8490|3.6350,0.50|0.40,0.9,3.7538888719346786,3.865000009536743,time_exit,0.026639047466080125,1517686.7321434482,1558116.4610396575,31,21,1.0,2022-04-26,-0.0452368108012372,-0.0248174224714978
518800.SH,2022-06-14,2022-06-15,2022-07-13,2,2022-06-15|2022-07-18,3.8010|3.5950,0.50|0.40,0.9,3.7094445228576656,3.624000072479248,time_exit,-0.02073086815740648,1558116.4610396575,1525815.3541119597,28,21,1.0,2022-06-15,-0.0205683355886332,-0.0184218825440456
518800.SH,2022-07-15,2022-07-18,2022-08-15,1,2022-07-18,3.5950,0.50,0.5,3.595000028610229,3.76200008392334,time_exit,0.023226711263430788,1525815.3541119597,1561255.0267832277,28,21,1.0,2022-07-18,-0.0219464275006758,-0.0443229869505739
518800.SH,2022-08-22,2022-08-23,2022-09-21,1,2022-08-23,3.7160,0.50,0.5,3.7160000801086426,3.7060000896453857,time_exit,-0.0013455315187943517,1561255.0267832277,1559154.3089358148,29,21,1.0,2022-08-23,-0.0266082989583731,-0.0182868142444657
518800.SH,2022-09-26,2022-09-27,2022-11-01,1,2022-09-27,3.6980,0.50,0.5,3.697999954223633,3.763000011444092,time_exit,0.008788542188355009,1559154.3089358148,1572857.0023580529,35,21,1.0,2022-09-27,-0.0257471513629427,-0.0399077057396016
518800.SH,2022-11-03,2022-11-04,2022-12-02,1,2022-11-04,3.7630,0.50,0.5,3.763000011444092,3.930000066757202,time_exit,0.022189749509065493,1572857.0023580529,1607758.3052539576,28,21,1.0,2022-11-04,-0.0201119427505138,-0.0156516709797056
518800.SH,2023-02-03,2023-02-06,2023-02-13,1,2023-02-06,3.9900,0.50,0.5,3.990000009536743,3.950000047683716,fail_to_rebound_d5,-0.005012526536017692,1607758.3052539576,1599699.3740853693,7,6,,,-0.0340661370961151,-0.0240567318136805
518800.SH,2023-02-15,2023-02-16,2023-03-16,1,2023-02-16,3.9510,0.50,0.5,3.950999975204468,4.113999843597412,time_exit,0.020627672667159258,1599699.3740853693,1632697.4491398619,28,21,1.0,2023-02-16,-0.0230105852138092,-0.0334157421537092
518800.SH,2023-05-18,2023-05-19,2023-06-16,1,2023-05-19,4.2780,0.50,0.5,4.277999877929688,4.302999973297119,time_exit,0.0029219373633466716,1632697.4491398619,1637468.0888195445,28,21,2.0,2023-05-22,-0.0288876520486448,-0.0238438531476031
518800.SH,2023-09-27,2023-09-28,2023-10-13,1,2023-09-28,4.4180,0.50,0.5,4.418000221252441,4.328999996185303,fail_to_rebound_d5,-0.010072455931420088,1637468.0888195445,1620974.7636558032,15,6,,,-0.0380345399509547,-0.0257715706209301
518800.SH,2023-11-10,2023-11-13,2023-12-11,1,2023-11-13,4.4700,0.50,0.5,4.46999979019165,4.497000217437744,time_exit,0.0030201821603369483,1620974.7636558032,1625870.4027193526,28,21,1.0,2023-11-13,-0.0295757089701543,-0.0188652506043084
518800.SH,2024-06-13,2024-06-14,2024-07-12,1,2024-06-14,5.1890,0.50,0.5,5.189000129699707,5.395999908447266,time_exit,0.019946017881438904,1625870.4027193526,1658300.0428448953,28,21,1.0,2024-06-14,-0.0295743560782135,-0.0215849507781614
518800.SH,2024-11-06,2024-11-07,2024-11-14,1,2024-11-07,5.8000,0.50,0.5,5.800000190734863,5.689000129699707,fail_to_rebound_d5,-0.009568970464214122,1658300.0428448953,1642431.8187141074,7,6,2.0,2024-11-08,-0.0433566083355746,-0.0164496194973466
518800.SH,2024-11-14,2024-11-15,2024-12-13,1,2024-11-15,5.6380,0.50,0.5,5.638000011444092,5.942999839782715,time_exit,0.0270485835153893,1642431.8187141074,1686857.2729309287,28,21,2.0,2024-11-18,-0.0482507989489575,-0.0494837104353022
518800.SH,2024-12-19,2024-12-20,2025-01-20,1,2024-12-20,5.8050,0.50,0.5,5.804999828338623,6.027999877929688,time_exit,0.019207584512098697,1686857.2729309287,1719257.7265605978,31,21,1.0,2024-12-20,-0.0354604832848837,-0.0232653819347848
518800.SH,2025-02-28,2025-03-03,2025-03-31,1,2025-03-03,6.3680,0.50,0.5,6.368000030517578,6.855000019073486,time_exit,0.038238064244821124,1719257.7265605978,1784998.8139622272,28,21,1.0,2025-03-03,-0.0343137409712601,-0.0193872071472498
518800.SH,2025-04-07,2025-04-08,2025-05-09,1,2025-04-08,6.7830,0.50,0.5,6.7829999923706055,7.422999858856201,time_exit,0.04717675565424262,1784998.8139622272,1869209.266851636,31,21,1.0,2025-04-08,-0.0549186618798592,-0.026074827752523
518800.SH,2025-05-12,2025-05-13,2025-05-20,1,2025-05-13,7.1980,0.50,0.5,7.197999954223633,7.135000228881836,fail_to_rebound_d5,-0.004376196564493562,1869209.266851636,1861029.2396797205,7,6,1.0,2025-05-13,-0.0275722669289472,-0.0258777659586898
518800.SH,2025-06-27,2025-06-30,2025-07-28,1,2025-06-30,7.2300,0.50,0.5,7.230000019073486,7.284999847412109,time_exit,0.003803584245748781,1861029.2396797205,1868107.821176644,28,21,2.0,2025-07-01,-0.0280277140664747,-0.0229700788610074
518800.SH,2025-10-28,2025-10-29,2025-11-26,1,2025-10-29,8.5620,0.50,0.5,8.562000274658203,8.904999732971191,time_exit,0.02003033446099023,1868107.821176644,1905526.6456440038,28,21,1.0,2025-10-29,-0.0297233166453834,-0.021336561834419
518800.SH,2026-02-02,2026-02-03,2026-03-11,2,2026-02-03|2026-03-24,10.2320|9.0970,0.50|0.40,0.9,9.727555804782444,10.892000198364258,time_exit,0.10773517780369812,1905526.6456440038,2110818.897622145,36,21,1.0,2026-02-03,-0.0900053502634663,-0.0260762866615311
518800.SH,2026-03-17,2026-03-18,2026-03-25,2,2026-03-18|2026-03-23,10.5080|9.3570,0.50|0.40,0.9,9.996444808112251,9.60200023651123,fail_to_rebound_d5,-0.03551263686794242,2110818.897622145,2035858.1526168992,7,6,1.0,2026-03-18,-0.0437310336675683,-0.0230599596953552
518800.SH,2026-03-25,2026-03-26,2026-04-24,1,2026-03-26,9.5180,0.50,0.5,9.517999649047852,10.375,time_exit,0.04501998227315962,2035858.1526168992,2127512.4505583793,29,21,3.0,2026-03-30,-0.069551545931081,-0.0827617490626094
