config_name,sample_count,terminal_capital,total_return,max_drawdown,win_rate,avg_trade_return,median_trade_return,avg_layers,avg_hold_trading_days,median_repair_days,repair_within_5d,repair_within_10d,cagr,first_entry_weight,allow_second_entry,second_entry_trigger_drawdown,second_entry_requires_parent_signal,second_entry_weight,allow_third_entry,third_entry_trigger_drawdown,third_entry_requires_parent_signal,third_entry_weight,max_total_weight,max_hold_days,rebound_check_day,return_drawdown_ratio
f0.50_s1_-0.05_1_0.40_t0_0.00_0_0.00_h15_r5,63,1882608.7955850547,0.8826087955850546,-0.14271275123632376,0.6507936507936508,0.01031996222265398,0.005418498536790661,1.253968253968254,13.142857142857142,1.0,0.9682539682539683,0.9682539682539683,0.06328070822598342,0.5,True,-0.05,True,0.4,False,0.0,False,0.0,1.0,15,5,6.184512511594057
f0.50_s1_-0.05_1_0.30_t0_0.00_0_0.00_h20_r7,56,1781289.6370335417,0.7812896370335416,-0.1272494483291341,0.6607142857142857,0.010599328888929078,0.007467264017770647,1.2857142857142858,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.05759110246278509,0.5,True,-0.05,True,0.3,False,0.0,False,0.0,1.0,20,7,6.1398273021405565
f0.50_s1_-0.05_0_0.30_t0_0.00_0_0.00_h20_r7,56,1777011.1265625628,0.7770111265625628,-0.1272494483291342,0.6607142857142857,0.010554918740689792,0.0061494266574986245,1.3035714285714286,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.05734446604567722,0.5,True,-0.05,False,0.3,False,0.0,False,0.0,1.0,20,7,6.106204284303081
f0.50_s1_-0.03_1_0.35_t0_0.00_0_0.00_h20_r5,57,1861467.2113882126,0.8614672113882127,-0.1414238294817065,0.6842105263157895,0.011188050974411884,0.004789654424187428,1.3859649122807018,17.842105263157894,1.0,0.9649122807017544,0.9649122807017544,0.06211672290571224,0.5,True,-0.03,True,0.35,False,0.0,False,0.0,1.0,20,5,6.091386540340046
f0.50_s1_-0.04_0_0.40_t0_0.00_0_0.00_h20_r7,56,1893764.349560304,0.893764349560304,-0.14763722228073917,0.6607142857142857,0.011768360106615703,0.007998169176740056,1.3392857142857142,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.06389014657037273,0.5,True,-0.04,False,0.4,False,0.0,False,0.0,1.0,20,7,6.053787356285861
f0.50_s1_-0.03_0_0.35_t0_0.00_0_0.00_h20_r5,57,1845745.3874741523,0.8457453874741523,-0.14142382948170684,0.6666666666666666,0.011037723266377319,0.004789654424187428,1.4035087719298245,17.842105263157894,1.0,0.9649122807017544,0.9649122807017544,0.06124336637207084,0.5,True,-0.03,False,0.35,False,0.0,False,0.0,1.0,20,5,5.980218401479147
f0.50_s1_-0.03_0_0.35_t0_0.00_0_0.00_h20_r7,56,1841027.3419637976,0.8410273419637975,-0.14142382948170684,0.6785714285714286,0.011214136049337747,0.005711663687535267,1.4285714285714286,17.517857142857142,1.0,0.9642857142857143,0.9821428571428571,0.060979965633693345,0.5,True,-0.03,False,0.35,False,0.0,False,0.0,1.0,20,7,5.946857365169738
f0.50_s1_-0.05_0_0.40_t0_0.00_0_0.00_h15_r5,61,1848590.4924537272,0.8485904924537271,-0.14271275123632376,0.6721311475409836,0.010363060573003784,0.006708168866833786,1.2950819672131149,13.868852459016393,1.0,0.9672131147540983,0.9672131147540983,0.061401910198444654,0.5,True,-0.05,False,0.4,False,0.0,False,0.0,1.0,15,5,5.946143460218996
f0.50_s1_-0.05_1_0.35_t0_0.00_0_0.00_h15_r5,63,1798927.374482491,0.798927374482491,-0.13502355693264334,0.6507936507936508,0.009568769601545886,0.005418498536790661,1.253968253968254,13.142857142857142,1.0,0.9682539682539683,0.9682539682539683,0.05860222141547888,0.5,True,-0.05,True,0.35,False,0.0,False,0.0,1.0,15,5,5.916948069150902
f0.50_s1_-0.04_1_0.40_t0_0.00_0_0.00_h20_r7,56,1870810.2047350297,0.8708102047350297,-0.14763722228073917,0.6428571428571429,0.011550069275184914,0.007503862129308259,1.3392857142857142,17.517857142857142,1.0,0.9464285714285714,0.9821428571428571,0.06263258144726724,0.5,True,-0.04,True,0.4,False,0.0,False,0.0,1.0,20,7,5.898310678584449
