exit_rule,holding_days,exit_day,realized_return,realized_drawdown,realized_runup,trade_date,config_key
hold_15d,15,15,0.035038081202398486,-0.10865745851779951,0.054404719729949313,2026-03-19,ret-0.025_ma-0.015_risk0
hold_10d,10,10,0.01890423249384443,-0.10274814188916681,0.047851435319773206,2026-03-20,ret-0.025_ma-0.015_risk0
hold_15d,15,15,0.037633468334312914,-0.10274814188916681,0.06139508656832304,2026-03-20,ret-0.025_ma-0.015_risk0
hold_10d,10,10,0.05744646906064643,-0.017915101971850866,0.08741853987489678,2026-03-23,ret-0.025_ma-0.015_risk0
hold_15d,15,15,0.09557001271786314,-0.017915101971850866,0.1014736024237004,2026-03-23,ret-0.025_ma-0.015_risk0
hold_10d,10,10,0.07960362122612286,-0.005409907427118554,0.10267547459057202,2026-03-24,ret-0.025_ma-0.015_risk0
hold_15d,15,15,0.0910827206833118,-0.005409907427118554,0.10267547459057202,2026-03-24,ret-0.025_ma-0.015_risk0
hold_10d,10,10,0.053277155266318266,-0.03830933495313904,0.06620075788877222,2026-03-25,ret-0.025_ma-0.015_risk0
hold_15d,15,15,0.05178251962064784,-0.03830933495313904,0.06620075788877222,2026-03-25,ret-0.025_ma-0.015_risk0
hold_10d,10,10,0.08830988512027194,0.008661844896297621,0.10867329448063079,2026-03-26,ret-0.025_ma-0.015_risk0
hold_15d,15,15,0.11018171583961833,0.008661844896297621,0.11523258948977255,2026-03-26,ret-0.025_ma-0.015_risk0
hold_10d,10,10,0.030166346439322478,-0.00877127061894023,0.031805825052301895,2016-03-28,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.01123038847257618,-0.00877127061894023,0.03426504297177102,2016-03-28,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.025144457482451088,-0.024330721637277897,0.02856210829898309,2016-05-24,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.046301589456955394,-0.024330721637277897,0.05476436278036623,2016-05-24,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.03816914685073569,-0.020024519820187936,0.03914999952109732,2016-05-25,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.0593379449006437,-0.020024519820187936,0.07592972980307522,2016-05-25,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.05828113591706785,-0.00773791902883969,0.061656156843262755,2016-05-31,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.045851126879363324,-0.00773791902883969,0.0836351428236668,2016-05-31,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.027268201841850415,-0.03619386909527822,0.006632900409533349,2016-11-14,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.04389123626683944,-0.05257120352016731,0.006632900409533349,2016-11-14,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.043464012395322715,-0.04583331338720387,0.0043301052517361605,2016-11-15,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.04003267973856206,-0.054738562091503296,0.0043301052517361605,2016-11-15,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.04618276840975233,-0.051822807870571586,0.001307810653922381,2016-11-16,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.04381230547351733,-0.054274990264009726,0.001307810653922381,2016-11-16,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.033760900974865615,-0.010177946899565526,0.033926354985519325,2017-03-08,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.03715351627146246,-0.010177946899565526,0.04071158557871324,2017-03-08,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.020546230062678417,-0.01019160211985326,0.027313493681206724,2017-05-04,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.023889155179881882,-0.01019160211985326,0.028617998847074944,2017-05-04,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.02277914862139685,-0.008817805680574886,0.028739345010276418,2017-05-05,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.034944419539142624,-0.008817805680574886,0.034944419539142624,2017-05-05,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.03335254745240679,0.002470559070548717,0.03895242102926688,2017-05-09,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.047517045912630174,0.002470559070548717,0.04850522932992729,2017-05-09,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.016039014073649827,-0.017821168785903563,0.014411882796985909,2017-09-21,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.0020921069992749786,-0.0233224671899378,0.014411882796985909,2017-09-21,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.02137194490904326,-0.009585881700271526,0.02443631558845727,2017-10-02,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.003928655764774858,-0.009585881700271526,0.02443631558845727,2017-10-02,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.02425319179764318,-0.006986790485887351,0.02497598689028324,2017-12-08,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.0550112453309477,-0.006986790485887351,0.0581432920439211,2017-12-08,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.012064134037150565,-0.0029576966716269304,0.01766808087575944,2019-03-04,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.028876069564113704,-0.0029576966716269304,0.02965440079231696,2019-03-04,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.017940717628705194,-0.0007800312012480326,0.019890795631825275,2019-03-05,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.025195045887772993,-0.0007800312012480326,0.03190329517477575,2019-03-05,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.038255788642706845,-0.08632735734410402,0.060529760407928235,2020-03-12,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.02290310276564167,-0.08632735734410402,0.060529760407928235,2020-03-12,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.07138620883277835,-0.04196079543102493,0.11202748188837952,2020-03-13,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.07785182015000225,-0.04196079543102493,0.11202748188837952,2020-03-13,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.03836317074129392,-0.03534659554797592,0.10531836383676851,2020-03-17,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.09174373544116032,-0.03534659554797592,0.13082824893825884,2020-03-17,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.06830020917131185,-0.004264569566028609,0.14093274506897258,2020-03-18,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.12732685938455668,-0.004264569566028609,0.16726458229115382,2020-03-18,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.09948598540159237,0.003313962190565345,0.1399296820169853,2020-03-19,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.17421884203931226,0.003313962190565345,0.17421884203931226,2020-03-19,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.04158219500809457,-0.00017893256565415516,0.04444577148920392,2020-06-05,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.05745140892099365,-0.00017893256565415516,0.06377522224560739,2020-06-05,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.0027494158646956812,-0.012761309440809443,0.030398972423393067,2020-08-24,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.014836384489641974,-0.012761309440809443,0.030398972423393067,2020-08-24,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.01720886154591139,-0.004550723412482638,0.03896851035528859,2020-08-25,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.025316403968823842,-0.004550723412482638,0.03896851035528859,2020-08-25,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.011340738839211939,-0.017501758908034737,0.018483193318419078,2021-01-08,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.014557588788832287,-0.017501758908034737,0.02284500570950443,2021-01-08,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.0011838851776584391,-0.012233663685218499,0.01093691611778147,2021-06-17,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.020408135176110065,-0.012233663685218499,0.025200107081633227,2021-06-17,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.00831492220650154,-0.008937184574880908,0.014310722556948763,2021-06-18,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.02126815717331043,-0.008937184574880908,0.02862151416209624,2021-06-18,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.006566365950865238,-0.016668578083001484,0.01571444563514035,2021-06-21,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.015489939852729062,-0.016668578083001484,0.020597120982240646,2021-06-21,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.01418676489284576,-0.013623865662872103,0.018859426380188893,2021-06-22,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.027022461679076626,-0.013623865662872103,0.029668383563150158,2021-06-22,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.01193181818181821,-0.03829546841708098,0.019431790438565244,2021-08-06,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.032159077037464456,-0.03829546841708098,0.032159077037464456,2021-08-06,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.046303774879510984,-0.0019148478480769393,0.04723222888530332,2021-08-09,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.049669243572768584,-0.0019148478480769393,0.056226078125423795,2021-08-09,ret-0.025_ma-0.020_risk1
hold_10d,10,10,0.044423834213720426,-0.0008676538394458699,0.044423834213720426,2021-08-10,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.04986114572955147,-0.0008676538394458699,0.05292688420620051,2021-08-10,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-5.605583736334463e-05,-0.012839935191512497,0.013793089759426724,2021-11-23,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.01171854466726241,-0.016596566070051888,0.013793089759426724,2021-11-23,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.005324813704388975,-0.01317190758454112,0.013452160937403645,2021-11-24,ret-0.025_ma-0.020_risk1
hold_15d,15,15,0.007006333821564459,-0.01692727514440817,0.013452160937403645,2021-11-24,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.019068231838687666,-0.021233864466873476,0.01320515563320468,2022-04-25,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.042098010367336736,-0.05609547533853365,0.01320515563320468,2022-04-25,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.0176573775900295,-0.024391536881331777,0.017127062060380283,2022-04-27,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.03711755612376566,-0.05244181724043939,0.017127062060380283,2022-04-27,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.034362208938207406,-0.035209404203531136,0.015619209383521238,2022-04-28,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.02514957443109367,-0.05384653666601391,0.015619209383521238,2022-04-28,ret-0.025_ma-0.020_risk1
hold_10d,10,10,-0.01467642624800991,-0.026464708864890718,0.018566545121587064,2022-09-01,ret-0.025_ma-0.020_risk1
hold_15d,15,15,-0.030236901742318856,-0.030236901742318856,0.018566545121587064,2022-09-01,ret-0.025_ma-0.020_risk1
