config_key,ret_threshold,ma20_threshold,use_risk_filter,event_count,exit_rule,sample_count,years_covered,events_per_year,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,positive_year_ratio
ret-0.015_ma-0.020_risk0,-0.015,-0.02,False,198,hold_15d,198,11,18.0,0.7626262626262627,0.02310609222586372,0.020533763595061094,-0.020805268970035436,0.041737985685186885,0.0015404061483909146,0.4678013014176563,0.9090909090909091
ret-0.015_ma-0.025_risk1,-0.015,-0.025,True,43,hold_10d,43,9,4.777777777777778,0.813953488372093,0.025711842925776485,0.02289981881489056,-0.015722872118817333,0.04557190621216704,0.0025711842925776485,0.89600431907448,0.7777777777777778
ret-0.015_ma-0.025_risk1,-0.015,-0.025,True,43,hold_15d,43,9,4.777777777777778,0.8372093023255814,0.03446436898239302,0.032159077037464456,-0.017582056094512553,0.055050334912740036,0.0022976245988262016,0.7669367857046565,0.7777777777777778
ret-0.015_ma-0.025_risk0,-0.015,-0.025,False,142,hold_10d,142,11,12.909090909090908,0.7394366197183099,0.018331655229431365,0.01800908494207365,-0.017738897442944247,0.03597250243771505,0.0018331655229431366,0.5805526000378902,1.0
ret-0.015_ma-0.025_risk0,-0.015,-0.025,False,142,hold_15d,142,11,12.909090909090908,0.7676056338028169,0.026485367022518212,0.021763715629136815,-0.020032014413495915,0.04544494377284661,0.0017656911348345474,0.5514093816997327,1.0
ret-0.020_ma-0.010_risk1,-0.02,-0.01,True,114,hold_10d,114,11,10.363636363636363,0.7192982456140351,0.015908338709974757,0.014486124087881302,-0.015836794772544963,0.03539607764829896,0.0015908338709974758,0.48844925196764066,0.8181818181818182
ret-0.020_ma-0.010_risk1,-0.02,-0.01,True,114,hold_15d,114,11,10.363636363636363,0.7017543859649122,0.01971314336738709,0.020408135176110065,-0.018690569506561425,0.042919070411228485,0.001314209557825806,0.3881317476063837,0.9090909090909091
ret-0.020_ma-0.010_risk0,-0.02,-0.01,False,233,hold_10d,233,11,21.181818181818183,0.7081545064377682,0.014733198156073126,0.01291102135593536,-0.016342254072726936,0.03214241674940303,0.0014733198156073127,0.44566311340981524,1.0
ret-0.020_ma-0.010_risk0,-0.02,-0.01,False,233,hold_15d,233,11,21.181818181818183,0.7381974248927039,0.021443357954852076,0.01875467374908779,-0.018975926291284872,0.04072979076241622,0.0014295571969901383,0.4282362464670406,1.0
ret-0.020_ma-0.015_risk1,-0.02,-0.015,True,94,hold_10d,94,11,8.545454545454545,0.7446808510638298,0.016649528130457232,0.017303855328615336,-0.016555739906251622,0.03657277271106941,0.0016649528130457231,0.516058075190388,0.7272727272727273
ret-0.020_ma-0.015_risk1,-0.02,-0.015,True,94,hold_15d,94,11,8.545454545454545,0.7127659574468085,0.021395846169018132,0.02208562996947605,-0.019452466613784105,0.044423830853433335,0.0014263897446012087,0.42712057373629775,0.8181818181818182
ret-0.020_ma-0.015_risk0,-0.02,-0.015,False,207,hold_10d,207,11,18.818181818181817,0.7294685990338164,0.015493113786665081,0.013364779874213806,-0.01660464089017995,0.03263197163790603,0.0015493113786665081,0.4731940796941283,1.0
ret-0.020_ma-0.015_risk0,-0.02,-0.015,False,207,hold_15d,207,11,18.818181818181817,0.7584541062801933,0.02289442534602178,0.020408135176110065,-0.019212182507373048,0.04155706768324757,0.0015262950230681186,0.46270800303549176,1.0
ret-0.020_ma-0.020_risk1,-0.02,-0.02,True,68,hold_10d,68,11,6.181818181818182,0.7647058823529411,0.02030238314601795,0.020860868036250424,-0.017583393196552267,0.039970307901998015,0.0020302383146017953,0.6594657996912163,0.6363636363636364
ret-0.020_ma-0.020_risk1,-0.02,-0.02,True,68,hold_15d,68,11,6.181818181818182,0.7941176470588235,0.027973877346874218,0.02470920850012359,-0.019654154074271984,0.048660756477379045,0.0018649251564582811,0.5896405055946581,0.6363636363636364
ret-0.020_ma-0.020_risk0,-0.02,-0.02,False,166,hold_10d,166,11,15.090909090909092,0.7409638554216867,0.017190678400975146,0.016480296417455298,-0.017875983233152908,0.03421357037612858,0.0017190678400975147,0.5365254740778669,0.9090909090909091
ret-0.020_ma-0.020_risk0,-0.02,-0.02,False,166,hold_15d,166,11,15.090909090909092,0.7951807228915663,0.02604839743384357,0.02331785207830206,-0.020025216545509074,0.043602049189657675,0.0017365598289229046,0.5403514417012782,1.0
ret-0.020_ma-0.025_risk1,-0.02,-0.025,True,40,hold_10d,40,9,4.444444444444445,0.85,0.028096728435862674,0.024854852600891708,-0.015653048452864114,0.04784893105536825,0.0028096728435862673,1.0102784838920664,0.7777777777777778
ret-0.020_ma-0.025_risk1,-0.02,-0.025,True,40,hold_15d,40,9,4.444444444444445,0.85,0.03804357994591624,0.03518677011594884,-0.017141979421843173,0.05772249956632132,0.0025362386630610827,0.8725001360253595,0.7777777777777778
