trade_date,year,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,label,ret_3d,ret_5d,ret_10d,close_vs_ma10,close_vs_ma20,pullback_depth_from_high,volume_ratio_1d_vs_20d,avg_volume_5d,avg_volume_20d,usd_ret_lb,oil_ret_lb,high_volatility_shock_flag,downtrend_break_flag
2017-05-08,2017,0.030033400221446183,-0.009222270772724084,0.03648082052606294,1,-0.01692873489460711,-0.02234101883757278,-0.03958300522592573,-0.018888736051346555,-0.03061705465863851,-0.05367624141109806,0.1407528641571195,83.2,305.5,0.00010088900839266834,-0.04231367014375231,0,0
2017-05-09,2017,0.047517045912630174,0.002470559070548717,0.04850522932992729,1,-0.009946963858030955,-0.03250731220735248,-0.0405340769179946,-0.023686210125899998,-0.03791909153134032,-0.06217176163443727,0.18385425371887015,76.2,299.15,0.006162790061315038,-0.034284573397241225,0,0
2017-05-10,2017,0.0408280203551461,0.0008214901502408001,0.04592121917481551,1,-0.00612344848220403,-0.023347220006367908,-0.035496337552034185,-0.017736078980224,-0.03347847326436637,-0.05985480157352663,0.08206958073148975,41.8,280.25,0.004636620186650564,-0.011222675419365058,0,0
2017-06-21,2017,-0.021795057949036134,-0.027987814174705417,0.024288202170581696,0,-0.00845293108926437,-0.02309869837067602,-0.03619870712009343,-0.011943437783931032,-0.017145012595433107,-0.039993768306542,0.009968926127825947,233.0,20563.9,0.006395658155282646,-0.04638298521650597,0,0
2017-07-03,2017,0.027752628360504294,-0.007636134856470966,0.03128333592428301,1,-0.02411857018103969,-0.02278746955098543,-0.021138022657082867,-0.02032704360817761,-0.030183805926939256,-0.05968184810991761,0.1101652478718077,219.4,299.55,-0.012624482737153886,0.08400607288460349,0,1
2017-07-05,2017,0.023434918890360423,-0.009669000812901896,0.0291707430955106,1,-0.019128699318301745,-0.020860076613222756,-0.01659949684604145,-0.016686654031689452,-0.025321338383078262,-0.057751644207625796,0.15720180782078993,205.2,254.45,-0.0018658681755789885,0.024437285152413724,0,1
2017-07-06,2017,0.030600577571781473,-0.0111274555140487,0.030600577571781473,1,-0.014910937960887494,-0.02067311604817712,-0.01705008269738273,-0.013551392016753816,-0.02122994645558196,-0.05482949946073257,0.022456770716370984,132.2,222.65,-0.002394621026817201,0.016909727622882453,0,1
2017-07-07,2017,0.049478777127339946,8.272016213561884e-05,0.050802602725765755,1,-0.007636134856470966,-0.028612744721945194,-0.03126001984865667,-0.021447841742617157,-0.02949030854639667,-0.0613544590695182,0.5458823529411765,47.4,212.5,0.0039736996102330835,-0.01497256667836877,0,1
2017-07-10,2017,0.04496328776316849,-0.002805069286812678,0.04842840889738609,1,-0.006801088710326808,-0.023051484413233014,-0.03510585679039213,-0.015097358533835092,-0.024470740374543998,-0.05156496433025237,0.14694305956441878,44.4,190.55,0.004076932623021889,-0.021702778392509448,0,1
2017-09-21,2017,0.0020921069992749786,-0.0233224671899378,0.014411882796985909,1,-0.01201873433004308,-0.025741659879862988,-0.040517434383462336,-0.021427613260671885,-0.020692491410434055,-0.048089741034116895,1.34212103055722,102.4,250.35,0.0015197501679800052,0.017306635358687483,0,0
2017-09-22,2017,0.006340331603099436,-0.025361515185780337,0.012294055318529562,1,-0.00987590171947006,-0.020524064741640147,-0.03915300978593983,-0.015446184559543608,-0.018896793977002724,-0.04609824291865261,0.8958422631804543,141.2,233.3,0.003265433910901283,0.022294169404522446,0,0
2017-09-27,2017,-0.002727131006248773,-0.017843247606698087,0.015895296887948884,0,-0.007654855053189746,-0.021798761879525563,-0.030225177015324678,-0.015850362936088325,-0.02536820136330098,-0.053400222604093384,17.214787332714987,4024.6,1132.05,0.009188179164339338,0.028601893483136465,1,0
2017-10-02,2017,0.003928655764774858,-0.009585881700271526,0.02443631558845727,1,-0.008337286145114864,-0.026094349848570397,-0.02572157727957869,-0.015623829242884302,-0.02947348063303079,-0.0612922958131451,0.1021366077128159,5076.2,1331.55,0.009821867433652098,-0.04913591161277997,0,0
2017-12-08,2017,0.0550112453309477,-0.006986790485887351,0.0581432920439211,1,-0.012999385487817317,-0.026274707830235555,-0.032253051663057475,-0.02078438980635189,-0.02456606222995461,-0.03934578145439027,0.009518641683768897,647.4,16493.95,0.010764262471206099,-0.001417548436109306,0,0
2017-12-11,2017,0.05829380304444576,-0.005789138421281481,0.06142962725219592,1,-0.01512519553192515,-0.02401325942378374,-0.03872321515339927,-0.018095438279570164,-0.024644680974904465,-0.04050301032069592,0.008848082662909262,506.6,16500.75,0.0072969233540189915,0.03586872139473396,0,0
2018-02-07,2018,-0.00663308274917318,-0.0074717344771484395,0.03796893088982989,0,-0.016570425429287217,-0.02046305034657392,-0.018042956103122898,-0.020682464282880897,-0.016570461433652706,-0.03728717551217964,0.02851749673297517,1236.4,17217.5,0.012678165798654994,-0.051267208675919496,0,0
2018-03-01,2018,0.018190153294788125,0.0033771005692022626,0.027016617171148782,1,-0.020891205965199444,-0.020817639921928532,-0.03880485104089815,-0.019454347030205876,-0.019417448344950516,-0.042970470802788485,0.08360878864475987,378.0,514.3,0.0063509715300749114,-0.01024251109244334,0,1
2018-04-26,2018,-0.021347790483839058,-0.02347490941869379,0.004102333923452717,0,-0.004688053816162552,-0.022646271825233932,-0.01651223489450593,-0.01515827854153673,-0.015058804792699054,-0.035960139671894265,1.0319187522669568,250.6,551.4,0.018011953226740207,0.01301164408181088,0,0
2018-05-01,2018,-0.009280639057442697,-0.014266066083498008,0.01303880914506772,0,-0.009496315077347717,-0.020730039867682848,-0.03221489304983882,-0.017216391463584002,-0.02231251197968631,-0.04511496593269215,0.1168858275934043,309.2,239.55,0.01850832177268913,0.017736224583921212,0,0
2018-05-17,2018,0.007685161302060539,-0.002328831015147026,0.014438828102213197,1,-0.021496429037694664,-0.02468208392721849,-0.017166400273291527,-0.014519837826659443,-0.018645165664319396,-0.04943919894777404,0.01638672675133142,8.6,122.05,0.008850509242519289,0.023622070507540283,0,1
2018-05-18,2018,0.006743197621644104,-0.0021701494836280366,0.012866298468832138,1,0.0010085551502752033,-0.021834760294257016,-0.017140245933515708,-0.011287993675202501,-0.015377603555131736,-0.039601066157037845,0.018752930145335207,8.4,106.65,0.011886735068494358,0.018023850364943694,0,1
2018-06-21,2018,-0.021780284603399536,-0.02383203309307802,0.0031565657781953416,0,-0.007052186447535691,-0.028220896340586665,-0.02425502516695721,-0.014450395541312888,-0.01943414203765137,-0.030970407212836948,0.0020690896005757468,142.2,22232.0,0.0010552506812073759,-0.038056351023669,0,1
2018-07-02,2018,-0.012824668323808686,-0.022665023834134046,0.018148087686613135,0,-0.010376755661975157,-0.020385530385197637,-0.028522099777801846,-0.015664538342239243,-0.02884174337695733,-0.05192315124192104,0.13217866909753873,341.2,219.4,0.006257997188420905,0.034390466738628556,0,1
2018-07-17,2018,-0.013135331832676123,-0.016806703440138127,0.004650463791515902,0,-0.015502047251506057,-0.02241194493692511,-0.011372880384685868,-0.01678930687450042,-0.021850203980788963,-0.043766652768923664,0.0,8.2,104.95,0.009138248908447721,-0.08496065047408474,0,1
2018-08-15,2018,0.017324861498142274,-0.013673015359607188,0.033545647558386404,1,-0.0277433541931017,-0.02894604675295076,-0.03317187257098475,-0.02204244912929243,-0.030161764227493726,-0.043771336158377805,0.004393210942189057,72.0,16161.3,0.016824379598244565,-0.021029284293537898,0,1
2018-08-16,2018,0.014793423853424192,-0.001275293370404884,0.03468802118846792,1,-0.01267531019670809,-0.0294579359047773,-0.028415682395345088,-0.020323202456421496,-0.029385833140889717,-0.04482708473913943,0.007608655309356791,87.8,16165.8,0.012041900794543592,-0.008880246876071474,0,1
