config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,cagr,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,total_hold_trading_days,return_per_hold_day,partial_exit_ratio,anchor_return_threshold,anchor_window_end_day,trailing_drawdown,trailing_start_offset,unmet_exit_day,beats_live_return_drawdown_ratio
p0.70_thr0.015_win15_dd0.012_off2_unmet60,46,2374263.2088475223,1.3742632088475224,-0.14271275123632376,9.629575472004074,0.0874795892278657,0.6956521739130435,0.019435920298944257,0.016788034680435715,33.71739130434783,26.5,1551.0,0.0005764360630247814,0.7,0.015,15,0.012,2,60,True
p0.50_thr0.010_win15_dd0.010_off2_unmet60,55,2374217.6228217725,1.3742176228217726,-0.14271275123632365,9.629256046967742,0.08747756416897712,0.7090909090909091,0.016150163537852497,0.0139517349806631,25.381818181818183,22.0,1396.0,0.0006362886780672545,0.5,0.01,15,0.01,2,60,True
p0.50_thr0.010_win15_dd0.015_off0_unmet60,57,2373529.6912352196,1.3735296912352197,-0.14271275123632388,9.62443565369107,0.08744700005826367,0.6666666666666666,0.015595660521296557,0.013842732634124721,25.719298245614034,22.0,1466.0,0.0006063797064897024,0.5,0.01,15,0.015,0,60,True
p0.50_thr0.010_win15_dd0.008_off2_unmet60,55,2369677.5769925066,1.3696775769925065,-0.14271275123632376,9.59744357197909,0.08727570653262928,0.7090909090909091,0.016109323678854825,0.014027289201108573,24.818181818181817,22.0,1365.0,0.0006490936280857255,0.5,0.01,15,0.008,2,60,True
p0.60_thr0.010_win15_dd0.012_off2_unmet60,52,2385836.6677988013,1.3858366677988014,-0.14458299359820925,9.585059994330937,0.08799258218088468,0.7307692307692307,0.017154004628157835,0.015917657864800247,27.557692307692307,24.0,1433.0,0.0006224760925779536,0.6,0.01,15,0.012,2,60,True
p0.60_thr0.010_win15_dd0.015_off2_unmet60,53,2384025.7123933793,1.3840257123933792,-0.14458299359820936,9.57253462491954,0.08791246018206134,0.7169811320754716,0.016821612497552364,0.015803752743445608,28.754716981132077,24.0,1524.0,0.0005850035842324641,0.6,0.01,15,0.015,2,60,True
p0.70_thr0.010_win15_dd0.010_off0_unmet60,56,2365933.098635966,1.3659330986359661,-0.14271275123632388,9.571205703785093,0.08710895811983299,0.6964285714285714,0.015796282531838967,0.013143415811019691,24.214285714285715,21.0,1356.0,0.0006523538508724058,0.7,0.01,15,0.01,0,60,True
p0.70_thr0.010_win15_dd0.008_off0_unmet60,56,2363672.7395301713,1.363672739530171,-0.14271275123632388,9.555367181395093,0.0870081848442823,0.6964285714285714,0.01577912404633403,0.01322825803491487,22.982142857142858,19.0,1287.0,0.0006865819320860183,0.7,0.01,15,0.008,0,60,True
p0.50_thr0.015_win15_dd0.012_off0_unmet60,49,2362450.072700967,1.362450072700967,-0.14271275123632365,9.5467998542389,0.086953638586722,0.6530612244897959,0.018169926421153032,0.015108567492508242,30.877551020408163,24.0,1513.0,0.0005884510209097809,0.5,0.015,15,0.012,0,60,True
p0.60_thr0.015_win15_dd0.015_off2_unmet60,46,2378767.6631490355,1.3787676631490355,-0.14458299359820914,9.536167628266023,0.08767951676570873,0.6956521739130435,0.019481588323597355,0.016454417652281828,34.34782608695652,26.5,1580.0,0.0005671854828389102,0.6,0.015,15,0.015,2,60,True
