config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,cagr,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,total_hold_trading_days,return_per_hold_day,partial_exit_ratio,anchor_return_threshold,anchor_window_end_day,trailing_drawdown,trailing_start_offset,unmet_exit_day
p0.50_thr0.005_win15_dd0.015_off2_unmet60,53,2303785.1580795255,1.3037851580795254,-0.1472114494008746,8.856547254888854,0.08430601553322381,0.7169811320754716,0.016159767895704325,0.015277052530636704,28.09433962264151,24.0,1489.0,0.0005751965738565004,0.5,0.005,15,0.015,2,60
p0.50_thr0.005_win18_dd0.008_off0_unmet20,61,2108885.6938284906,1.1088856938284906,-0.14271275123632365,7.770053371000067,0.07505001726789673,0.7049180327868853,0.012529645476764295,0.008341041243247305,16.098360655737704,19.0,982.0,0.0007783180998804705,0.5,0.005,18,0.008,0,20
p0.50_thr0.005_win18_dd0.008_off0_unmet30,61,2049426.263335842,1.049426263335842,-0.14271275123632376,7.353416245182289,0.07207218882823896,0.7049180327868853,0.012045323277560204,0.00956131584796327,17.868852459016395,19.0,1090.0,0.0006740960733313509,0.5,0.005,18,0.008,0,30
p0.50_thr0.005_win18_dd0.008_off0_unmet45,59,2076340.7955390874,1.0763407955390876,-0.14271275123632376,7.542008588684074,0.07342964880699854,0.6779661016949152,0.012681763493139967,0.011270693573603163,19.050847457627118,19.0,1124.0,0.0006656797563125072,0.5,0.005,18,0.008,0,45
p0.50_thr0.005_win18_dd0.008_off0_unmet60,59,2116642.167178176,1.1166421671781759,-0.142712751236324,7.824403618490135,0.0754328682079426,0.6949152542372882,0.013014828977203243,0.011270693573603163,19.83050847457627,19.0,1170.0,0.0006563033415854626,0.5,0.005,18,0.008,0,60
p0.50_thr0.005_win18_dd0.008_off2_unmet20,60,2099168.7772052824,1.0991687772052825,-0.14271275123632376,7.701966136054128,0.07456860271767085,0.7333333333333333,0.012649515151438176,0.008794947673114756,16.85,21.0,1011.0,0.0007507130653672509,0.5,0.005,18,0.008,2,20
p0.50_thr0.005_win18_dd0.008_off2_unmet30,60,2079017.8083499214,1.0790178083499216,-0.14271275123632388,7.56076663789581,0.07356379632059062,0.7166666666666667,0.01248722774838494,0.009031386588504442,19.333333333333332,22.0,1160.0,0.0006458910904337038,0.5,0.005,18,0.008,2,30
p0.50_thr0.005_win18_dd0.008_off2_unmet45,58,2087350.2945872487,1.0873502945872486,-0.14271275123632388,7.61915305512302,0.07398034863308633,0.6896551724137931,0.012988380904709183,0.013565273955743862,20.586206896551722,22.0,1194.0,0.0006309263756056387,0.5,0.005,18,0.008,2,45
p0.50_thr0.005_win18_dd0.008_off2_unmet60,58,2127865.3584649395,1.1278653584649394,-0.14271275123632376,7.903045444042081,0.0759845957423455,0.7068965517241379,0.013327188897118382,0.013565273955743862,21.379310344827587,22.0,1240.0,0.0006233685129297307,0.5,0.005,18,0.008,2,60
p0.50_thr0.005_win18_dd0.010_off0_unmet20,61,2112185.179047117,1.112185179047117,-0.14271275123632376,7.793173135632463,0.07521303135316293,0.7049180327868853,0.012556026023143728,0.008341041243247305,16.37704918032787,21.0,999.0,0.0007666842716834508,0.5,0.005,18,0.01,0,20
