symbol,policy_name,signal_date,entry_date,trigger_date,exit_date,signal_index,entry_index,trigger_index,exit_index,entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_trading_days,hold_calendar_days
159937.SZ,time_or_break_ma10,2021-02-04,2021-02-05,2021-02-05,2021-02-08,1239,1240,1240.0,1241,3.678999900817871,3.7060000896453857,break_ma10,0.007339002325472244,995027.8074637405,1002330.3188566264,15,3
159937.SZ,time_or_break_ma10,2021-02-18,2021-02-19,2021-02-19,2021-02-22,1244,1245,1245.0,1246,3.5999999046325684,3.66100001335144,break_ma10,0.01694447509300634,1002330.3188566264,1019314.2799794576,15,3
159937.SZ,time_or_break_ma10,2021-02-26,2021-03-01,2021-03-01,2021-03-02,1250,1251,1251.0,1252,3.5899999141693115,3.5339999198913574,break_ma10,-0.015598884572929572,1019314.2799794576,1003414.1141825193,15,1
159937.SZ,time_or_break_ma10,2021-03-02,2021-03-03,2021-03-03,2021-03-04,1252,1253,1253.0,1254,3.5450000762939453,3.5220000743865967,break_ma10,-0.006488011681904826,1003414.1141825193,996903.9516879149,15,1
159937.SZ,time_or_break_ma10,2021-03-04,2021-03-05,2021-03-05,2021-03-08,1254,1255,1255.0,1256,3.4779999256134038,3.5199999809265137,break_ma10,0.012075921854915572,996903.9516879149,1008942.4859053547,15,3
159937.SZ,time_or_break_ma10,2021-03-08,2021-03-09,2021-03-09,2021-03-10,1256,1257,1257.0,1258,3.4809999465942383,3.5480000972747803,break_ma10,0.019247386299472424,1008942.4859053547,1028361.991685525,15,1
159937.SZ,time_or_break_ma10,2021-03-30,2021-03-31,2021-03-31,2021-04-01,1272,1273,1273.0,1274,3.502000093460083,3.5360000133514404,break_ma10,0.0097087147298629,1028361.991685525,1038346.0649018334,15,1
159937.SZ,time_or_break_ma10,2021-06-17,2021-06-18,2021-06-18,2021-06-21,1324,1325,1325.0,1326,3.625999927520752,3.615999937057495,break_ma10,-0.002757857325743074,1038346.0649018334,1035482.4546000874,15,3
159937.SZ,time_or_break_ma10,2021-06-21,2021-06-22,2021-06-22,2021-06-23,1326,1327,1327.0,1328,3.640000104904175,3.641000032424927,break_ma10,0.0002747053549270184,1035482.4546000874,1035766.907175299,15,1
159937.SZ,time_or_break_ma10,2021-06-23,2021-06-24,2021-06-24,2021-06-25,1328,1329,1329.0,1330,3.634000062942505,3.621999979019165,break_ma10,-0.003302169431891322,1035766.907175299,1032346.6293558602,15,1
