trade_date,policy_name,selected_flag,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,symbol
2021-03-02,drop_bottom_10pct,1,0.0147225494964926,-0.0198188477848605,0.0226500346084947,159937.SZ
2021-03-03,drop_bottom_10pct,1,0.0084530772556135,-0.0245139845024565,0.0177514689546967,159937.SZ
2021-03-04,drop_bottom_10pct,1,0.020768122914643,-0.0150782959129223,0.0275959831456045,159937.SZ
2021-03-08,drop_bottom_10pct,1,0.0173295764344907,-0.0113636255880031,0.0261363659454278,159937.SZ
2021-03-30,drop_bottom_10pct,1,0.0393322525563883,-0.0152801081046801,0.0404640999226184,159937.SZ
2021-06-17,drop_bottom_10pct,1,0.0016375660222294,-0.0234716061304287,0.0043668210357543,159937.SZ
2021-06-18,drop_bottom_10pct,1,0.0143408843948658,-0.0132376888625644,0.0190292352733785,159937.SZ
2021-06-21,drop_bottom_10pct,1,0.0124035490721357,-0.0137816846822307,0.0184674509025635,159937.SZ
2021-06-22,drop_bottom_10pct,1,0.0131867740310036,-0.0170329764980202,0.015109842514708,159937.SZ
2021-06-23,drop_bottom_10pct,1,0.0128943570868009,-0.0183813203326635,0.0150891816310028,159937.SZ
2021-08-06,drop_bottom_10pct,1,0.0043692060849995,-0.0330420681190928,0.0065538416805555,159937.SZ
2021-08-09,drop_bottom_10pct,1,0.0350631130417034,-0.0067321647858238,0.0398316851799414,159937.SZ
2021-08-10,drop_bottom_10pct,1,0.0382882647047611,-0.0030968908391958,0.0436373787703292,159937.SZ
2021-08-11,drop_bottom_10pct,1,0.039176982850595,0.0062006300351895,0.0448139558996871,159937.SZ
2021-08-12,drop_bottom_10pct,1,0.0299049390893182,0.0013973940543285,0.036053646178306,159937.SZ
2021-09-16,drop_bottom_10pct,1,-0.0132341042288171,-0.0237111116267607,0.0046870580390476,159937.SZ
2021-09-17,drop_bottom_10pct,1,-0.0002782987861952,-0.0144725985847239,0.0141942997985287,159937.SZ
2021-09-28,drop_bottom_10pct,1,0.0160067172306863,-0.0056164613126867,0.0233080432892067,159937.SZ
2021-09-29,drop_bottom_10pct,1,0.011539580101463,-0.0033774511718344,0.0256121814783454,159937.SZ
2021-11-23,drop_bottom_10pct,1,-0.0118457906051785,-0.0198347174746494,0.0,159937.SZ
2021-11-24,drop_bottom_10pct,1,-0.0168928572937728,-0.0171697688151937,0.0052617150608176,159937.SZ
2021-11-26,drop_bottom_10pct,1,0.0005512936737916,-0.0217750815128013,0.0005512936737916,159937.SZ
2021-11-29,drop_bottom_10pct,1,0.0027677804305392,-0.0177137815576329,0.0047052861220981,159937.SZ
