"split_name","week_start","week_end","spot_weekly_return","spot_first_close","spot_last_close","next_week_return","next_week_positive_label","weekly_spot_return_min","weekly_spot_return_p10","weekly_spot_return_p25","weekly_spot_return_p50","weekly_spot_return_p75","weekly_spot_return_p90","weekly_spot_return_max","weekly_spot_close_position","weekly_spot_drawdown","weekly_spot_rebound","weekly_price_position_52w"
"train","2021-02-01","2021-02-05","0.024496770323644057","28091.05","28779.19","0.02574360153986266","1",,,,,,,,,,,"0.5"
"train","2021-02-08","2021-02-12","0.004476921244704446","29388.5","29520.07","0.016864797407323273","1",,,,,,,,,,,"0.5"
"train","2021-02-15","2021-02-19","-0.0022014914830568166","30084.15","30017.92","-0.03504273447327466","0",,,,,,,,,,,"0.5"
"train","2021-02-22","2021-02-26","-0.039462090998052424","30156.03","28966.01","-0.003510666467352541","0",,,,,,,,,,,"0.5"
"train","2021-03-01","2021-03-05","-0.026941527466414983","29663.5","28864.32","0.029569724836753464","1",,,,,,,,,,,"0.5"
"train","2021-03-08","2021-03-12","0.03390639541457574","28743.25","29717.83","0.002497490563745597","1",,,,,,,,,,,"0.5"
"train","2021-03-15","2021-03-19","0.0008425446056483654","29766.97","29792.05","-0.02065483912654542","0",,,,,,,,,,,"0.5"
"train","2021-03-22","2021-03-26","8.740614550895032e-05","29174.15","29176.7","0.02321372876301986","1",,,,,,,,,,,"0.5"
"train","2021-03-29","2021-04-02","0.015977119925729477","29384.52","29854.0","-0.0028786762242914987","0",,,,,,,,,,,"0.5"
"train","2021-04-05","2021-04-09","-0.010674576468340025","30089.25","29768.06","-0.0028449956093881124","0",,,,,,,,,,,"0.5"
"train","2021-04-12","2021-04-16","0.004896622163512054","29538.73","29683.37","-0.02232697971962072","0",,,,,,,,,,,"0.5"
"train","2021-04-19","2021-04-23","-0.022392848733231108","29685.37","29020.63","-0.007167315113421058","0",,,,,,,,,,,"0.5"
"train","2021-04-26","2021-04-30","-0.010766927267964244","29126.23","28812.63","0.018921910287259314","1",,,,,,,,,,,"0.5"
"train","2021-05-03","2021-05-07","0.0009017649022189378","29331.37","29357.82","-0.04337345211599497","0",,,,,,,,,,,"0.5"
"train","2021-05-10","2021-05-14","-0.048575563531011556","29518.34","28084.47","0.00830921858236966","1",,,,,,,,,,,"0.5"
"train","2021-05-17","2021-05-21","0.017717987854732664","27824.83","28317.83","0.0293659507102062","1",,,,,,,,,,,"0.5"
"train","2021-05-24","2021-05-28","0.02766828100227703","28364.61","29149.41","-0.007131876768689316","0",,,,,,,,,,,"0.5"
"train","2021-05-31","2021-06-04","0.002821890999609167","28860.08","28941.52","0.0002491230591896709","1",,,,,,,,,,,"0.5"
