config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action
p0.70_canchor_return_gt_0_dd0.012_s15_h30_loss_time_exit_20d,60,2053258.5726031165,1.0532585726031165,-0.14271275123632376,7.380269551800479,0.7,0.012282642955380011,0.006282238939182139,18.816666666666666,21.0,0.7,anchor_return_gt_0,0.012,15,30,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s15_h30_loss_no_partial_trailing,60,2022508.9208362103,1.0225089208362101,-0.14271275123632376,7.164804209702304,0.7166666666666667,0.012023218043738005,0.006035545655608812,19.533333333333335,21.5,0.7,anchor_return_gt_0,0.012,15,30,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s15_h30_loss_hold_to_max,60,2126198.9994988292,1.126198999498829,-0.14271275123632365,7.891369129545487,0.7166666666666667,0.012882640097801183,0.008207356148518396,19.816666666666666,21.5,0.7,anchor_return_gt_0,0.012,15,30,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s15_h45_loss_time_exit_20d,59,2018287.591373513,1.0182875913735128,-0.14271275123632376,7.1352250065398115,0.6949152542372882,0.012194611932932448,0.0068533964490735235,19.677966101694917,21.0,0.7,anchor_return_gt_0,0.012,15,45,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s15_h45_loss_no_partial_trailing,59,1988048.6720591104,0.9880486720591104,-0.14271275123632376,6.923338408794047,0.6949152542372882,0.011934001504645872,0.0068533964490735235,20.796610169491526,21.0,0.7,anchor_return_gt_0,0.012,15,45,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s15_h45_loss_hold_to_max,58,2167392.5412384677,1.1673925412384678,-0.14271275123632388,8.180015668714386,0.6896551724137931,0.013683935056491611,0.011179429765440809,21.5,21.0,0.7,anchor_return_gt_0,0.012,15,45,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s15_h60_loss_time_exit_20d,59,2015676.224210119,1.015676224210119,-0.14271275123632388,7.116926941785455,0.6949152542372882,0.012172326191680405,0.0068533964490735235,19.949152542372882,21.0,0.7,anchor_return_gt_0,0.012,15,60,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s15_h60_loss_no_partial_trailing,59,2004369.2120609072,1.0043692120609071,-0.14271275123632388,7.037697776547879,0.6949152542372882,0.012076842128428206,0.0068533964490735235,21.16949152542373,21.0,0.7,anchor_return_gt_0,0.012,15,60,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s15_h60_loss_hold_to_max,57,2237536.8874813877,1.237536887481388,-0.14271275123632376,8.67152287907407,0.7017543859649122,0.01452014538521703,0.011042117697674604,23.105263157894736,21.0,0.7,anchor_return_gt_0,0.012,15,60,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s18_h20_loss_time_exit_20d,58,2129340.870798473,1.129340870798473,-0.14271275123632365,7.913384480468413,0.7413793103448276,0.013336665970393907,0.008682037095949263,17.620689655172413,21.0,0.7,anchor_return_gt_0,0.012,18,20,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s18_h20_loss_no_partial_trailing,58,2129340.870798473,1.129340870798473,-0.14271275123632365,7.913384480468413,0.7413793103448276,0.013336665970393907,0.008682037095949263,17.620689655172413,21.0,0.7,anchor_return_gt_0,0.012,18,20,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s18_h20_loss_hold_to_max,58,2129340.870798473,1.129340870798473,-0.14271275123632365,7.913384480468413,0.7413793103448276,0.013336665970393907,0.008682037095949263,17.620689655172413,21.0,0.7,anchor_return_gt_0,0.012,18,20,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s18_h30_loss_time_exit_20d,57,2091531.4552766737,1.0915314552766735,-0.14271275123632365,7.648450792383391,0.7368421052631579,0.013239866910931783,0.008341041243247305,20.789473684210527,23.0,0.7,anchor_return_gt_0,0.012,18,30,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s18_h30_loss_no_partial_trailing,56,1980142.3573418378,0.9801423573418377,-0.14271275123632376,6.867938210502163,0.75,0.012484439721815779,0.00840612927729016,21.517857142857142,24.0,0.7,anchor_return_gt_0,0.012,18,30,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s18_h30_loss_hold_to_max,56,2111453.193408859,1.1114531934088592,-0.14271275123632376,7.788044051987753,0.75,0.013656653127692089,0.009760088976735033,21.857142857142858,24.0,0.7,anchor_return_gt_0,0.012,18,30,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s18_h45_loss_time_exit_20d,56,2057481.7940331316,1.0574817940331314,-0.14271275123632388,7.409862012133758,0.7321428571428571,0.013178810186520715,0.009626407929826325,21.910714285714285,22.5,0.7,anchor_return_gt_0,0.012,18,45,time_exit_20d
p0.70_canchor_return_gt_0_dd0.012_s18_h45_loss_no_partial_trailing,55,1944222.7971312413,0.9442227971312414,-0.14271275123632376,6.616246894208247,0.7272727272727273,0.012376614766083666,0.010911774616405346,22.927272727272726,24.0,0.7,anchor_return_gt_0,0.012,18,45,no_partial_trailing
p0.70_canchor_return_gt_0_dd0.012_s18_h45_loss_hold_to_max,54,2166168.279529306,1.1661682795293062,-0.14271275123632388,8.171437166102983,0.7407407407407407,0.0146644768890726,0.012076367258804855,24.037037037037038,24.0,0.7,anchor_return_gt_0,0.012,18,45,hold_to_max
p0.70_canchor_return_gt_0_dd0.012_s18_h60_loss_time_exit_20d,56,2054819.715338707,1.054819715338707,-0.14271275123632388,7.391208607505492,0.7321428571428571,0.013155330566273027,0.009626407929826325,22.196428571428573,22.5,0.7,anchor_return_gt_0,0.012,18,60,time_exit_20d
