week_start,week_end,split_name,behavior_hypothesis,volume_price_state,spot_weekly_return,weekly_price_position_52w,weekly_volume_ratio_4w,weekly_volume_ratio_13w,weekly_volume_ratio_26w,weekly_volume_ratio_52w,weekly_volume_accumulation_52w,next_week_return,next_4w_return,anomaly_score
2021-03-15,2021-03-19,train,extreme_volume_context_needed,mid_high__extreme_volume__up,0.0008425446056483654,0.5,1.2850495650414728,1.4277941718922909,1.4400725477354022,1.4400725477354022,0.22003627386770108,-0.02065483912654542,-0.0036479530613032773,1.6601088216031032
2022-06-13,2022-06-17,train,low_price_high_volume_possible_accumulation_or_panic,low__warm_volume__down,-0.03795988059630695,0.14993058248880067,1.0474081792133367,1.1484028296498088,1.1771739987163752,1.2205119224819776,0.18745044149852944,0.020373993760351317,0.031794091591880846,1.6580317814917063
2023-11-06,2023-11-10,train,high_price_high_volume_breakout_or_distribution,high__extreme_volume__down,-0.004291547635353221,0.8528277094706184,1.407067770073809,1.3717836894897515,1.353597378308148,1.5718054054054054,0.08415391125059517,0.031229629229328815,-0.007990945744165034,1.6559593166560005
2024-07-29,2024-08-02,train,extreme_volume_context_needed,mid_high__extreme_volume__down,-0.06651991505806165,0.48220559094576987,1.3529065289293642,1.347865942582536,1.309852406243884,1.4317328474583773,0.22354885461901053,-0.024636797299893876,0.07624820034698154,1.6552817020773878
2021-09-27,2021-10-01,train,extreme_volume_context_needed,high__extreme_volume__down,-0.04857761525605442,0.7701716886528104,1.3163913595933927,1.5435374699997304,1.502276813248822,1.3929475323663973,0.09031046781181423,-0.025099170799000592,0.004227162910520832,1.6338479378115447
2022-03-14,2022-03-18,train,low_price_high_volume_possible_accumulation_or_panic,mid_low__extreme_volume__up,0.06004382039564815,0.311891659968486,1.09191129342392,1.2788903517889727,1.2451816035083774,1.3198174038450077,0.22006902287297658,0.04929320475349286,0.009906278760209108,1.6279947667494983
2023-10-02,2023-10-06,train,extreme_volume_context_needed,mid_high__extreme_volume__down,-0.02409360488767598,0.6493366079384599,1.1091369298724503,1.210415798683443,1.2993953055674825,1.4402911081145395,0.1543939734659787,0.0426305555116413,0.03081884724050954,1.5946850815805182
2023-05-08,2023-05-12,train,high_price_high_volume_breakout_or_distribution,high__extreme_volume__up,0.015144104224266153,1.0,1.5892857142857142,1.2995232200981066,1.2990021423579685,1.2887408788161214,0.0,0.04832024989536654,0.09789167798069287,1.5892857142857142
2021-10-25,2021-10-29,train,extreme_volume_context_needed,high__extreme_volume__up,0.010219433917206144,0.7863382835388385,1.2037700783220497,1.3878175696357515,1.4970917680526277,1.39846966012219,0.08513771153940275,0.024881033922421247,-0.0048825498768027,1.5822294795920304
2024-02-05,2024-02-09,train,high_price_high_volume_breakout_or_distribution,high__extreme_volume__up,0.014943544287641108,1.0,1.3246241775130878,1.430886132528774,1.466289331839262,1.578727207879986,0.0,0.0430875654720575,0.07565623829525214,1.578727207879986
2021-03-08,2021-03-12,train,extreme_volume_context_needed,mid_high__extreme_volume__up,0.03390639541457574,0.5,1.2989615859414712,1.37991929741277,1.372804441834392,1.372804441834392,0.18640222091719605,0.002497490563745597,0.001690231083494309,1.5663215183299661
2021-01-25,2021-01-29,train,extreme_volume_context_needed,mid_high__extreme_volume__down,-0.04020846365781494,0.5,1.4176064341288575,1.244733112895607,1.2958408543922983,1.2958408543922983,0.14792042719614917,0.04033489749448638,0.04708822743705676,1.5655268613250066
2021-10-04,2021-10-08,train,extreme_volume_context_needed,mid_high__extreme_volume__down,-0.013919899145329873,0.6741810360870512,1.183184431054782,1.4259335353639118,1.4500652911987462,1.3411919585972836,0.11116681044559668,0.03635395847401024,0.055710839696615944,1.561232101644343
2021-09-06,2021-09-10,train,extreme_volume_context_needed,mid_high__warm_volume__up,0.024340953388566122,0.5,1.3842096008440303,1.4335584008068811,1.2887366512190206,1.24966954358137,0.12483477179068503,0.00389081108978262,-0.07678600111119016,1.5583931725975662
2023-07-24,2023-07-28,train,high_price_high_volume_breakout_or_distribution,high__extreme_volume__up,0.0017825175667733895,0.8781225583643436,1.2262049062049063,1.258163860339675,1.3728016542893218,1.4916444319618032,0.05992036556192011,-0.01729222573302236,-0.03464519770458585,1.5515647975237232
2020-11-30,2020-12-04,train,extreme_volume_context_needed,mid_high__extreme_volume__up,0.012015758719388536,0.5,1.1783791152614,1.3661843214386062,1.3661843214386062,1.3661843214386062,0.18309216071930312,-0.0036902962255207505,0.025902724509218933,1.5492764821579095
2023-10-30,2023-11-02,train,extreme_volume_context_needed,high__extreme_volume__up,0.04081609384121432,0.7728740609112763,1.2904316465682408,1.2434216022053295,1.2778359631200316,1.446451650519401,0.10140075038192961,0.01934967538229393,0.04637324259958331,1.5478524009013306
2022-05-30,2022-06-03,train,extreme_volume_context_needed,mid_high__extreme_volume__up,0.01432766411284403,0.4869137218090898,1.315080723160479,1.2318166223518312,1.2964793500338523,1.3606181721289636,0.185028235785659,0.002259238220316817,-0.06577257698321815,1.5456464079146226
2023-05-29,2023-06-02,train,high_price_high_volume_breakout_or_distribution,high__extreme_volume__up,0.00930666200501129,1.0,1.4407307452771434,1.4463896370398872,1.5058417714476466,1.5262982783608054,0.0,0.02350415014233498,0.052810822916474986,1.5262982783608054
2022-05-16,2022-05-20,train,low_price_high_volume_possible_accumulation_or_panic,mid_low__warm_volume__up,0.0072316886433709815,0.2953288853664888,1.275853638660256,1.111834629840049,1.169526392608001,1.2062276641518157,0.14532267796612536,0.0015950466415572961,-0.02902236917345169,1.5258474312598924
2025-02-03,2025-02-07,train,extreme_volume_context_needed,mid_high__extreme_volume__up,0.0069296307459303375,0.6101549220848304,1.4022820629849384,1.2674434840003554,1.274106493473351,1.3098954148478776,0.12081120214692467,0.009343589685415488,-0.04898159229556687,1.5230932651318632
2024-05-13,2024-05-17,train,extreme_volume_context_needed,high__extreme_volume__up,0.015922697701853172,0.7915641542527437,1.364423076923077,1.2662859182580761,1.3555398791940392,1.42528220541309,0.08864405616653578,-0.003642164023452854,0.0007007433861219159,1.5139262615796258
2026-01-05,2026-01-09,test,high_price_high_volume_breakout_or_distribution,high__warm_volume__up,0.002066066274636791,0.9749571863234209,1.5037140704058565,1.164014923268247,1.1727126536253318,1.1496150729335495,0.003746782394682676,0.0384344287213545,0.04454745668502569,1.507460852800539
