holding_days,sample_count,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,structure_name,resonance_regime
5,24,0.625,-0.002483139950818424,0.004088426893420816,-0.024164290776307728,0.021719431039224812,-0.0004966279901636848,-0.11777300665952684,trend_continuation,usd_down_oil_up
10,24,0.625,0.005882900316514297,0.011976999300767677,-0.02748428378956315,0.0316381827769729,0.0005882900316514297,0.15929808564387749,trend_continuation,usd_down_oil_up
15,24,0.5416666666666666,0.0008400632644721175,0.003879755830403564,-0.03626596821308801,0.0410430273249781,5.60042176314745e-05,0.014207113470936061,trend_continuation,usd_down_oil_up
20,24,0.5416666666666666,0.009670047730108114,0.010483035366746218,-0.04042011780133121,0.04692350830892462,0.0004835023865054057,0.12891529977228378,trend_continuation,usd_down_oil_up
30,24,0.5833333333333334,0.02201824910920079,0.020194749353751762,-0.04303217756861189,0.06535601781190528,0.0007339416369733597,0.2007501930099307,trend_continuation,usd_down_oil_up
3,7,0.42857142857142855,0.0033552091777311333,-0.00017607888530524196,-0.007371583613043543,0.01598203838520532,0.001118403059243711,0.32493819605259344,trend_continuation,usd_up_oil_down
5,7,0.7142857142857143,0.012432490627961526,0.012548800892359102,-0.009489638677525693,0.02902605180838304,0.002486498125592305,0.8640181053222706,trend_continuation,usd_up_oil_down
10,7,0.5714285714285714,0.007336576491262482,0.010262144123849737,-0.024711815256193242,0.047313124617159294,0.0007336576491262482,0.20226445822348316,trend_continuation,usd_up_oil_down
15,7,0.42857142857142855,0.012212743079705038,-0.002615336274448321,-0.029327928482236625,0.06518333453188498,0.0008141828719803358,0.22621393746510354,trend_continuation,usd_up_oil_down
20,7,0.42857142857142855,0.01368765506529073,-0.007267551620644075,-0.03182995087060209,0.07955323869298973,0.0006843827532645364,0.18684057567051182,trend_continuation,usd_up_oil_down
30,7,0.7142857142857143,0.026135140464609758,0.021299589873720493,-0.03289774188759637,0.08827764312291565,0.0008711713488203253,0.2419905974468144,trend_continuation,usd_up_oil_down
3,9,0.7777777777777778,0.007831390038587448,0.010012989956948326,-0.01125678340883819,0.020755199354267815,0.002610463346195816,0.9256705507350942,trend_continuation,usd_up_oil_up
5,9,0.6666666666666666,0.011051094248575545,0.012025373967486264,-0.016220755702772125,0.03142573350644194,0.002210218849715109,0.7400607827827355,trend_continuation,usd_up_oil_up
10,9,0.5555555555555556,0.015775121756805868,0.00027201877237481575,-0.02923846824177043,0.05613669245272937,0.0015775121756805867,0.48353847049543797,trend_continuation,usd_up_oil_up
15,9,0.4444444444444444,0.012297546221018283,-0.01474045876796204,-0.037288289821818504,0.0706004395434911,0.0008198364147345522,0.22794098040544863,trend_continuation,usd_up_oil_up
20,9,0.4444444444444444,0.00978515169259881,-0.015581331892066563,-0.03832378572012011,0.07925222819816954,0.0004892575846299405,0.13053796857258737,trend_continuation,usd_up_oil_up
30,9,0.6666666666666666,0.0404933858440332,0.012204872884733708,-0.038726707905081245,0.08791035816247986,0.00134977952813444,0.39575862550672536,trend_continuation,usd_up_oil_up
